Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.17805056335886005,18.708599090576172,134,-1,0.1781,unprognostic - favorable
ENSG00000000419,0.13600493007021563,80.10489654541016,41,-1,0.136,unprognostic - favorable
ENSG00000000457,0.2624867480715299,6.280399799346924,76,-1,0.2625,unprognostic - favorable
ENSG00000000460,0.003950916140530358,3.19950008392334,106,1,0.003951,unprognostic - unfavorable
ENSG00000000938,0.0030888735664092214,7.684199810028076,41,-1,0.003089,unprognostic - favorable
ENSG00000000971,0.28191208091019965,34.58760070800781,63,-1,0.2819,unprognostic - favorable
ENSG00000001036,0.2261790477106238,59.197898864746094,43,1,0.2262,unprognostic - unfavorable
ENSG00000001084,0.05348103358224633,18.379899978637695,104,-1,0.05348,unprognostic - favorable
ENSG00000001167,0.014194498588413804,10.21049976348877,122,-1,0.01419,unprognostic - favorable
ENSG00000001460,0.036745525219568,5.181300163269043,131,-1,0.03675,unprognostic - favorable
ENSG00000001461,0.2440470586819481,12.810500144958496,80,-1,0.244,unprognostic - favorable
ENSG00000001497,0.1039543270596138,29.619199752807617,62,-1,0.104,unprognostic - favorable
ENSG00000001561,0.002799670994295054,1.7007999420166016,120,-1,0.0028,unprognostic - favorable
ENSG00000001617,0.07063187112270951,104.21700286865234,37,-1,0.07063,unprognostic - favorable
ENSG00000001629,0.01636472924102929,13.462900161743164,80,-1,0.01636,unprognostic - favorable
ENSG00000001630,0.041132123418393146,38.22520065307617,88,-1,0.04113,unprognostic - favorable
ENSG00000001631,0.26436205880893915,8.8193998336792,65,-1,0.2644,unprognostic - favorable
ENSG00000002016,0.16852566039781405,3.5269999504089355,92,-1,0.1685,unprognostic - favorable
ENSG00000002330,0.14653644708406097,68.70680236816406,131,1,0.1465,unprognostic - unfavorable
ENSG00000002549,0.016508661260633998,42.51729965209961,105,-1,0.01651,unprognostic - favorable
ENSG00000002586,0.3104568797697378,161.28799438476562,131,1,0.3105,unprognostic - unfavorable
ENSG00000002587,0.007974727950067534,15.007800102233887,48,-1,0.007975,unprognostic - favorable
ENSG00000002726,0.027151861541753718,0.1454000025987625,117,1,0.02715,unprognostic - unfavorable
ENSG00000002746,0.09551744621961801,1.0216000080108643,55,1,0.09552,unprognostic - unfavorable
ENSG00000002822,0.3040280364302178,20.292800903320312,83,1,0.304,unprognostic - unfavorable
ENSG00000002834,0.05013215193885748,111.2979965209961,101,-1,0.05013,unprognostic - favorable
ENSG00000002919,0.05947217171238268,12.177599906921387,126,-1,0.05947,unprognostic - favorable
ENSG00000002933,0.0590183789220602,13.94890022277832,125,-1,0.05902,unprognostic - favorable
ENSG00000003056,0.2468543267578461,77.86270141601562,129,1,0.2469,unprognostic - unfavorable
