Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.2127478875545774,12.128499984741211,775,-1,0.1742,unprognostic - favorable
ENSG00000000419,0.010779784254703622,48.680999755859375,692,1,0.02049,unprognostic - unfavorable
ENSG00000000457,0.12264434989084294,20.403099060058594,204,1,0.2926,unprognostic - unfavorable
ENSG00000000460,0.06204260903748704,2.9107000827789307,742,1,0.09953,unprognostic - unfavorable
ENSG00000000938,0.01563294111875346,2.5673999786376953,812,-1,0.01169,unprognostic - favorable
ENSG00000000971,0.22596363270624922,38.570499420166016,208,1,0.2434,unprognostic - unfavorable
ENSG00000001036,0.0031115295413519303,56.707000732421875,221,1,0.002166,unprognostic - unfavorable
ENSG00000001084,0.03459224519036104,25.342300415039062,313,1,0.02245,unprognostic - unfavorable
ENSG00000001167,0.029475016532675584,22.892000198364258,546,1,0.04214,unprognostic - unfavorable
ENSG00000001460,0.34906053986916463,7.689499855041504,227,1,0.3044,unprognostic - unfavorable
ENSG00000001461,0.21566890317707377,10.011699676513672,697,1,0.182,unprognostic - unfavorable
ENSG00000001497,0.00599453806292871,26.929899215698242,209,1,0.008128,unprognostic - unfavorable
ENSG00000001561,0.0429228623646133,6.791800022125244,566,1,0.03307,unprognostic - unfavorable
ENSG00000001617,0.29705599667769284,64.83760070800781,302,-1,0.2849,unprognostic - favorable
ENSG00000001629,0.02204362367691787,12.124500274658203,778,1,0.0294,unprognostic - unfavorable
ENSG00000001630,0.08967663328663278,68.252197265625,204,1,0.1182,unprognostic - unfavorable
ENSG00000001631,0.09886214576939349,15.786600112915039,323,1,0.1219,unprognostic - unfavorable
ENSG00000002016,0.06782818782236737,6.037099838256836,295,1,0.06643,unprognostic - unfavorable
ENSG00000002330,0.17919252971901362,75.65560150146484,442,-1,0.2038,unprognostic - favorable
ENSG00000002549,0.23216920458564413,96.46620178222656,519,-1,0.18,unprognostic - favorable
ENSG00000002586,0.012861964278603033,371.0379943847656,217,1,0.01839,unprognostic - unfavorable
ENSG00000002587,0.0134779035138079,2.674799919128418,246,1,0.0176,unprognostic - unfavorable
ENSG00000002726,0.020745933256348735,0.8100000023841858,277,1,0.02379,unprognostic - unfavorable
ENSG00000002822,0.1846363208050578,13.063899993896484,644,-1,0.1422,unprognostic - favorable
ENSG00000002834,0.2230155697905075,102.69499969482422,733,-1,0.256,unprognostic - favorable
ENSG00000002919,0.018400716273911287,12.892499923706055,813,1,0.01621,unprognostic - unfavorable
ENSG00000002933,0.033805150331951105,34.260501861572266,678,-1,0.02886,unprognostic - favorable
ENSG00000003056,0.14288881792202252,121.95800018310547,314,1,0.1728,unprognostic - unfavorable
ENSG00000003096,0.12182306714396914,2.13319993019104,505,-1,0.1386,unprognostic - favorable
ENSG00000003137,0.12968193056423327,0.7516999840736389,745,1,0.1932,unprognostic - unfavorable
ENSG00000003147,0.07481356551677759,32.00859832763672,748,1,0.05996,unprognostic - unfavorable
ENSG00000003249,0.06789323387735685,18.608400344848633,741,1,0.06258,unprognostic - unfavorable
ENSG00000003393,0.1532297589203675,3.1440999507904053,716,-1,0.2025,unprognostic - favorable
ENSG00000003400,0.05659380107067603,2.9393999576568604,527,-1,0.03897,unprognostic - favorable
ENSG00000003402,0.39309170700726936,21.15369987487793,815,-1,0.3748,unprognostic - favorable
ENSG00000003436,0.1425392745575674,5.461400032043457,724,1,0.154,unprognostic - unfavorable
ENSG00000003509,0.02228865646681617,9.204700469970703,229,1,0.02794,unprognostic - unfavorable
ENSG00000003756,0.1170131407091159,32.371700286865234,570,-1,0.1329,unprognostic - favorable
ENSG00000003987,0.18770199997282166,0.4431999921798706,668,-1,0.1653,unprognostic - favorable
ENSG00000003989,0.11092772439021704,76.70580291748047,223,-1,0.1337,unprognostic - favorable
ENSG00000004059,0.08147607680600653,303.3219909667969,279,-1,0.07589,unprognostic - favorable
ENSG00000004139,0.16951322187235904,2.283799886703491,311,-1,0.2188,unprognostic - favorable
ENSG00000004142,0.00254576342488996,96.02880096435547,308,1,0.003393,unprognostic - unfavorable
ENSG00000004399,0.00010535024791836776,62.52320098876953,328,1,7.571e-05,potential prognostic - unfavorable
ENSG00000004455,0.05961983778129233,161.4010009765625,402,-1,0.04795,unprognostic - favorable
ENSG00000004468,0.014080085716565079,3.435499906539917,207,-1,0.01099,unprognostic - favorable
ENSG00000004478,0.0066919461903147785,221.6320037841797,278,1,0.003229,unprognostic - unfavorable
ENSG00000004487,0.08769184988243482,78.75199890136719,205,1,0.09674,unprognostic - unfavorable
ENSG00000004534,0.04056444957403977,33.17179870605469,496,-1,0.053,unprognostic - favorable
ENSG00000004660,0.004599349558060323,5.962100028991699,339,1,0.003463,unprognostic - unfavorable
ENSG00000004700,0.01520880398795484,29.935800552368164,224,1,0.0232,unprognostic - unfavorable
