Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.4770573439956637,36.19179916381836,75,1,0.4035,unprognostic - unfavorable
ENSG00000000419,0.10890502300716834,69.93280029296875,118,-1,0.1284,unprognostic - favorable
ENSG00000000457,0.02250019626956001,10.250200271606445,62,1,0.0254,unprognostic - unfavorable
ENSG00000000460,0.09280037232940724,7.4039998054504395,100,1,0.07516,unprognostic - unfavorable
ENSG00000000938,0.057620227954457,7.666600227355957,81,-1,0.05317,unprognostic - favorable
ENSG00000000971,0.11445435468735977,9.117799758911133,199,1,0.1016,unprognostic - unfavorable
ENSG00000001036,0.019246023692537396,62.542198181152344,68,1,0.02132,unprognostic - unfavorable
ENSG00000001084,0.01613859149022225,32.567501068115234,62,-1,0.01522,unprognostic - unfavorable
ENSG00000001167,0.011900173699820094,17.259599685668945,97,1,0.008616,unprognostic - unfavorable
ENSG00000001460,0.08171536687634315,10.461299896240234,65,1,0.08605,unprognostic - unfavorable
ENSG00000001461,0.0012624018333033645,10.735699653625488,196,1,0.00101,unprognostic - unfavorable
ENSG00000001497,0.002211710977388246,24.989099502563477,167,-1,0.002636,unprognostic - favorable
ENSG00000001561,0.025289469628633415,1.1200000047683716,158,1,0.03107,unprognostic - unfavorable
ENSG00000001617,0.1622343614871757,106.89600372314453,79,1,0.1323,unprognostic - unfavorable
ENSG00000001626,0.18518869321182363,0.01590000092983246,131,-1,0.2209,unprognostic - favorable
ENSG00000001629,0.0020155912327059814,10.169500350952148,178,1,0.001686,unprognostic - unfavorable
ENSG00000001630,3.8190066147630164e-05,30.657400131225586,179,1,3.275e-05,potential prognostic - unfavorable
ENSG00000001631,0.013838543092417487,5.012199878692627,211,1,0.01244,unprognostic - unfavorable
ENSG00000002016,0.0035048419023883818,4.272600173950195,119,1,0.004284,unprognostic - unfavorable
ENSG00000002330,0.07643862294275727,121.87000274658203,57,1,0.1003,unprognostic - unfavorable
ENSG00000002549,0.14414979081333457,98.54109954833984,90,-1,0.1301,unprognostic - favorable
ENSG00000002586,0.12635369823742695,311.63800048828125,112,1,0.1365,unprognostic - unfavorable
ENSG00000002587,0.021126786549961887,9.391200065612793,90,1,0.02384,unprognostic - unfavorable
ENSG00000002726,0.07118508203080814,2.140500068664551,105,1,0.05778,unprognostic - unfavorable
ENSG00000002746,0.0003506892622487634,1.0770000219345093,66,1,0.0003946,potential prognostic - unfavorable
ENSG00000002822,0.3499608825861481,29.129600524902344,57,1,0.3775,unprognostic - unfavorable
ENSG00000002834,0.00023382860376990533,112.26599884033203,119,1,0.0001817,potential prognostic - unfavorable
ENSG00000002919,0.007927262219389308,22.683300018310547,68,1,0.009021,unprognostic - unfavorable
ENSG00000002933,0.1294031740663264,9.238699913024902,224,-1,0.1432,unprognostic - favorable
ENSG00000003056,0.18240907219369037,102.65799713134766,151,-1,0.1636,unprognostic - favorable
ENSG00000003096,0.19447832058529502,4.683800220489502,104,1,0.163,unprognostic - unfavorable
ENSG00000003137,0.09989250227969156,2.471100091934204,128,1,0.1155,unprognostic - unfavorable
ENSG00000003147,0.055622640466349016,24.06439971923828,70,1,0.0588,unprognostic - unfavorable
ENSG00000003249,0.02040068633007013,12.973299980163574,167,1,0.01703,unprognostic - unfavorable
ENSG00000003393,0.08418492768759091,5.256999969482422,59,1,0.0909,unprognostic - unfavorable
ENSG00000003400,0.2534858836500305,10.974200248718262,101,-1,0.2357,unprognostic - favorable
ENSG00000003402,0.014700852236494023,28.578500747680664,207,1,0.02253,unprognostic - unfavorable
ENSG00000003436,0.0012806070261429348,9.943099975585938,129,1,0.001599,unprognostic - unfavorable
ENSG00000003509,0.12251483678589017,4.538400173187256,225,-1,0.1084,unprognostic - favorable
ENSG00000003756,0.061417327271989376,22.114500045776367,207,1,0.05428,unprognostic - unfavorable
ENSG00000003989,0.1402096175517557,1.2410999536514282,136,1,0.1588,unprognostic - unfavorable
ENSG00000004059,0.24608385269360641,232.87600708007812,194,-1,0.2604,unprognostic - favorable
ENSG00000004139,0.15776080772641501,2.4395999908447266,57,1,0.1954,unprognostic - favorable
ENSG00000004142,0.00029114879011862653,100.05999755859375,67,1,0.0003561,potential prognostic - unfavorable
ENSG00000004399,0.20590658538946963,14.832300186157227,151,1,0.2237,unprognostic - unfavorable
ENSG00000004455,0.02703941506730767,137.01800537109375,217,-1,0.0299,unprognostic - favorable
ENSG00000004468,0.011691337917354295,4.793700218200684,69,-1,0.01107,unprognostic - favorable
ENSG00000004478,0.010001737945707091,72.6083984375,185,1,0.008896,unprognostic - unfavorable
ENSG00000004487,0.08606141768505836,54.152801513671875,211,1,0.07647,unprognostic - unfavorable
ENSG00000004534,0.43997891850873816,42.28049850463867,131,-1,0.461,unprognostic - unfavorable
ENSG00000004660,0.49108110000960226,3.466399908065796,225,1,0.4687,unprognostic - favorable
ENSG00000004700,0.07653843900872476,20.132400512695312,119,1,0.08376,unprognostic - unfavorable
ENSG00000004766,0.012789526391857747,2.8879001140594482,123,1,0.01583,unprognostic - unfavorable
ENSG00000004776,0.1124879066855317,1.690500020980835,211,-1,0.1212,unprognostic - favorable
ENSG00000004777,0.3464996704115234,6.600599765777588,165,1,0.3551,unprognostic - unfavorable
ENSG00000004779,0.00791119305258673,161.10400390625,116,-1,0.006828,unprognostic - favorable
ENSG00000004799,0.00024159105275488958,0.09809999912977219,224,-1,0.0002772,potential prognostic - favorable
ENSG00000004838,0.0007152874064394892,0.039400000125169754,199,-1,0.0009411,potential prognostic - favorable
ENSG00000004848,0.01312286496076714,0.026599999517202377,99,-1,0.01142,unprognostic - favorable
ENSG00000004864,0.0011286012290564955,19.08009910583496,71,1,0.001367,unprognostic - unfavorable
ENSG00000004866,0.31926086672293014,11.680000305175781,222,1,0.3,unprognostic - unfavorable
ENSG00000004897,0.013453811621122929,11.249799728393555,202,1,0.01187,unprognostic - unfavorable
ENSG00000004939,0.2308613787198619,0.6175000071525574,103,1,0.2518,unprognostic - unfavorable
ENSG00000004961,0.019125248800819058,28.131399154663086,158,-1,0.02263,unprognostic - favorable
ENSG00000004975,0.18784706545357546,12.820799827575684,222,1,0.1746,unprognostic - unfavorable
ENSG00000005001,0.10089807668543062,8.956999778747559,84,-1,0.09097,unprognostic - favorable
ENSG00000005007,0.02043700086976963,17.570100784301758,203,1,0.01798,unprognostic - unfavorable
ENSG00000005020,0.008098562867136177,14.427499771118164,128,1,0.00649,unprognostic - unfavorable
ENSG00000005022,0.00011863116877642327,440.2019958496094,148,-1,0.0001224,potential prognostic - favorable
ENSG00000005059,0.20101539334057233,14.691399574279785,189,-1,0.2229,unprognostic - favorable
ENSG00000005073,0.07627537735140566,1.327299952507019,186,1,0.09397,unprognostic - unfavorable
ENSG00000005075,0.0002017623267948523,64.36949920654297,205,-1,0.0002496,potential prognostic - favorable
ENSG00000005100,0.06315035366191932,10.232199668884277,68,1,0.0715,unprognostic - unfavorable
ENSG00000005102,0.002251694236341592,0.21480000019073486,190,-1,0.002775,unprognostic - favorable
ENSG00000005156,0.17438089768816886,6.690999984741211,154,1,0.1521,unprognostic - unfavorable
ENSG00000005175,0.1773533166003705,12.51259994506836,217,1,0.1608,unprognostic - unfavorable
ENSG00000005187,0.007526190229343976,0.19840000569820404,217,-1,0.008628,unprognostic - favorable
ENSG00000005189,0.0769547040418026,4.589700222015381,105,-1,0.06978,unprognostic - favorable
ENSG00000005194,0.024715543377748752,51.27859878540039,70,1,0.02657,unprognostic - unfavorable
ENSG00000005206,0.46676891532524134,35.0968017578125,63,1,0.4504,unprognostic - favorable
ENSG00000005238,0.12147148170208871,12.040800094604492,157,1,0.1404,unprognostic - unfavorable
ENSG00000005243,0.12328046452475554,22.016700744628906,124,-1,0.1473,unprognostic - favorable
ENSG00000005249,0.05374949926950051,0.3422999978065491,199,-1,0.06405,unprognostic - favorable
ENSG00000005302,0.00010903116089361041,26.180700302124023,62,1,0.0001224,potential prognostic - unfavorable
ENSG00000005339,0.07211750524035863,9.882599830627441,218,1,0.06425,unprognostic - unfavorable
ENSG00000005379,0.05822301769291336,2.722899913787842,197,-1,0.04745,unprognostic - favorable
ENSG00000005436,0.028955169124920844,10.005900382995605,200,-1,0.03449,unprognostic - favorable
ENSG00000005448,0.10468390864346401,11.394599914550781,184,-1,0.09217,unprognostic - favorable
ENSG00000005469,0.11984096157742728,18.518199920654297,77,1,0.09461,unprognostic - unfavorable
ENSG00000005483,0.009649448874998686,11.993800163269043,171,1,0.008437,unprognostic - unfavorable
ENSG00000005486,0.1220297355110451,58.493099212646484,184,-1,0.1225,unprognostic - favorable
ENSG00000005700,0.021110117704744743,1.7647000551223755,181,1,0.01774,unprognostic - unfavorable
ENSG00000005801,0.0009581699851592024,12.000200271606445,127,1,0.000805,potential prognostic - unfavorable
ENSG00000005810,0.0241649731089681,21.319000244140625,188,-1,0.02839,unprognostic - favorable
ENSG00000005812,0.06213179176446314,24.599700927734375,64,1,0.04697,unprognostic - unfavorable
ENSG00000005844,0.01972040192396224,1.0042999982833862,175,-1,0.02504,unprognostic - favorable
ENSG00000005882,0.003051177315832086,12.190500259399414,218,-1,0.003348,unprognostic - favorable
ENSG00000005884,0.01591241393865321,119.08699798583984,68,1,0.01782,unprognostic - unfavorable
ENSG00000005889,0.08571893211801232,9.681500434875488,145,1,0.07471,unprognostic - unfavorable
ENSG00000005893,0.23527239923877707,48.15299987792969,207,-1,0.2549,unprognostic - favorable
ENSG00000005961,0.011328791849453916,0.17319999635219574,222,-1,0.01273,unprognostic - favorable
ENSG00000006007,0.02781645009878453,25.597700119018555,225,-1,0.02826,unprognostic - favorable
ENSG00000006015,0.12032469257470511,38.61009979248047,66,1,0.1281,unprognostic - unfavorable
ENSG00000006016,0.0666871663964315,0.020500000566244125,218,-1,0.07475,unprognostic - favorable
ENSG00000006025,0.18564798128191584,7.034999847412109,93,1,0.2054,unprognostic - unfavorable
ENSG00000006042,2.2454489663614403e-05,90.59349822998047,69,1,2.76e-05,potential prognostic - unfavorable
ENSG00000006047,0.08015530277826845,2.601900100708008,167,-1,0.08537,unprognostic - favorable
ENSG00000006062,0.030866766126643932,1.5109000205993652,225,-1,0.0253,unprognostic - favorable
ENSG00000006118,0.06589529870469996,108.15399932861328,61,1,0.07094,unprognostic - unfavorable
ENSG00000006125,0.0017105373578750426,62.9989013671875,73,1,0.001908,unprognostic - unfavorable
ENSG00000006128,0.025141831957448135,0.04690000042319298,65,-1,0.03631,unprognostic - favorable
ENSG00000006194,0.16230189452992572,16.410999298095703,213,1,0.1469,unprognostic - unfavorable
ENSG00000006210,0.0011457193987759252,10.85669994354248,215,-1,0.00132,unprognostic - favorable
ENSG00000006282,0.20451385158944616,6.295199871063232,225,-1,0.1724,unprognostic - favorable
ENSG00000006327,0.0016092834209171175,118.34500122070312,164,1,0.002302,unprognostic - unfavorable
ENSG00000006377,0.2650299805879109,0.013500000350177288,217,-1,0.2482,unprognostic - favorable
ENSG00000006432,0.07905166253401394,2.6916000843048096,182,1,0.07203,unprognostic - unfavorable
ENSG00000006451,0.00025985606943448213,55.070701599121094,57,1,0.0003659,potential prognostic - unfavorable
ENSG00000006453,0.00016416995093762637,38.12089920043945,161,1,0.0001374,potential prognostic - unfavorable
ENSG00000006459,0.010689256279916038,2.9001998901367188,105,1,0.008037,unprognostic - unfavorable
ENSG00000006468,0.004571292600619942,3.173099994659424,63,1,0.005387,unprognostic - unfavorable
ENSG00000006530,0.12641830960731956,10.583700180053711,127,1,0.1136,unprognostic - unfavorable
ENSG00000006534,0.2760663309664845,29.092100143432617,60,-1,0.2646,unprognostic - favorable
ENSG00000006555,0.18041191557620323,28.9596004486084,91,1,0.1974,unprognostic - unfavorable
ENSG00000006576,0.1505238813293416,8.027099609375,175,-1,0.17,unprognostic - favorable
ENSG00000006606,0.07822062245593193,0.0,188,-1,0.09038,unprognostic - favorable
ENSG00000006607,0.01999735174877666,9.994999885559082,136,1,0.02486,unprognostic - unfavorable
ENSG00000006611,0.4093810094566349,0.22599999606609344,63,1,0.428,unprognostic - unfavorable
ENSG00000006625,0.21473086486222875,134.51699829101562,63,-1,0.199,unprognostic - favorable
ENSG00000006638,0.3178099301197788,0.3569999933242798,225,-1,0.2632,unprognostic - favorable
ENSG00000006652,0.04425219969444317,7.17080020904541,85,1,0.04925,unprognostic - unfavorable
ENSG00000006695,0.10487149775617682,5.902400016784668,216,-1,0.1155,unprognostic - favorable
ENSG00000006704,0.09719985596075165,21.81730079650879,216,-1,0.1009,unprognostic - favorable
ENSG00000006712,0.04347907490007489,120.63200378417969,63,1,0.04911,unprognostic - unfavorable
ENSG00000006715,0.0011840112233670625,17.207199096679688,113,1,0.0008859,potential prognostic - unfavorable
ENSG00000006740,0.09163818172598324,0.019099999219179153,179,-1,0.1048,unprognostic - favorable
ENSG00000006744,0.0438477963822978,22.873899459838867,200,1,0.03842,unprognostic - unfavorable
ENSG00000006747,0.39372394885415996,8.809200286865234,67,1,0.3292,unprognostic - unfavorable
ENSG00000006756,0.006805952363372212,23.45319938659668,107,1,0.008098,unprognostic - unfavorable
ENSG00000006757,0.08398428907051843,41.09000015258789,74,1,0.08983,unprognostic - unfavorable
ENSG00000006831,0.04069848138909403,13.781700134277344,209,1,0.03317,unprognostic - unfavorable
ENSG00000006837,1.1038348763574087e-05,1.0587999820709229,66,1,1.266e-05,potential prognostic - unfavorable
ENSG00000007038,0.11760251795280481,3.617000102996826,116,1,0.09788,unprognostic - unfavorable
ENSG00000007047,0.13150773945577804,18.20599937438965,174,1,0.162,unprognostic - unfavorable
ENSG00000007062,0.14719126945422595,1.7015999555587769,67,1,0.1557,unprognostic - unfavorable
ENSG00000007080,0.39830178284548623,115.24199676513672,162,1,0.4329,unprognostic - unfavorable
ENSG00000007129,0.01194531113531106,0.40540000796318054,133,-1,0.01525,unprognostic - favorable
ENSG00000007168,0.14302792236140285,14.05519962310791,218,-1,0.158,unprognostic - favorable
ENSG00000007171,0.04175544430297428,0.12950000166893005,146,-1,0.04811,unprognostic - favorable
ENSG00000007202,0.0365592432290516,42.793800354003906,73,1,0.03014,unprognostic - unfavorable
ENSG00000007216,0.09909953563780755,0.048500001430511475,67,-1,0.1345,unprognostic - favorable
ENSG00000007237,0.18087584047619998,1.2178000211715698,206,-1,0.195,unprognostic - favorable
