Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.039064701082808406,42.80220031738281,62,-1,0.03906,unprognostic - favorable
ENSG00000000005,0.006130796804664018,0.07959999889135361,111,-1,0.006131,unprognostic - favorable
ENSG00000000419,0.012104089935454105,38.24810028076172,108,1,0.0121,unprognostic - unfavorable
ENSG00000000457,0.040830581812723976,5.549499988555908,60,-1,0.04083,unprognostic - favorable
ENSG00000000460,0.17037202043891214,4.444300174713135,61,-1,0.1704,unprognostic - favorable
ENSG00000000938,0.0029979855948466497,5.6066999435424805,106,1,0.002998,unprognostic - unfavorable
ENSG00000000971,0.0024999091807672877,7.1809000968933105,112,1,0.0025,unprognostic - unfavorable
ENSG00000001036,0.09037238484597006,35.19559860229492,91,1,0.09037,unprognostic - unfavorable
ENSG00000001084,0.1315481312102778,14.231599807739258,111,1,0.1315,unprognostic - unfavorable
ENSG00000001167,0.49494999921092275,7.729300022125244,112,1,0.4949,unprognostic - unfavorable
ENSG00000001460,6.559091940116428e-05,2.244800090789795,77,1,6.559e-05,potential prognostic - unfavorable
ENSG00000001461,0.12604254717070149,8.189299583435059,103,1,0.126,unprognostic - unfavorable
ENSG00000001497,0.2949177272602139,12.051400184631348,111,-1,0.2949,unprognostic - favorable
ENSG00000001561,0.335768595643288,4.9274001121521,80,1,0.3358,unprognostic - unfavorable
ENSG00000001617,0.0008867580735676419,7.261099815368652,75,1,0.0008868,potential prognostic - unfavorable
ENSG00000001629,0.4371158807181751,27.77630043029785,67,1,0.4371,unprognostic - unfavorable
ENSG00000001630,0.13206248415200297,39.03519821166992,107,1,0.1321,unprognostic - unfavorable
ENSG00000001631,0.4257862672069148,9.456199645996094,103,1,0.4258,unprognostic - unfavorable
ENSG00000002016,0.11689155828738304,4.178299903869629,111,-1,0.1169,unprognostic - favorable
ENSG00000002330,0.1029194893601677,156.81300354003906,32,1,0.1029,unprognostic - unfavorable
ENSG00000002549,0.08952932998941969,94.47820281982422,110,1,0.08953,unprognostic - unfavorable
ENSG00000002586,0.05025318010890245,813.6439819335938,93,1,0.05025,unprognostic - unfavorable
ENSG00000002587,0.10493588774125491,12.343199729919434,43,-1,0.1049,unprognostic - favorable
ENSG00000002745,0.0014206621009969298,0.12129999697208405,112,1,0.001421,unprognostic - unfavorable
ENSG00000002746,0.28538120856620813,0.5866000056266785,91,1,0.2854,unprognostic - unfavorable
ENSG00000002822,0.09615297648756102,24.22640037536621,42,1,0.09615,unprognostic - unfavorable
ENSG00000002834,0.19209289514963454,86.44730377197266,56,1,0.1921,unprognostic - unfavorable
ENSG00000002919,0.06746294373179118,28.758699417114258,37,1,0.06746,unprognostic - unfavorable
