Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.0002377122562147481,20.215999603271484,138,1,0.0003059,potential prognostic - unfavorable
ENSG00000000419,0.0007459712431775105,45.06159973144531,317,1,0.0006796,potential prognostic - unfavorable
ENSG00000000457,0.012570001711965331,5.132999897003174,161,-1,0.01082,unprognostic - favorable
ENSG00000000460,0.02532343778970049,2.3099000453948975,366,1,0.03365,unprognostic - unfavorable
ENSG00000000938,0.07615430472932423,4.269199848175049,218,-1,0.06929,unprognostic - favorable
ENSG00000000971,0.2812645804965539,18.21139907836914,331,-1,0.2716,unprognostic - unfavorable
ENSG00000001036,0.029872048659690186,39.50080108642578,118,1,0.03436,unprognostic - unfavorable
ENSG00000001084,0.18651119856117923,70.4292984008789,110,1,0.203,unprognostic - unfavorable
ENSG00000001167,0.02478013338818202,17.426000595092773,118,-1,0.02225,unprognostic - favorable
ENSG00000001460,0.015421583041782616,10.846699714660645,110,-1,0.01385,unprognostic - favorable
ENSG00000001461,0.09575184589899294,18.409700393676758,102,-1,0.08814,unprognostic - favorable
ENSG00000001497,0.007604839442706622,20.63759994506836,191,1,0.009467,unprognostic - unfavorable
ENSG00000001561,0.1400333232378511,1.2121000289916992,160,1,0.1577,unprognostic - unfavorable
ENSG00000001617,0.22520603140025092,57.699501037597656,104,-1,0.2113,unprognostic - favorable
ENSG00000001629,0.22129764490909226,7.664899826049805,381,-1,0.1779,unprognostic - favorable
ENSG00000001630,0.0008284126326870158,54.34000015258789,105,1,0.001008,unprognostic - unfavorable
ENSG00000001631,0.04664135379638786,6.063499927520752,348,-1,0.0367,unprognostic - favorable
ENSG00000002016,0.09195661082512717,2.7144999504089355,257,-1,0.07643,unprognostic - favorable
ENSG00000002330,0.05116095151064239,50.63800048828125,388,1,0.07321,unprognostic - unfavorable
ENSG00000002549,0.44292715410953887,46.11790084838867,387,-1,0.4505,unprognostic - favorable
ENSG00000002586,0.05146884257313681,244.0019989013672,239,-1,0.04274,unprognostic - favorable
ENSG00000002587,0.01265462282313235,5.989099979400635,155,1,0.01376,unprognostic - unfavorable
ENSG00000002726,0.03104342958455434,3.519399881362915,117,-1,0.02817,unprognostic - favorable
ENSG00000002746,0.10952794918510494,1.3260999917984009,168,-1,0.09778,unprognostic - favorable
ENSG00000002822,0.06046046563305962,26.77280044555664,138,1,0.06903,unprognostic - unfavorable
ENSG00000002834,0.1384913854672688,63.46879959106445,391,1,0.1797,unprognostic - unfavorable
ENSG00000002919,0.08895569469854024,21.364200592041016,99,1,0.1108,unprognostic - favorable
ENSG00000002933,0.028342495661760985,9.278900146484375,386,-1,0.02047,unprognostic - favorable
ENSG00000003056,0.023866443476118264,76.55079650878906,339,1,0.03296,unprognostic - unfavorable
ENSG00000003096,0.04009090635385832,2.3548998832702637,371,1,0.05675,unprognostic - unfavorable
ENSG00000003137,0.23906118097368487,15.389699935913086,106,-1,0.2319,unprognostic - unfavorable
ENSG00000003147,0.1238038563085666,0.9071000218391418,316,-1,0.1059,unprognostic - favorable
ENSG00000003249,0.1550692477782924,2.723900079727173,383,-1,0.1405,unprognostic - favorable
ENSG00000003393,0.007978643934867911,1.9758000373840332,335,1,0.008216,unprognostic - unfavorable
ENSG00000003400,0.13780474758721634,6.355299949645996,186,-1,0.1294,unprognostic - favorable
ENSG00000003402,0.020342553426058185,40.329498291015625,314,-1,0.02437,unprognostic - favorable
ENSG00000003436,0.0646704561186382,28.21500015258789,111,1,0.06678,unprognostic - unfavorable
ENSG00000003509,0.28679986036638855,5.1768999099731445,266,1,0.2637,unprognostic - favorable
ENSG00000003756,0.03282053808677576,13.824399948120117,388,-1,0.02402,unprognostic - favorable
ENSG00000003989,0.023776250187636027,3.6821999549865723,114,-1,0.02139,unprognostic - favorable
ENSG00000004059,0.07682510072543114,187.02699279785156,392,-1,0.07149,unprognostic - favorable
ENSG00000004142,0.006891313491218298,90.52890014648438,100,1,0.008083,unprognostic - unfavorable
ENSG00000004399,0.009991983219776585,21.457500457763672,194,-1,0.00909,unprognostic - favorable
ENSG00000004455,0.03409984801789562,118.2969970703125,390,1,0.05053,unprognostic - unfavorable
ENSG00000004468,0.00019166060696791204,3.2829999923706055,280,-1,0.0001507,potential prognostic - favorable
ENSG00000004478,0.06593598954174468,94.36949920654297,176,1,0.07654,unprognostic - unfavorable
ENSG00000004487,0.03613535451714742,48.72159957885742,378,1,0.03556,unprognostic - unfavorable
ENSG00000004534,0.02022607672088542,15.584199905395508,282,-1,0.01713,unprognostic - favorable
ENSG00000004660,0.061750620327853216,4.177599906921387,320,-1,0.06644,unprognostic - favorable
ENSG00000004700,0.42925533533329596,18.80430030822754,269,-1,0.377,unprognostic - favorable
ENSG00000004766,0.01952956548298702,2.402100086212158,244,-1,0.01574,unprognostic - favorable
ENSG00000004776,0.032273956670742225,3.8310999870300293,233,1,0.02815,unprognostic - unfavorable
ENSG00000004777,0.0038113146893728202,1.798699975013733,212,-1,0.003072,unprognostic - favorable
ENSG00000004779,0.009647191364293381,105.63800048828125,354,1,0.01407,unprognostic - unfavorable
ENSG00000004799,0.13091940339186128,0.5989999771118164,335,1,0.1179,unprognostic - unfavorable
ENSG00000004864,0.16829920286356734,18.968599319458008,111,1,0.184,unprognostic - unfavorable
ENSG00000004866,0.16856723985160518,15.585700035095215,145,1,0.1872,unprognostic - unfavorable
ENSG00000004897,0.028290234934448655,27.815099716186523,101,1,0.03223,unprognostic - unfavorable
ENSG00000004961,0.03804058382079888,20.375099182128906,382,1,0.03468,unprognostic - unfavorable
ENSG00000004975,0.04020410717353771,15.599300384521484,326,-1,0.02987,unprognostic - favorable
ENSG00000005001,0.23192979283522167,1.4736000299453735,235,1,0.2115,unprognostic - unfavorable
ENSG00000005007,0.1213005963572006,36.59659957885742,210,-1,0.1053,unprognostic - favorable
ENSG00000005020,0.0154603455853678,7.147799968719482,384,1,0.02369,unprognostic - unfavorable
ENSG00000005022,0.0037545463403122147,413.0169982910156,295,1,0.00525,unprognostic - unfavorable
ENSG00000005059,0.16317602841728002,24.104000091552734,111,1,0.1205,unprognostic - unfavorable
ENSG00000005075,0.013797039597055064,72.63130187988281,278,1,0.01821,unprognostic - unfavorable
ENSG00000005100,0.3251460478216935,6.606400012969971,274,-1,0.2949,unprognostic - favorable
ENSG00000005102,0.006386633517151993,1.0990999937057495,331,-1,0.007813,unprognostic - favorable
ENSG00000005156,0.2574366339816246,6.31879997253418,328,-1,0.2218,unprognostic - favorable
ENSG00000005175,0.06769107168827533,19.64550018310547,105,1,0.07574,unprognostic - unfavorable
ENSG00000005187,0.031329654310863805,0.4205999970436096,391,1,0.0373,unprognostic - unfavorable
ENSG00000005189,0.0013461116049338674,1.0506999492645264,379,1,0.002028,unprognostic - unfavorable
ENSG00000005194,2.8617335088152447e-05,44.47650146484375,229,1,4.218e-05,potential prognostic - unfavorable
ENSG00000005206,0.014987767487669532,14.776200294494629,248,-1,0.01197,unprognostic - favorable
ENSG00000005238,0.28481454649746557,16.13479995727539,265,-1,0.3088,unprognostic - favorable
ENSG00000005243,0.02819623155168645,24.344900131225586,370,1,0.02744,unprognostic - unfavorable
ENSG00000005302,0.012693601851487981,15.535499572753906,115,-1,0.01133,unprognostic - favorable
ENSG00000005339,0.08516176618009359,19.181100845336914,191,-1,0.07435,unprognostic - favorable
ENSG00000005379,0.005886913307055654,1.270400047302246,178,-1,0.004739,unprognostic - favorable
ENSG00000005436,0.14959364152426166,11.277600288391113,158,-1,0.1352,unprognostic - favorable
ENSG00000005448,0.0006854499294762492,17.16819953918457,296,1,0.00101,unprognostic - unfavorable
ENSG00000005469,0.08392057099557407,9.010199546813965,295,-1,0.09177,unprognostic - favorable
ENSG00000005483,0.10655927809111473,8.081100463867188,386,-1,0.0817,unprognostic - favorable
ENSG00000005486,0.08313091029814781,85.19629669189453,132,1,0.09311,unprognostic - unfavorable
ENSG00000005700,0.10177631339119537,4.5696001052856445,231,-1,0.08702,unprognostic - favorable
ENSG00000005801,0.3018396213500967,6.047999858856201,245,-1,0.2651,unprognostic - favorable
ENSG00000005810,0.05944083864321326,21.780099868774414,310,-1,0.06963,unprognostic - favorable
ENSG00000005812,0.1805116002353581,17.366500854492188,224,-1,0.1577,unprognostic - favorable
ENSG00000005844,0.0010157368086165484,1.7170000076293945,286,-1,0.0008088,potential prognostic - favorable
ENSG00000005882,0.007319116343299017,22.661300659179688,101,-1,0.006609,unprognostic - favorable
ENSG00000005884,0.0001549165566166722,240.11300659179688,100,1,0.0001602,potential prognostic - unfavorable
ENSG00000005889,0.25671111528718404,5.283999919891357,253,1,0.2825,unprognostic - unfavorable
ENSG00000005893,0.024413636069052752,59.15039825439453,318,1,0.03303,unprognostic - unfavorable
ENSG00000006007,0.011990488143702151,25.72570037841797,315,1,0.0111,unprognostic - unfavorable
ENSG00000006015,0.2434476396024396,30.502500534057617,162,-1,0.2222,unprognostic - favorable
ENSG00000006016,0.015520541384926574,11.992500305175781,102,-1,0.01229,unprognostic - favorable
ENSG00000006025,0.03632211423598042,3.0002999305725098,108,-1,0.03303,unprognostic - favorable
ENSG00000006042,0.06509084114482527,15.053400039672852,296,1,0.05658,unprognostic - unfavorable
ENSG00000006047,0.08586659109656565,0.054099999368190765,357,1,0.09363,unprognostic - favorable
ENSG00000006062,0.006253034626275828,6.720799922943115,112,-1,0.005569,unprognostic - favorable
ENSG00000006118,0.33363467903977734,62.199501037597656,223,1,0.3414,unprognostic - favorable
ENSG00000006125,0.22670984067621885,47.88520050048828,208,1,0.2445,unprognostic - unfavorable
ENSG00000006194,0.15324125016935822,14.464500427246094,324,-1,0.1208,unprognostic - favorable
ENSG00000006210,0.25430856075478925,22.90290069580078,190,1,0.2529,unprognostic - favorable
ENSG00000006282,0.015487101322538183,18.510099411010742,101,1,0.01777,unprognostic - unfavorable
ENSG00000006327,0.000262150228942966,216.55499267578125,141,1,0.0002633,potential prognostic - unfavorable
ENSG00000006377,0.16481669668267485,0.659500002861023,294,1,0.1993,unprognostic - unfavorable
ENSG00000006432,0.05143900284339712,1.937600016593933,367,-1,0.05858,unprognostic - favorable
