Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.0678303406719723,7.744200229644775,49,1,0.06783,unprognostic - unfavorable
ENSG00000000419,0.014644892938967992,43.7411003112793,16,1,0.01464,unprognostic - unfavorable
ENSG00000000457,0.008528992471653413,3.932300090789795,13,1,0.0111,unprognostic - unfavorable
ENSG00000000938,0.13762657343712217,1.656999945640564,36,-1,0.1376,unprognostic - favorable
ENSG00000000971,0.026355104414378244,3.870300054550171,22,1,0.02636,unprognostic - unfavorable
ENSG00000001036,0.002307333352087449,28.530399322509766,31,1,0.002307,unprognostic - unfavorable
ENSG00000001084,0.006099668824116649,19.96339988708496,25,1,0.0061,unprognostic - unfavorable
ENSG00000001167,0.0032315611015296245,5.8231000900268555,30,1,0.003232,unprognostic - unfavorable
ENSG00000001460,0.04817285646748231,2.8210999965667725,15,1,0.04817,unprognostic - unfavorable
ENSG00000001461,0.004879780963994595,15.21090030670166,21,1,0.00488,unprognostic - unfavorable
ENSG00000001497,0.021171020704258987,20.41160011291504,33,1,0.02117,unprognostic - unfavorable
ENSG00000001561,0.08099584689162524,21.62660026550293,14,1,0.081,unprognostic - unfavorable
ENSG00000001617,0.2389713743584486,107.0719985961914,17,1,0.239,unprognostic - unfavorable
ENSG00000001626,0.003678720401458683,135.45599365234375,13,1,0.005498,unprognostic - unfavorable
ENSG00000001629,2.9577984878219824e-06,8.804699897766113,17,1,2.958e-06,potential prognostic - unfavorable
ENSG00000001630,0.0007259969698290472,122.37999725341797,14,1,0.000726,potential prognostic - unfavorable
ENSG00000001631,0.00021089826175394892,22.83799934387207,14,1,0.0002109,potential prognostic - unfavorable
ENSG00000002016,1.6468357396020434e-05,2.9238998889923096,18,1,1.647e-05,potential prognostic - unfavorable
ENSG00000002330,0.003483335540202464,88.95069885253906,25,1,0.003483,unprognostic - unfavorable
ENSG00000002549,0.061716399930404536,75.77069854736328,14,1,0.06172,unprognostic - unfavorable
ENSG00000002586,0.02030680418901555,47.15919876098633,13,1,0.04043,unprognostic - unfavorable
ENSG00000002587,0.2292533160053052,2.494800090789795,50,-1,0.2293,unprognostic - favorable
ENSG00000002726,0.06005531087450751,0.3955000042915344,19,-1,0.06006,unprognostic - favorable
ENSG00000002822,0.13366953675356394,9.465200424194336,38,1,0.1337,unprognostic - unfavorable
ENSG00000002834,0.05059674205128462,69.9269027709961,13,1,0.06514,unprognostic - unfavorable
ENSG00000002919,0.07793202981683803,8.764399528503418,41,1,0.07793,unprognostic - unfavorable
ENSG00000002933,0.3381273469912284,3.2427000999450684,39,-1,0.3381,unprognostic - favorable
ENSG00000003056,0.0015233559681345713,115.47200012207031,21,1,0.001523,unprognostic - unfavorable
ENSG00000003096,0.20680413602725778,5.014100074768066,45,1,0.2068,unprognostic - unfavorable
ENSG00000003137,0.04205808961970747,0.42649999260902405,44,1,0.04206,unprognostic - unfavorable
ENSG00000003147,0.11336300198324109,35.12229919433594,28,1,0.1134,unprognostic - unfavorable
ENSG00000003249,0.00962703922979675,18.221599578857422,26,-1,0.009627,unprognostic - favorable
ENSG00000003393,0.008479587007921976,3.193000078201294,32,1,0.00848,unprognostic - unfavorable
ENSG00000003400,0.07603127155805454,1.4924999475479126,40,1,0.07603,unprognostic - unfavorable
ENSG00000003402,0.008710561806234342,18.166000366210938,33,1,0.008711,unprognostic - unfavorable
ENSG00000003436,0.08066065388175242,7.848899841308594,15,1,0.08066,unprognostic - unfavorable
ENSG00000003509,0.020941286467667374,7.309299945831299,21,1,0.02094,unprognostic - unfavorable
ENSG00000003756,0.03118427239752773,13.856300354003906,36,1,0.03118,unprognostic - unfavorable
ENSG00000003989,0.0016035866558312194,7.150700092315674,13,1,0.004344,unprognostic - unfavorable
ENSG00000004059,0.0020834587085045496,210.9600067138672,28,1,0.002083,unprognostic - unfavorable
ENSG00000004139,0.06688015415268524,1.705199956893921,13,1,0.1012,unprognostic - unfavorable
ENSG00000004142,0.006154424038603731,57.74919891357422,40,1,0.006154,unprognostic - unfavorable
ENSG00000004399,0.34139662333569,19.060100555419922,18,-1,0.3414,unprognostic - favorable
ENSG00000004455,5.4911106849894977e-05,101.33200073242188,15,1,5.491e-05,potential prognostic - unfavorable
ENSG00000004478,0.005972032029940909,70.09269714355469,23,1,0.005972,unprognostic - unfavorable
ENSG00000004487,0.01368304905199175,26.86680030822754,27,1,0.01368,unprognostic - unfavorable
ENSG00000004534,0.01766728307024982,23.522499084472656,15,1,0.01767,unprognostic - unfavorable
ENSG00000004660,0.1420345220844378,1.4914000034332275,45,-1,0.142,unprognostic - favorable
ENSG00000004700,0.009654333632355594,10.92039966583252,26,1,0.009654,unprognostic - unfavorable
ENSG00000004766,0.01016777118884711,4.30049991607666,15,1,0.01017,unprognostic - unfavorable
ENSG00000004776,0.03197365143861433,9.573699951171875,14,1,0.03197,unprognostic - unfavorable
ENSG00000004777,0.019658709671114622,3.1328999996185303,16,1,0.01966,unprognostic - unfavorable
ENSG00000004779,0.2779619443049347,123.8030014038086,50,-1,0.1942,unprognostic - favorable
ENSG00000004799,0.1483425165066632,6.767099857330322,42,-1,0.1483,unprognostic - favorable
ENSG00000004864,0.0029639050959966314,13.624300003051758,21,1,0.002964,unprognostic - unfavorable
ENSG00000004866,0.009789718446100461,66.60130310058594,18,1,0.00979,unprognostic - unfavorable
ENSG00000004897,0.001169173704699463,11.86139965057373,13,1,0.002059,unprognostic - unfavorable
ENSG00000004939,0.024853688394494495,97.2166976928711,46,-1,0.02485,unprognostic - favorable
ENSG00000004948,0.2979233177481333,0.0272000003606081,40,-1,0.2979,unprognostic - favorable
ENSG00000004961,0.01647628688447311,57.041500091552734,21,1,0.01648,unprognostic - unfavorable
ENSG00000004975,0.0029010928555624417,10.90470027923584,24,1,0.002901,unprognostic - unfavorable
ENSG00000005001,0.018031165530154623,0.1103999987244606,35,-1,0.01803,unprognostic - favorable
ENSG00000005007,0.013817572109330665,52.74580001831055,16,1,0.01382,unprognostic - unfavorable
ENSG00000005020,0.00032043048654436027,42.16230010986328,14,1,0.0003204,potential prognostic - unfavorable
ENSG00000005022,0.2488327131481575,1244.81005859375,13,1,0.2964,unprognostic - unfavorable
ENSG00000005059,0.0009882048963269232,2.406399965286255,13,1,0.001524,unprognostic - unfavorable
ENSG00000005073,7.455858751264681e-05,5.170499801635742,24,1,7.456e-05,potential prognostic - unfavorable
ENSG00000005075,0.02754785863270796,91.77950286865234,21,1,0.02755,unprognostic - unfavorable
ENSG00000005100,0.017969503085942154,2.1175999641418457,31,1,0.01797,unprognostic - unfavorable
ENSG00000005108,0.02414857236132616,33.8760986328125,13,1,0.04636,unprognostic - unfavorable
ENSG00000005156,0.005334745366311929,4.21750020980835,22,1,0.005335,unprognostic - unfavorable
