Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,4.432106836916626e-06,15.51360034942627,389,-1,5.3e-06,potential prognostic - favorable
ENSG00000000005,0.0016257178390660313,0.11819999665021896,371,-1,0.00179,unprognostic - favorable
ENSG00000000419,0.003152620717877145,27.24020004272461,412,-1,0.003222,unprognostic - favorable
ENSG00000000457,0.0274432012276285,4.709000110626221,275,-1,0.02856,unprognostic - favorable
ENSG00000000460,0.0010800398681216955,1.0485999584197998,274,-1,0.001201,unprognostic - favorable
ENSG00000000938,0.01736486022881664,7.963600158691406,351,-1,0.01953,unprognostic - favorable
ENSG00000000971,0.004113889983010535,59.57780075073242,111,1,0.004373,unprognostic - unfavorable
ENSG00000001036,0.00023471454206459733,50.5348014831543,260,-1,0.0002264,potential prognostic - favorable
ENSG00000001084,1.436158175756356e-07,13.888500213623047,346,-1,1.502e-07,potential prognostic - favorable
ENSG00000001167,0.0008179687063653919,13.179900169372559,166,-1,0.000935,potential prognostic - favorable
ENSG00000001460,3.20070434816723e-08,4.024099826812744,309,-1,2.669e-08,potential prognostic - favorable
ENSG00000001461,4.369487765220549e-09,11.947600364685059,345,-1,3.662e-09,potential prognostic - favorable
ENSG00000001497,0.002084293207969615,12.72350025177002,380,-1,0.00227,unprognostic - favorable
ENSG00000001561,8.816296458344883e-09,9.40839958190918,351,-1,9.865e-09,validated prognostic - favorable
ENSG00000001617,7.905159292853785e-07,34.094398498535156,391,-1,7.7e-07,potential prognostic - favorable
ENSG00000001626,0.00900743571411878,0.05810000002384186,152,-1,0.008105,unprognostic - favorable
ENSG00000001629,6.789414345044119e-06,15.144399642944336,301,-1,8.496e-06,potential prognostic - favorable
ENSG00000001630,5.172234593422746e-09,15.812199592590332,386,-1,5.891e-09,potential prognostic - favorable
ENSG00000001631,1.9821574783135436e-06,8.044400215148926,367,-1,2.185e-06,potential prognostic - favorable
ENSG00000002016,0.0035442379920381955,5.307700157165527,182,1,0.002983,unprognostic - unfavorable
ENSG00000002330,0.10943044291781644,83.9094009399414,150,1,0.111,unprognostic - unfavorable
ENSG00000002549,8.726986992538065e-05,68.31659698486328,354,-1,9.885e-05,potential prognostic - favorable
ENSG00000002586,0.1091955513543011,173.52999877929688,391,-1,0.09208,unprognostic - favorable
ENSG00000002587,4.427103630049677e-06,2.662400007247925,409,-1,5.162e-06,potential prognostic - favorable
ENSG00000002726,1.2476765526754194e-06,27.688899993896484,369,-1,1.509e-06,validated prognostic - favorable
ENSG00000002746,0.001799220932598314,1.5866999626159668,229,1,0.001677,unprognostic - unfavorable
ENSG00000002822,0.12923476048788313,11.398500442504883,297,-1,0.1347,unprognostic - favorable
ENSG00000002834,5.123516311391819e-05,93.36990356445312,373,-1,5.219e-05,potential prognostic - favorable
ENSG00000002919,5.415250049856548e-05,11.809399604797363,374,-1,5.677e-05,potential prognostic - favorable
ENSG00000002933,0.00018096864150741007,804.5009765625,244,-1,0.0002026,potential prognostic - favorable
ENSG00000003056,0.008661458105580491,102.36900329589844,347,-1,0.01001,unprognostic - favorable
ENSG00000003096,3.2707112244767253e-06,3.553999900817871,329,-1,3.808e-06,potential prognostic - favorable
ENSG00000003137,0.02154504048929158,1.4500999450683594,304,-1,0.0188,unprognostic - favorable
ENSG00000003147,2.3467530847545976e-10,4.0854997634887695,408,-1,2.714e-10,potential prognostic - favorable
ENSG00000003249,0.002026654081666932,17.591999053955078,168,-1,0.001909,unprognostic - favorable
ENSG00000003393,0.00037976452196803075,2.231300115585327,401,-1,0.0003782,potential prognostic - favorable
ENSG00000003400,0.009854528018999222,12.514100074768066,114,-1,0.009558,unprognostic - favorable
ENSG00000003402,0.0007979105813044127,78.30750274658203,183,-1,0.0009324,potential prognostic - favorable
ENSG00000003436,0.004100508015784776,80.87239837646484,323,-1,0.003539,unprognostic - favorable
ENSG00000003509,0.005024218716014969,8.006500244140625,203,-1,0.006001,unprognostic - favorable
ENSG00000003756,0.07792723947945082,16.774799346923828,349,-1,0.07803,unprognostic - favorable
ENSG00000003989,0.039217495119815884,17.589500427246094,107,1,0.04325,unprognostic - unfavorable
ENSG00000004059,0.03412417782333664,204.3730010986328,125,1,0.03648,unprognostic - unfavorable
ENSG00000004139,4.6071694607585364e-05,1.8245999813079834,311,-1,4.938e-05,potential prognostic - favorable
ENSG00000004142,0.08429010139189622,56.03300094604492,416,-1,0.08333,unprognostic - favorable
ENSG00000004399,0.00326749911364914,79.42639923095703,215,-1,0.002824,unprognostic - favorable
ENSG00000004455,0.00010198391053562669,137.62600708007812,324,-1,8.94e-05,potential prognostic - favorable
ENSG00000004468,0.0015773120755462478,3.6833999156951904,113,1,0.001183,unprognostic - unfavorable
ENSG00000004478,0.02374855349338496,29.82080078125,410,-1,0.02511,unprognostic - favorable
ENSG00000004487,0.0038961000908563953,25.473800659179688,317,-1,0.003585,unprognostic - favorable
ENSG00000004534,6.0506782000765784e-05,28.698299407958984,140,1,6.379e-05,potential prognostic - unfavorable
ENSG00000004660,0.05858639361357766,4.597400188446045,345,-1,0.06308,unprognostic - favorable
ENSG00000004700,0.001264579842886702,13.446399688720703,394,-1,0.001302,unprognostic - favorable
ENSG00000004766,0.1830506630791546,2.880500078201294,219,-1,0.1938,unprognostic - unfavorable
ENSG00000004776,0.1142846415106966,13.11050033569336,187,1,0.1231,unprognostic - unfavorable
ENSG00000004777,6.242215519840249e-05,5.034299850463867,168,1,5.413e-05,potential prognostic - unfavorable
