Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.011032707958398091,29.22480010986328,87,1,0.009459,unprognostic - unfavorable
ENSG00000000419,0.015145136945729422,40.12350082397461,78,1,0.01382,unprognostic - unfavorable
ENSG00000000457,0.279614932561022,3.2802999019622803,179,-1,0.276,unprognostic - favorable
ENSG00000000938,0.024603860207049213,3.6647000312805176,200,-1,0.02336,unprognostic - favorable
ENSG00000000971,0.15854105909755103,6.0696001052856445,177,1,0.1775,unprognostic - unfavorable
ENSG00000001036,0.09235202546896513,71.95149993896484,123,1,0.07579,unprognostic - unfavorable
ENSG00000001084,0.0008353203593116192,29.85610008239746,67,1,0.0006651,potential prognostic - unfavorable
ENSG00000001167,0.0425503908338011,11.145899772644043,119,1,0.04495,unprognostic - unfavorable
ENSG00000001460,0.009702962843930516,7.9532999992370605,129,-1,0.00832,unprognostic - favorable
ENSG00000001461,0.013947603981939257,9.340700149536133,213,-1,0.01284,unprognostic - favorable
ENSG00000001497,0.07500789051065702,11.707200050354004,223,-1,0.06822,unprognostic - favorable
ENSG00000001561,0.1007946482121025,9.270099639892578,121,-1,0.1193,unprognostic - favorable
ENSG00000001617,0.2521260389401773,9.83899974822998,190,1,0.2703,unprognostic - unfavorable
ENSG00000001626,0.05655926870750867,0.05009999871253967,127,-1,0.06356,unprognostic - favorable
ENSG00000001629,0.03272509067165658,13.841099739074707,205,-1,0.03763,unprognostic - favorable
ENSG00000001630,0.29361526327244797,21.062299728393555,125,1,0.3055,unprognostic - unfavorable
ENSG00000001631,0.18620406784196758,8.718999862670898,151,-1,0.1905,unprognostic - favorable
ENSG00000002016,0.25354907616745087,3.556999921798706,187,-1,0.2597,unprognostic - favorable
ENSG00000002330,0.03821315916082177,72.80239868164062,219,-1,0.03142,unprognostic - favorable
ENSG00000002549,0.00889697591169869,50.6786003112793,115,-1,0.01018,unprognostic - favorable
ENSG00000002586,0.05278862539292637,100.87200164794922,181,1,0.04791,unprognostic - unfavorable
ENSG00000002587,0.05457467797075952,46.77870178222656,69,-1,0.05407,unprognostic - favorable
ENSG00000002726,0.010663364679490535,75.44450378417969,107,-1,0.01205,unprognostic - favorable
ENSG00000002746,0.026242055437796286,0.6051999926567078,169,1,0.02271,unprognostic - unfavorable
ENSG00000002822,0.0006013309043966123,16.489200592041016,199,-1,0.000571,potential prognostic - favorable
ENSG00000002834,0.24075599260172498,181.97300720214844,99,1,0.2488,unprognostic - unfavorable
ENSG00000002919,0.001133218973013248,16.6382999420166,175,-1,0.001175,unprognostic - favorable
ENSG00000002933,0.024230949360349394,394.9570007324219,220,-1,0.01853,unprognostic - favorable
ENSG00000003056,0.09450424018789745,103.7979965209961,165,1,0.08699,unprognostic - unfavorable
ENSG00000003096,0.006823399026531907,6.4934000968933105,133,1,0.005487,unprognostic - unfavorable
ENSG00000003137,0.2500228545741878,0.8877000212669373,207,1,0.2491,unprognostic - unfavorable
ENSG00000003147,0.0012142914496383972,13.936699867248535,180,-1,0.001178,unprognostic - favorable
ENSG00000003249,0.00014826240699795888,44.41899871826172,162,-1,0.0001841,potential prognostic - favorable
ENSG00000003393,0.0005521533569677743,4.460999965667725,58,1,0.0004056,potential prognostic - unfavorable
ENSG00000003400,0.06928184016115033,7.773900032043457,64,1,0.0765,unprognostic - unfavorable
ENSG00000003402,0.24031358967517263,66.44339752197266,57,1,0.2714,unprognostic - unfavorable
ENSG00000003436,0.226186136959897,112.36599731445312,85,1,0.2245,unprognostic - unfavorable
ENSG00000003509,0.08780376833574736,6.697999954223633,217,-1,0.08727,unprognostic - favorable
ENSG00000003756,0.0010256802198323374,16.054399490356445,217,-1,0.0008819,potential prognostic - favorable
ENSG00000003989,0.011668140766393212,3.0659000873565674,59,1,0.01288,unprognostic - unfavorable
ENSG00000004059,0.05255079757674289,310.1719970703125,106,-1,0.04718,unprognostic - favorable
ENSG00000004139,0.05709726682515851,1.9019999504089355,186,-1,0.05123,unprognostic - favorable
ENSG00000004142,0.0032657781813623036,126.20899963378906,139,-1,0.003575,unprognostic - favorable
ENSG00000004399,0.01242313856481902,12.51140022277832,142,1,0.0148,unprognostic - unfavorable
ENSG00000004455,0.039457535536974384,119.48200225830078,115,-1,0.04794,unprognostic - favorable
ENSG00000004468,0.005415807170058088,1.3320000171661377,68,1,0.006136,unprognostic - unfavorable
ENSG00000004478,0.006991713701306204,56.59120178222656,68,1,0.006123,unprognostic - unfavorable
ENSG00000004487,0.21183951583571953,23.489500045776367,222,1,0.2129,unprognostic - unfavorable
ENSG00000004534,0.06535660524730613,29.807199478149414,153,-1,0.05427,unprognostic - favorable
ENSG00000004660,0.013426823497036512,3.2822999954223633,205,-1,0.0134,unprognostic - favorable
ENSG00000004700,0.19582143581383582,20.520000457763672,126,1,0.159,unprognostic - unfavorable
ENSG00000004766,0.007892550744090251,2.571500062942505,144,-1,0.00852,unprognostic - favorable
ENSG00000004776,0.0008836631684599514,5.712399959564209,134,1,0.001103,unprognostic - unfavorable
ENSG00000004777,0.24764316364685124,2.0669000148773193,193,1,0.2643,unprognostic - unfavorable
ENSG00000004779,0.005659127311564833,133.33099365234375,164,-1,0.006766,unprognostic - favorable
ENSG00000004799,0.0005639996911713674,25.453500747680664,67,1,0.0004726,potential prognostic - unfavorable
ENSG00000004838,9.886875892659426e-06,5.646999835968018,195,-1,1.167e-05,potential prognostic - favorable
ENSG00000004846,0.045599037850863396,0.06620000302791595,187,-1,0.0501,unprognostic - favorable
ENSG00000004864,0.0630996142360893,26.388099670410156,73,-1,0.07033,unprognostic - favorable
ENSG00000004866,0.01288694966892047,20.63360023498535,169,-1,0.01569,unprognostic - favorable
ENSG00000004897,0.007089707123924638,15.338700294494629,79,1,0.006822,unprognostic - unfavorable
