Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.07170689384996748,18.687599182128906,379,1,0.07077,unprognostic - unfavorable
ENSG00000000419,0.09116019424090113,49.94340133666992,184,1,0.08941,unprognostic - unfavorable
ENSG00000000457,0.2465776362965353,9.757699966430664,114,-1,0.2456,unprognostic - favorable
ENSG00000000460,0.00026941275904468736,3.1882998943328857,243,1,0.0002643,validated prognostic - unfavorable
ENSG00000000938,0.024512284092876903,11.833600044250488,197,-1,0.02494,unprognostic - favorable
ENSG00000000971,0.1761272172775565,27.680999755859375,324,1,0.1752,unprognostic - unfavorable
ENSG00000001036,5.4297132042993325e-05,45.97600173950195,218,1,5.33e-05,potential prognostic - unfavorable
ENSG00000001084,0.0009035266800579863,18.3710994720459,279,1,0.0008889,potential prognostic - unfavorable
ENSG00000001167,0.01355576741969659,11.820699691772461,393,1,0.01353,unprognostic - unfavorable
ENSG00000001460,0.004325768065589742,3.371999979019165,365,1,0.004275,unprognostic - unfavorable
ENSG00000001461,0.07008648151686725,13.384499549865723,259,-1,0.07077,unprognostic - favorable
ENSG00000001497,0.061686181390516646,15.721599578857422,208,1,0.06098,unprognostic - unfavorable
ENSG00000001561,0.009444780415819616,9.26360034942627,342,-1,0.009595,unprognostic - favorable
ENSG00000001617,0.03195102928738185,21.202699661254883,109,1,0.03226,unprognostic - unfavorable
ENSG00000001626,0.00030405841823459085,0.9645000100135803,323,-1,0.0003023,potential prognostic - favorable
ENSG00000001629,0.026552550497284617,13.703399658203125,218,1,0.02615,unprognostic - unfavorable
ENSG00000001630,0.050546101049207835,35.74869918823242,280,1,0.05012,unprognostic - unfavorable
ENSG00000001631,0.33615525715790345,13.494000434875488,100,-1,0.3442,unprognostic - unfavorable
ENSG00000002016,0.231235272301049,5.075300216674805,129,1,0.2291,unprognostic - unfavorable
ENSG00000002330,0.030800107046011986,55.28779983520508,396,-1,0.0277,unprognostic - favorable
ENSG00000002549,0.08004024985899084,127.24199676513672,100,1,0.1059,unprognostic - unfavorable
ENSG00000002586,0.00020191444887072515,313.9670104980469,117,1,0.000205,validated prognostic - unfavorable
ENSG00000002587,0.22966326930602163,10.934100151062012,162,1,0.231,unprognostic - unfavorable
ENSG00000002726,0.13524119817635644,13.402099609375,190,-1,0.1367,unprognostic - favorable
ENSG00000002745,0.0024818967481569595,0.10279999673366547,279,-1,0.002506,unprognostic - favorable
ENSG00000002746,0.13735189113153654,1.2519999742507935,296,1,0.1383,unprognostic - unfavorable
ENSG00000002822,0.10676565725429513,22.602500915527344,123,1,0.1084,unprognostic - unfavorable
ENSG00000002834,0.000305576212714091,98.3656997680664,332,1,0.0003138,potential prognostic - unfavorable
ENSG00000002919,0.2397113555388338,17.975200653076172,169,-1,0.2431,unprognostic - favorable
ENSG00000002933,0.060847114972840524,91.14530181884766,216,-1,0.0619,unprognostic - favorable
ENSG00000003056,0.16968706843848452,100.1510009765625,220,1,0.1679,unprognostic - unfavorable
ENSG00000003096,0.023487762079371265,1.937000036239624,110,-1,0.02358,unprognostic - favorable
ENSG00000003137,0.10411369094962454,1.5003999471664429,227,1,0.1032,unprognostic - unfavorable
ENSG00000003147,0.3766278607138499,49.19049835205078,122,-1,0.3751,unprognostic - favorable
ENSG00000003249,0.15573706667737405,31.08180046081543,133,-1,0.1553,unprognostic - favorable
ENSG00000003393,0.060401316649720434,4.079800128936768,227,-1,0.06111,unprognostic - favorable
ENSG00000003400,0.020120073887534992,7.094799995422363,387,-1,0.02,unprognostic - favorable
ENSG00000003402,0.09063232266379284,44.68170166015625,394,-1,0.09016,unprognostic - favorable
ENSG00000003436,0.034612473172816814,86.26699829101562,193,1,0.03501,unprognostic - unfavorable
ENSG00000003509,0.2503406687351596,5.581600189208984,380,-1,0.2506,unprognostic - favorable
ENSG00000003756,0.014961326440152006,20.86210060119629,350,-1,0.01485,unprognostic - favorable
ENSG00000003987,0.007656287267460331,1.1390000581741333,134,-1,0.007841,unprognostic - favorable
ENSG00000003989,0.23946268841492602,30.412599563598633,100,1,0.2724,unprognostic - unfavorable
ENSG00000004059,0.1161096997382159,256.947998046875,125,-1,0.1151,unprognostic - favorable
ENSG00000004139,0.06950944053085167,0.7767000198364258,395,-1,0.06906,unprognostic - favorable
ENSG00000004142,0.010991916002410654,84.16500091552734,140,1,0.01113,unprognostic - unfavorable
ENSG00000004399,0.0383417573883604,70.22380065917969,116,-1,0.0381,unprognostic - favorable
ENSG00000004455,0.09407669690892778,187.28399658203125,153,-1,0.09621,unprognostic - favorable
ENSG00000004468,0.04003249411472639,4.730599880218506,288,-1,0.04048,unprognostic - favorable
ENSG00000004478,4.927716456028131e-07,60.23270034790039,123,1,4.679e-07,potential prognostic - unfavorable
ENSG00000004487,0.07545912644806609,37.02640151977539,340,1,0.07564,unprognostic - unfavorable
ENSG00000004534,0.020082323003839456,20.595300674438477,370,-1,0.02013,unprognostic - favorable
ENSG00000004660,0.0005826988292152144,4.508399963378906,197,-1,0.0005827,potential prognostic - favorable
ENSG00000004700,0.0010993580913803583,16.826400756835938,194,1,0.001071,unprognostic - unfavorable
ENSG00000004766,0.2420725645564219,2.4702000617980957,315,1,0.2414,unprognostic - unfavorable
ENSG00000004776,0.005281190182627652,14.203399658203125,123,-1,0.005232,unprognostic - favorable
ENSG00000004777,0.1542715385059457,3.3740999698638916,203,-1,0.1553,unprognostic - favorable
ENSG00000004779,0.008770660860287204,141.1060028076172,172,1,0.008495,unprognostic - unfavorable
ENSG00000004799,0.16233077250842334,4.252200126647949,385,-1,0.159,unprognostic - favorable
ENSG00000004838,0.04020418288770557,0.6934000253677368,393,-1,0.04079,unprognostic - favorable
ENSG00000004848,0.14803647992551938,0.11299999803304672,378,1,0.1346,unprognostic - unfavorable
ENSG00000004864,0.05318009278245401,18.24959945678711,155,1,0.05234,unprognostic - unfavorable
ENSG00000004866,0.009740987197114906,18.82659912109375,369,-1,0.009921,unprognostic - favorable
ENSG00000004897,0.0012810481086925033,14.656100273132324,276,1,0.001265,unprognostic - unfavorable
