Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.029122383651956345,20.018800735473633,327,-1,0.02599,unprognostic - favorable
ENSG00000000419,0.09454523904869139,56.137901306152344,305,-1,0.09829,unprognostic - favorable
ENSG00000000457,0.2393713031630261,5.099100112915039,356,1,0.2319,unprognostic - unfavorable
ENSG00000000460,0.06734142553125301,3.4786999225616455,381,-1,0.07045,unprognostic - favorable
ENSG00000000938,0.08295750034572637,4.795400142669678,343,1,0.09143,unprognostic - unfavorable
ENSG00000000971,0.20462708808006516,19.876399993896484,327,1,0.2155,unprognostic - unfavorable
ENSG00000001036,0.06512614674245458,27.27389907836914,386,1,0.06105,unprognostic - unfavorable
ENSG00000001084,0.2861740311503402,43.72819900512695,319,-1,0.2992,unprognostic - favorable
ENSG00000001167,0.3120232296562022,14.635600090026855,285,1,0.3083,unprognostic - unfavorable
ENSG00000001460,0.010661270611951471,10.405699729919434,110,-1,0.01237,unprognostic - favorable
ENSG00000001461,0.17183019228636418,15.417200088500977,150,-1,0.1822,unprognostic - favorable
ENSG00000001497,0.03118594940030413,17.784099578857422,238,-1,0.03293,unprognostic - favorable
ENSG00000001561,0.0006086518554593262,5.696800231933594,127,1,0.000648,potential prognostic - unfavorable
ENSG00000001617,0.2064500045687712,43.13520050048828,204,-1,0.2147,unprognostic - favorable
ENSG00000001626,0.030433801876213116,2.272700071334839,101,1,0.03114,unprognostic - unfavorable
ENSG00000001629,0.0453214982884539,12.50409984588623,272,-1,0.04095,unprognostic - favorable
ENSG00000001630,0.21604665584221325,67.02960205078125,116,-1,0.2304,unprognostic - favorable
ENSG00000001631,0.023573977524872638,11.732099533081055,262,-1,0.022,unprognostic - favorable
ENSG00000002016,0.012583082175201678,3.2980000972747803,372,-1,0.01252,unprognostic - unfavorable
ENSG00000002330,0.10297368156845915,80.66410064697266,205,1,0.09615,unprognostic - unfavorable
ENSG00000002549,0.002553227116067343,62.67290115356445,259,1,0.002823,unprognostic - unfavorable
ENSG00000002586,0.1304387312037463,242.5590057373047,303,1,0.1255,unprognostic - unfavorable
