Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.00011479513516757661,18.51219940185547,59,1,0.0001136,potential prognostic - unfavorable
ENSG00000000419,0.005891477916129436,50.99580001831055,38,1,0.005855,unprognostic - unfavorable
ENSG00000000457,0.08629708163397753,9.81719970703125,38,1,0.08599,unprognostic - unfavorable
ENSG00000000460,2.6813445902576038e-05,2.53439998626709,38,1,2.657e-05,validated prognostic - unfavorable
ENSG00000000938,0.019083435000742683,13.1850004196167,50,-1,0.01887,unprognostic - favorable
ENSG00000000971,0.04266453255759109,36.83340072631836,125,1,0.04265,unprognostic - unfavorable
ENSG00000001036,0.2173997566961072,48.945701599121094,45,1,0.2167,unprognostic - unfavorable
ENSG00000001084,0.18556467813967517,11.991299629211426,97,1,0.1852,unprognostic - unfavorable
ENSG00000001167,0.002387210405124967,12.38379955291748,68,1,0.002367,unprognostic - unfavorable
ENSG00000001460,0.31474887270952506,5.170499801635742,80,1,0.3133,unprognostic - unfavorable
ENSG00000001461,0.08089424197835801,15.77280044555664,42,1,0.08058,unprognostic - unfavorable
ENSG00000001497,0.035496971083352064,15.468099594116211,65,1,0.03528,unprognostic - unfavorable
ENSG00000001561,0.1881107068625202,5.481500148773193,128,-1,0.1882,unprognostic - favorable
ENSG00000001617,0.006711072208328489,18.193899154663086,42,1,0.006673,unprognostic - unfavorable
ENSG00000001626,0.0258283243476457,12.586199760437012,122,1,0.02583,unprognostic - unfavorable
ENSG00000001629,0.002908639208453854,14.360199928283691,46,1,0.002888,unprognostic - unfavorable
ENSG00000001630,0.15229218001672837,55.15840148925781,63,1,0.1516,unprognostic - unfavorable
ENSG00000001631,0.09763820852460947,9.513299942016602,67,1,0.09808,unprognostic - unfavorable
ENSG00000002016,0.004310051946294661,3.909899950027466,85,-1,0.004294,unprognostic - favorable
ENSG00000002330,0.2275175289042652,54.332298278808594,140,-1,0.2268,unprognostic - favorable
ENSG00000002549,0.01691257784869423,50.90650177001953,121,1,0.01682,unprognostic - unfavorable
