Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.007656432915256752,57.00669860839844,62,-1,0.007248,unprognostic - favorable
ENSG00000000005,0.0014483842909286302,0.7264999747276306,52,-1,0.001452,unprognostic - favorable
ENSG00000000419,0.0010548396208557654,98.88790130615234,36,-1,0.0031,unprognostic - favorable
ENSG00000000457,0.3231442497965978,5.234300136566162,69,-1,0.205,unprognostic - favorable
ENSG00000000460,0.23884624486058031,6.138500213623047,27,-1,0.2314,unprognostic - favorable
ENSG00000000938,0.0011507131307209953,4.73960018157959,23,1,0.0007378,potential prognostic - unfavorable
ENSG00000000971,0.06801644436424926,19.120500564575195,18,1,0.04267,unprognostic - unfavorable
ENSG00000001036,0.13352109611852248,55.532100677490234,46,-1,0.1474,unprognostic - favorable
ENSG00000001084,0.00048580653977586444,18.359899520874023,69,-1,0.0009493,potential prognostic - favorable
ENSG00000001167,0.0007977178550397945,13.609600067138672,61,-1,0.00463,unprognostic - favorable
ENSG00000001460,0.043672764005718186,5.130799770355225,20,1,0.02706,unprognostic - unfavorable
ENSG00000001461,0.048882385946323076,9.842000007629395,55,-1,0.1157,unprognostic - favorable
ENSG00000001497,0.14606498194331818,24.535499572753906,31,-1,0.4464,unprognostic - favorable
ENSG00000001561,0.07376345861204456,7.292600154876709,69,-1,0.1023,unprognostic - favorable
ENSG00000001617,0.13420319351457116,11.530500411987305,67,1,0.05009,unprognostic - unfavorable
ENSG00000001626,0.012684922810366973,39.27389907836914,42,-1,0.005191,unprognostic - favorable
ENSG00000001629,0.0004920358023219044,9.337300300598145,64,-1,0.003235,unprognostic - favorable
ENSG00000001630,0.07398380183997076,44.059898376464844,67,-1,0.1562,unprognostic - favorable
ENSG00000001631,0.022962832854273873,10.373600006103516,56,-1,0.02346,unprognostic - favorable
ENSG00000002016,0.00299612509150379,4.163899898529053,49,-1,0.0007136,potential prognostic - favorable
ENSG00000002330,0.29239325760535256,49.662200927734375,38,1,0.2719,unprognostic - unfavorable
ENSG00000002549,0.02429037589809116,60.34960174560547,59,-1,0.07323,unprognostic - favorable
ENSG00000002586,0.6073558597173134,177.2209930419922,63,1,0.2674,unprognostic - unfavorable
ENSG00000002587,0.08547467329543074,4.513700008392334,40,-1,0.03542,unprognostic - favorable
ENSG00000002726,0.06508723314411505,70.8895034790039,62,1,0.03947,unprognostic - unfavorable
ENSG00000002746,0.04458753516433765,1.2955000400543213,27,-1,0.05503,unprognostic - favorable
ENSG00000002822,0.17077599262625817,18.60930061340332,18,1,0.1235,unprognostic - unfavorable
ENSG00000002834,0.039527357327645556,131.88699340820312,55,-1,0.04584,unprognostic - favorable
ENSG00000002919,0.004895939585617154,9.774299621582031,67,-1,0.01463,unprognostic - favorable
ENSG00000002933,0.012144180666941408,427.0249938964844,24,1,0.03412,unprognostic - unfavorable
ENSG00000003056,0.03196182092617824,115.05599975585938,18,-1,0.05313,unprognostic - favorable
ENSG00000003096,0.2041763370067602,0.4009999930858612,69,-1,0.09351,unprognostic - favorable
ENSG00000003147,0.05417597642050129,42.91939926147461,65,-1,0.00834,unprognostic - favorable
ENSG00000003249,0.053534003305587836,23.266399383544922,20,1,0.03061,unprognostic - unfavorable
ENSG00000003393,0.15750348117901145,2.1693999767303467,63,-1,0.08424,unprognostic - unfavorable
ENSG00000003400,0.0023641454188387686,6.446499824523926,66,-1,0.007217,unprognostic - favorable
ENSG00000003402,0.009796405710930609,31.2898006439209,67,-1,0.006202,unprognostic - favorable
ENSG00000003436,0.027311757896812765,13.604299545288086,25,1,0.02124,unprognostic - unfavorable
ENSG00000003509,0.014194484200720751,7.582600116729736,54,-1,0.0141,unprognostic - favorable
ENSG00000003756,0.1420258098366222,28.886199951171875,42,-1,0.07342,unprognostic - favorable
