Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.0149364376364169,20.049999237060547,20.0,1.0,0.0203,unprognostic - unfavorable
ENSG00000000419,0.07545853444678435,33.97489929199219,43.0,1.0,0.07546,unprognostic - unfavorable
ENSG00000000457,0.14045146066343173,7.199699878692627,22.0,1.0,0.1405,unprognostic - unfavorable
ENSG00000000460,0.15029825033605082,6.079100131988525,26.0,1.0,0.1503,unprognostic - unfavorable
ENSG00000000938,0.11971556818919218,1.5843000411987305,67.0,-1.0,0.1197,unprognostic - favorable
ENSG00000000971,0.012668789066875812,5.5594000816345215,58.0,1.0,0.01267,unprognostic - unfavorable
ENSG00000001036,0.2917980337109154,32.89500045776367,72.0,-1.0,0.2918,unprognostic - favorable
ENSG00000001084,0.0004717556465038161,18.074499130249023,20.0,1.0,0.002326,unprognostic - unfavorable
ENSG00000001167,0.018548373335895513,10.896599769592285,72.0,1.0,0.01855,unprognostic - unfavorable
ENSG00000001460,0.2001774431215654,6.656000137329102,66.0,-1.0,0.2002,unprognostic - favorable
ENSG00000001461,0.27709528001289646,24.167699813842773,39.0,-1.0,0.2771,unprognostic - favorable
ENSG00000001497,0.17121381164430807,17.972700119018555,75.0,-1.0,0.1712,unprognostic - favorable
ENSG00000001561,0.23456706738035762,0.10909999907016754,67.0,1.0,0.2346,unprognostic - unfavorable
ENSG00000001617,0.04789007649056475,5.399400234222412,55.0,1.0,0.04789,unprognostic - unfavorable
ENSG00000001629,0.10113877336649754,9.057299613952637,56.0,1.0,0.1011,unprognostic - unfavorable
ENSG00000001630,0.17778506884912068,47.571998596191406,38.0,1.0,0.1778,unprognostic - unfavorable
ENSG00000001631,0.08456418077600548,14.249099731445312,29.0,1.0,0.08456,unprognostic - unfavorable
ENSG00000002016,0.15057270425713037,5.679599761962891,27.0,1.0,0.1506,unprognostic - unfavorable
ENSG00000002330,0.11474332908897127,70.36720275878906,52.0,1.0,0.1147,unprognostic - unfavorable
ENSG00000002549,0.03999875018267918,116.89399719238281,24.0,-1.0,0.04,unprognostic - favorable
ENSG00000002586,0.04229018432168483,733.1010131835938,24.0,1.0,0.04229,unprognostic - unfavorable
ENSG00000002587,0.018995493749371668,3.02839994430542,21.0,1.0,0.019,unprognostic - unfavorable
ENSG00000002746,0.05787690785660179,0.01119999960064888,71.0,-1.0,0.05788,unprognostic - favorable
ENSG00000002822,0.045607409699739594,98.35250091552734,34.0,-1.0,0.04561,unprognostic - favorable
ENSG00000002834,0.0720129364344736,130.26100158691406,38.0,1.0,0.07201,unprognostic - unfavorable
ENSG00000002919,0.06750631393646611,14.717599868774414,65.0,1.0,0.06751,unprognostic - unfavorable
ENSG00000002933,0.277731047857868,13.174099922180176,72.0,-1.0,0.2777,unprognostic - favorable
ENSG00000003056,0.036298217151502735,208.63299560546875,20.0,1.0,0.04762,unprognostic - unfavorable
ENSG00000003096,0.0344086543499805,1.1461999416351318,28.0,1.0,0.03441,unprognostic - unfavorable
ENSG00000003137,0.27577569441809796,4.848100185394287,39.0,-1.0,0.2758,unprognostic - favorable
ENSG00000003147,0.12478668504994522,10.489800453186035,38.0,1.0,0.1248,unprognostic - unfavorable
ENSG00000003249,0.05654957423789463,50.191200256347656,63.0,-1.0,0.05655,unprognostic - favorable
ENSG00000003393,0.14197427925743109,5.114699840545654,40.0,1.0,0.142,unprognostic - unfavorable
ENSG00000003400,0.0010297441472406465,3.0371999740600586,27.0,1.0,0.00103,unprognostic - unfavorable
ENSG00000003402,0.1996038741455403,33.691200256347656,20.0,-1.0,0.2104,unprognostic - unfavorable
ENSG00000003436,0.00748207249857857,4.365600109100342,33.0,1.0,0.007482,unprognostic - unfavorable
ENSG00000003509,0.2782493303910946,8.761500358581543,20.0,1.0,0.3468,unprognostic - unfavorable
ENSG00000003756,0.11369745847249602,48.3942985534668,23.0,1.0,0.1137,unprognostic - unfavorable
ENSG00000003989,0.03585742846681073,0.736299991607666,51.0,1.0,0.03586,unprognostic - unfavorable
ENSG00000004059,0.39647706060376253,207.5399932861328,74.0,-1.0,0.3965,unprognostic - favorable
ENSG00000004139,0.03201800703589757,2.652400016784668,36.0,1.0,0.03202,unprognostic - unfavorable
ENSG00000004142,0.03744259955627721,118.49199676513672,28.0,1.0,0.03744,unprognostic - unfavorable
ENSG00000004399,0.20441479481724134,23.17140007019043,65.0,1.0,0.2044,unprognostic - unfavorable
ENSG00000004455,0.18359537075638171,176.06399536132812,38.0,-1.0,0.1836,unprognostic - favorable
ENSG00000004468,0.23439007758823888,0.694100022315979,48.0,-1.0,0.2344,unprognostic - favorable
ENSG00000004478,0.1971358417608335,72.42510223388672,32.0,1.0,0.1971,unprognostic - unfavorable
ENSG00000004487,0.09302291194705271,41.01890182495117,69.0,1.0,0.09302,unprognostic - unfavorable
ENSG00000004534,0.002365794400027849,38.28329849243164,27.0,1.0,0.002366,unprognostic - unfavorable
ENSG00000004660,0.16491296765095784,4.166999816894531,33.0,1.0,0.1649,unprognostic - unfavorable
ENSG00000004700,0.09801636305189185,14.187100410461426,51.0,1.0,0.09802,unprognostic - unfavorable
ENSG00000004766,0.009405769058759172,3.038100004196167,28.0,1.0,0.009406,unprognostic - unfavorable
ENSG00000004776,0.26848283493741437,1.5286999940872192,74.0,-1.0,0.2685,unprognostic - favorable
ENSG00000004777,0.010223196800147114,3.137399911880493,43.0,1.0,0.01022,unprognostic - unfavorable
ENSG00000004779,0.21269281487970634,103.03099822998047,65.0,1.0,0.2127,unprognostic - unfavorable
ENSG00000004799,0.15176080915998408,0.5440000295639038,63.0,1.0,0.1518,unprognostic - unfavorable
ENSG00000004846,0.17077849165178755,4.668099880218506,67.0,-1.0,0.1708,unprognostic - favorable
ENSG00000004864,0.03210614531357253,42.27939987182617,45.0,1.0,0.03211,unprognostic - unfavorable
ENSG00000004866,0.11873820274282883,19.873600006103516,77.0,-1.0,0.1187,unprognostic - favorable
ENSG00000004897,0.11560804166819355,8.34630012512207,73.0,1.0,0.1156,unprognostic - unfavorable
ENSG00000004939,0.002599339609376367,0.5759999752044678,21.0,1.0,0.002599,unprognostic - unfavorable
ENSG00000004961,0.19618480640927133,19.44809913635254,47.0,-1.0,0.1962,unprognostic - favorable
ENSG00000004975,0.23828197031173104,25.395299911499023,67.0,1.0,0.2383,unprognostic - unfavorable
ENSG00000005007,0.00024377863986703663,34.025699615478516,36.0,1.0,0.0002438,potential prognostic - unfavorable
ENSG00000005020,0.11499191204545847,5.751800060272217,70.0,1.0,0.115,unprognostic - unfavorable
ENSG00000005022,0.2157002435339506,254.5019989013672,75.0,1.0,0.2157,unprognostic - unfavorable
ENSG00000005059,0.3115462624192376,4.257999897003174,49.0,-1.0,0.3115,unprognostic - favorable
ENSG00000005073,7.646084622932065e-05,7.019499778747559,25.0,1.0,7.646e-05,potential prognostic - unfavorable
ENSG00000005075,0.015193006609537386,80.22149658203125,70.0,-1.0,0.01519,unprognostic - favorable
ENSG00000005100,0.020357592171807336,23.716299057006836,25.0,1.0,0.02036,unprognostic - unfavorable
ENSG00000005102,0.15237685355177072,2.5896999835968018,23.0,1.0,0.1524,unprognostic - unfavorable
ENSG00000005156,7.038932075122787e-05,18.263500213623047,20.0,1.0,9.013e-05,potential prognostic - unfavorable
ENSG00000005175,0.008056014948879297,15.637999534606934,30.0,1.0,0.008056,unprognostic - unfavorable
ENSG00000005187,0.007034118187656207,0.5968000292778015,33.0,-1.0,0.007034,unprognostic - favorable
ENSG00000005189,0.1438509995260227,3.5471999645233154,26.0,1.0,0.1439,unprognostic - unfavorable
ENSG00000005194,0.17775692745840443,37.949501037597656,70.0,1.0,0.1778,unprognostic - unfavorable
ENSG00000005206,0.057860884552121426,31.98550033569336,44.0,1.0,0.05786,unprognostic - unfavorable
ENSG00000005238,0.09180976783405075,27.761999130249023,31.0,-1.0,0.09181,unprognostic - favorable
ENSG00000005243,0.12840764664570858,12.708800315856934,77.0,1.0,0.1284,unprognostic - unfavorable
ENSG00000005249,0.22195420695514895,0.876800000667572,68.0,-1.0,0.222,unprognostic - favorable
ENSG00000005302,0.22609561184838103,5.277400016784668,77.0,1.0,0.2261,unprognostic - unfavorable
ENSG00000005339,0.07985869562591286,17.300800323486328,43.0,1.0,0.07986,unprognostic - unfavorable
ENSG00000005379,0.0431768629749409,0.1987999975681305,73.0,1.0,0.04318,unprognostic - unfavorable
ENSG00000005436,0.002019605530862862,12.067500114440918,49.0,1.0,0.00202,unprognostic - unfavorable
ENSG00000005448,0.02614768677953959,14.018400192260742,58.0,-1.0,0.02615,unprognostic - favorable
ENSG00000005469,0.05556727672648203,7.603300094604492,49.0,1.0,0.05557,unprognostic - unfavorable
ENSG00000005471,0.2602740628667394,4.191299915313721,26.0,1.0,0.2603,unprognostic - unfavorable
ENSG00000005483,0.02480410335211053,21.43899917602539,39.0,1.0,0.0248,unprognostic - unfavorable
ENSG00000005486,0.09879617844401199,109.1510009765625,61.0,-1.0,0.0988,unprognostic - favorable
ENSG00000005513,0.09258254250741392,0.9355000257492065,77.0,-1.0,0.06606,unprognostic - favorable
ENSG00000005700,0.07654075558317804,5.138400077819824,23.0,1.0,0.07654,unprognostic - unfavorable
ENSG00000005801,0.014447142079378455,9.656000137329102,35.0,1.0,0.01445,unprognostic - unfavorable
ENSG00000005810,0.29628259585821165,20.060400009155273,56.0,1.0,0.2963,unprognostic - unfavorable
ENSG00000005812,0.02552090299098556,11.084400177001953,48.0,1.0,0.02552,unprognostic - unfavorable
ENSG00000005844,0.05347888570777706,0.6223000288009644,59.0,-1.0,0.05348,unprognostic - favorable
ENSG00000005882,0.0977297287364501,20.11039924621582,62.0,-1.0,0.09773,unprognostic - favorable
ENSG00000005884,0.0008796881086723184,104.16200256347656,40.0,-1.0,0.0008797,potential prognostic - favorable
ENSG00000005889,0.03414824453952123,8.066300392150879,27.0,1.0,0.03415,unprognostic - unfavorable
ENSG00000005893,0.021984914663303802,160.27200317382812,20.0,1.0,0.03022,unprognostic - unfavorable
ENSG00000005981,0.4792069106448842,0.48249998688697815,24.0,-1.0,0.4792,unprognostic - favorable
ENSG00000006007,0.022059220094134104,40.444400787353516,35.0,1.0,0.02206,unprognostic - unfavorable
ENSG00000006015,0.12800697125883595,26.84779930114746,61.0,1.0,0.128,unprognostic - unfavorable
ENSG00000006016,0.10365401286599008,0.021800000220537186,77.0,-1.0,0.06981,unprognostic - favorable
ENSG00000006025,0.012668674770954012,5.503300189971924,43.0,1.0,0.01267,unprognostic - unfavorable
