Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.16434741439098371,31.719600677490234,69,-1,0.1643,unprognostic - favorable
ENSG00000000005,0.15534467786654352,0.2865999937057495,45,-1,0.1553,unprognostic - favorable
ENSG00000000419,0.1626608249295657,33.521400451660156,105,-1,0.1483,unprognostic - favorable
ENSG00000000457,0.18476609236399458,3.9286000728607178,105,-1,0.1698,unprognostic - favorable
ENSG00000000460,0.1591649023607057,5.579800128936768,70,-1,0.1592,unprognostic - favorable
ENSG00000000938,0.023047748330200093,8.635100364685059,66,1,0.02305,unprognostic - unfavorable
ENSG00000000971,0.00849668757090641,14.662500381469727,47,1,0.008497,unprognostic - unfavorable
ENSG00000001036,0.12842184170103668,17.150299072265625,78,1,0.1284,unprognostic - unfavorable
ENSG00000001084,0.2074034384811299,16.698999404907227,40,1,0.2074,unprognostic - unfavorable
ENSG00000001167,0.17015820116607966,31.295499801635742,33,-1,0.1702,unprognostic - favorable
ENSG00000001460,0.1582869742951397,2.8638999462127686,105,-1,0.1441,unprognostic - favorable
ENSG00000001461,0.17730813761669498,5.7778000831604,89,1,0.1773,unprognostic - unfavorable
ENSG00000001497,0.001036894006773584,29.376699447631836,105,-1,0.0007598,potential prognostic - favorable
ENSG00000001561,0.21399244916190704,1.3341000080108643,101,-1,0.214,unprognostic - favorable
ENSG00000001617,0.12587416691153566,6.1757001876831055,79,1,0.1259,unprognostic - unfavorable
ENSG00000001626,0.2583238729455035,0.2732999920845032,33,1,0.2583,unprognostic - unfavorable
ENSG00000001629,0.30989068552704574,10.314800262451172,94,-1,0.3099,unprognostic - favorable
ENSG00000001630,0.4282966018416088,52.67020034790039,35,1,0.4283,unprognostic - unfavorable
ENSG00000001631,0.283015187534209,24.328899383544922,27,1,0.3024,unprognostic - unfavorable
ENSG00000002016,0.47073075007936727,10.18239974975586,82,-1,0.4707,unprognostic - favorable
ENSG00000002330,0.10404791857351586,41.68050003051758,48,-1,0.104,unprognostic - favorable
ENSG00000002549,0.0143827661568785,75.96320343017578,43,1,0.01438,unprognostic - unfavorable
ENSG00000002586,0.08429826044275682,235.55999755859375,39,1,0.0843,unprognostic - unfavorable
ENSG00000002587,0.1764550667726328,1.6930999755859375,29,-1,0.1765,unprognostic - favorable
ENSG00000002726,0.02173869182121297,0.633400022983551,48,1,0.02174,unprognostic - unfavorable
ENSG00000002746,0.33149939355191205,0.027899999171495438,105,-1,0.3315,unprognostic - favorable
ENSG00000002822,0.013277162493375688,26.44849967956543,82,-1,0.01328,unprognostic - favorable
ENSG00000002834,0.26528343590336295,110.76599884033203,102,1,0.2653,unprognostic - unfavorable
ENSG00000002919,0.20963708168870807,14.806099891662598,92,1,0.2096,unprognostic - unfavorable
ENSG00000002933,0.00900791866479143,79.19000244140625,27,1,0.01076,unprognostic - unfavorable
ENSG00000003056,0.16233175439102696,208.89700317382812,61,1,0.1623,unprognostic - unfavorable
ENSG00000003096,0.06154897342193002,0.9340999722480774,88,-1,0.06155,unprognostic - favorable
ENSG00000003137,0.34051508002040215,0.7071999907493591,84,1,0.3405,unprognostic - unfavorable
ENSG00000003147,0.08927482485820742,5.621699810028076,60,-1,0.08927,unprognostic - favorable
ENSG00000003249,0.36027889693166526,4.480199813842773,105,1,0.3603,unprognostic - unfavorable
ENSG00000003393,0.16321441539056883,1.7964999675750732,105,-1,0.1488,unprognostic - favorable
ENSG00000003400,0.11186817229184079,10.970600128173828,48,1,0.1119,unprognostic - unfavorable
ENSG00000003402,0.14478382844702084,45.82789993286133,84,1,0.1448,unprognostic - unfavorable
