Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.07361601843645021,28.27359962463379,195,1,0.07151,unprognostic - unfavorable
ENSG00000000419,0.0012419545615431234,51.37229919433594,103,1,0.000978,potential prognostic - unfavorable
ENSG00000000457,0.1379497502435973,8.085399627685547,126,1,0.1499,unprognostic - unfavorable
ENSG00000000460,0.37407495485919373,0.5289000272750854,376,1,0.3476,unprognostic - unfavorable
ENSG00000000938,0.2203428769595611,5.815400123596191,240,1,0.226,unprognostic - unfavorable
ENSG00000000971,0.16823048858055617,24.59950065612793,330,-1,0.208,unprognostic - favorable
ENSG00000001036,0.07478429429895204,34.79130172729492,395,-1,0.07658,unprognostic - favorable
ENSG00000001084,0.02314768330068731,24.614900588989258,99,1,0.03389,unprognostic - unfavorable
ENSG00000001167,0.028108677891869965,14.423800468444824,274,1,0.03161,unprognostic - unfavorable
ENSG00000001460,0.462300698857272,7.314799785614014,173,1,0.4965,unprognostic - unfavorable
ENSG00000001461,0.030269212446583565,29.135099411010742,386,-1,0.02589,unprognostic - favorable
ENSG00000001497,0.03915834507657956,15.619600296020508,296,-1,0.03725,unprognostic - favorable
ENSG00000001561,0.0196485879440964,10.089599609375,173,1,0.0175,unprognostic - unfavorable
ENSG00000001617,0.020001862883162254,27.168500900268555,369,-1,0.01914,unprognostic - favorable
ENSG00000001629,0.05219516829899825,9.951800346374512,236,1,0.05623,unprognostic - unfavorable
ENSG00000001630,0.04746072882156906,27.74329948425293,291,1,0.04859,unprognostic - unfavorable
ENSG00000001631,0.057363808711351154,12.285699844360352,217,1,0.05561,unprognostic - unfavorable
ENSG00000002016,0.0762390338788049,7.458199977874756,112,1,0.08866,unprognostic - unfavorable
ENSG00000002330,0.11377581839378177,90.8396987915039,231,1,0.1303,unprognostic - unfavorable
ENSG00000002549,0.40862355205164624,57.03969955444336,259,-1,0.4423,unprognostic - unfavorable
ENSG00000002586,0.02139337861872946,171.39999389648438,114,1,0.0207,unprognostic - unfavorable
ENSG00000002587,0.10132725264323428,2.4574999809265137,99,1,0.08273,unprognostic - unfavorable
ENSG00000002726,0.18433551286152766,0.29910001158714294,395,-1,0.1831,unprognostic - favorable
ENSG00000002746,0.28368889528377794,0.8029000163078308,250,1,0.2809,unprognostic - unfavorable
ENSG00000002822,0.19088162048384127,15.256099700927734,356,1,0.1721,unprognostic - unfavorable
ENSG00000002834,0.013030195958691265,84.3812026977539,249,-1,0.01699,unprognostic - favorable
ENSG00000002919,0.10462045847322682,22.292600631713867,100,1,0.1241,unprognostic - unfavorable
ENSG00000002933,0.09136599359099952,22.833099365234375,235,1,0.08442,unprognostic - unfavorable
ENSG00000003056,0.19366999593360454,132.4600067138672,148,-1,0.1693,unprognostic - favorable
ENSG00000003137,0.003509781471874872,3.144200086593628,99,1,0.002689,unprognostic - unfavorable
ENSG00000003147,0.007238497400117266,19.664499282836914,168,1,0.007235,unprognostic - unfavorable
ENSG00000003249,0.17023222268892596,17.57659912109375,102,-1,0.1659,unprognostic - favorable
ENSG00000003393,0.13512220460771543,2.50819993019104,321,1,0.1436,unprognostic - unfavorable
ENSG00000003400,0.1546872785673379,7.651800155639648,186,-1,0.1376,unprognostic - favorable
ENSG00000003402,0.14602788483181964,58.98400115966797,162,-1,0.1691,unprognostic - favorable
ENSG00000003436,0.014222402423957354,5.311800003051758,224,1,0.01593,unprognostic - unfavorable
ENSG00000003509,0.17021049488625975,8.031000137329102,99,1,0.2235,unprognostic - unfavorable
ENSG00000003756,0.19025218393237628,45.885501861572266,146,1,0.2208,unprognostic - unfavorable
ENSG00000003987,0.08721435858308364,2.24429988861084,294,-1,0.07596,unprognostic - favorable
ENSG00000003989,0.2651684697264818,45.24509811401367,140,1,0.2593,unprognostic - unfavorable
ENSG00000004059,0.21978309223916445,185.08999633789062,230,1,0.2262,unprognostic - unfavorable
ENSG00000004139,0.12254540580634535,2.407399892807007,109,1,0.1253,unprognostic - unfavorable
ENSG00000004142,0.02891163791860311,60.478599548339844,160,1,0.02748,unprognostic - unfavorable
ENSG00000004399,0.397166909004525,59.78419876098633,157,1,0.3608,unprognostic - unfavorable
ENSG00000004455,0.0353029120807723,113.30599975585938,327,-1,0.02804,unprognostic - favorable
ENSG00000004468,0.11010541561138493,0.2526000142097473,362,-1,0.1064,unprognostic - favorable
ENSG00000004478,0.13264252343482505,49.75120162963867,155,1,0.1456,unprognostic - unfavorable
ENSG00000004487,0.23113904053615433,53.72140121459961,118,1,0.2366,unprognostic - unfavorable
ENSG00000004534,0.1636476308746334,51.831298828125,105,1,0.2099,unprognostic - unfavorable
ENSG00000004660,0.11673182640905709,12.234999656677246,168,1,0.1357,unprognostic - unfavorable
ENSG00000004700,0.3029894785475655,13.768199920654297,175,1,0.2581,unprognostic - unfavorable
ENSG00000004766,0.015407205705716444,2.913100004196167,198,1,0.02091,unprognostic - unfavorable
ENSG00000004776,0.05865945511388909,4.655399799346924,259,1,0.06677,unprognostic - unfavorable
ENSG00000004777,0.07350939608844538,3.071000099182129,167,1,0.08244,unprognostic - unfavorable
ENSG00000004779,0.20985545748046816,130.63099670410156,180,-1,0.1954,unprognostic - favorable
ENSG00000004799,0.028532644939740132,48.78850173950195,302,1,0.02968,unprognostic - unfavorable
ENSG00000004838,0.03249854795341155,5.731599807739258,105,1,0.03632,unprognostic - unfavorable
ENSG00000004848,0.07641618189769407,0.039900001138448715,376,-1,0.06863,unprognostic - favorable
ENSG00000004864,0.2575670149612823,11.857099533081055,240,-1,0.2362,unprognostic - favorable
ENSG00000004866,0.02751970335826185,28.914199829101562,123,1,0.03233,unprognostic - unfavorable
ENSG00000004897,0.12474302806409288,16.04170036315918,385,1,0.1229,unprognostic - unfavorable
ENSG00000004961,0.001922624109854577,14.428000450134277,163,1,0.001811,unprognostic - unfavorable
ENSG00000004975,0.03344967909243684,18.537900924682617,310,1,0.03432,unprognostic - unfavorable
ENSG00000005001,0.00011751644096104607,0.1437000036239624,383,-1,0.0001084,potential prognostic - favorable
ENSG00000005007,0.10707451273313716,27.966899871826172,341,1,0.1108,unprognostic - unfavorable
ENSG00000005020,0.30737481033945435,10.09689998626709,99,1,0.2768,unprognostic - unfavorable
ENSG00000005022,0.0049679695237968445,167.28700256347656,159,1,0.005905,unprognostic - unfavorable
ENSG00000005059,0.12674804891958627,3.3034000396728516,395,-1,0.1133,unprognostic - favorable
ENSG00000005075,0.0983833177393652,119.677001953125,100,1,0.09902,unprognostic - unfavorable
