Gene,p_ours,cutoff,n_high,direction,p_hpa,label
ENSG00000000003,0.2477470699901835,37.612998962402344,80.0,1.0,0.2415,unprognostic - unfavorable
ENSG00000000419,0.21987132516716273,63.18989944458008,49.0,1.0,0.2183,unprognostic - unfavorable
ENSG00000000457,0.07059172523665024,8.472599983215332,58.0,-1.0,0.07048,unprognostic - favorable
ENSG00000000460,0.00649789586071184,2.7288999557495117,64.0,1.0,0.006475,unprognostic - unfavorable
ENSG00000000938,0.09644343591335353,3.5643999576568604,68.0,-1.0,0.09552,unprognostic - favorable
ENSG00000000971,0.0325983404211955,3.958699941635132,115.0,1.0,0.03294,unprognostic - unfavorable
ENSG00000001036,0.07914704298760147,72.1250991821289,35.0,1.0,0.0793,unprognostic - unfavorable
ENSG00000001084,0.1369299390191234,11.778800010681152,86.0,1.0,0.1369,unprognostic - unfavorable
ENSG00000001167,0.13265855888256378,16.045499801635742,85.0,1.0,0.1308,unprognostic - unfavorable
ENSG00000001460,0.0509080739730272,5.230199813842773,98.0,-1.0,0.05333,unprognostic - favorable
ENSG00000001461,0.07242992718513941,6.174900054931641,123.0,-1.0,0.07209,unprognostic - favorable
ENSG00000001497,0.027012905582059685,28.535600662231445,79.0,-1.0,0.02692,unprognostic - favorable
ENSG00000001561,0.25172722689427857,8.431599617004395,60.0,1.0,0.2507,unprognostic - unfavorable
ENSG00000001617,0.11402850393787302,40.240501403808594,60.0,-1.0,0.115,unprognostic - favorable
ENSG00000001626,0.0016896040546366259,0.3116999864578247,70.0,1.0,0.001643,unprognostic - unfavorable
ENSG00000001629,0.09616723692820112,9.932700157165527,78.0,1.0,0.09608,unprognostic - unfavorable
ENSG00000001630,0.07915608106617271,22.641599655151367,108.0,-1.0,0.07712,unprognostic - favorable
ENSG00000001631,0.15257141260271248,9.622599601745605,51.0,-1.0,0.151,unprognostic - favorable
ENSG00000002016,0.12058053112916192,5.611000061035156,61.0,-1.0,0.1222,unprognostic - favorable
ENSG00000002330,0.23938348118126185,68.3510971069336,139.0,-1.0,0.2397,unprognostic - favorable
ENSG00000002549,0.2335915824060771,82.23930358886719,52.0,-1.0,0.2306,unprognostic - favorable
