{'cohort': 'BLCA', 'samples_hpa': 169, 'patients_used': 169, 'events': 169, 'genes_ours': 14596, 'genes_hpa': 14536, 'genes_both': 14536, 'spearman_p': np.float64(0.9969), 'median_abs_log10_diff': 0.0, 'prognostic_ours': 509, 'prognostic_hpa': 510, 'prognostic_both': 507, 'same_direction': 0.9947, 'seconds': 3.8}
{'cohort': 'BRCA', 'samples_hpa': 1022, 'patients_used': 1020, 'events': 140, 'genes_ours': 14589, 'genes_hpa': 14564, 'genes_both': 14564, 'spearman_p': np.float64(0.984), 'median_abs_log10_diff': 0.083, 'prognostic_ours': 724, 'prognostic_hpa': 670, 'prognostic_both': 620, 'same_direction': 0.9707, 'seconds': 18.6}
{'cohort': 'CESC', 'samples_hpa': 283, 'patients_used': 283, 'events': 67, 'genes_ours': 14505, 'genes_hpa': 14445, 'genes_both': 14445, 'spearman_p': np.float64(0.9939), 'median_abs_log10_diff': 0.058, 'prognostic_ours': 926, 'prognostic_hpa': 887, 'prognostic_both': 846, 'same_direction': 0.9848, 'seconds': 3.4}
{'cohort': 'COAD', 'samples_hpa': 254, 'patients_used': 254, 'events': 61, 'genes_ours': 13701, 'genes_hpa': 13698, 'genes_both': 13698, 'spearman_p': np.float64(0.9735), 'median_abs_log10_diff': 0.089, 'prognostic_ours': 336, 'prognostic_hpa': 292, 'prognostic_both': 272, 'same_direction': 0.9574, 'seconds': 2.9}
{'cohort': 'GBM', 'samples_hpa': 141, 'patients_used': 141, 'events': 112, 'genes_ours': 14427, 'genes_hpa': 14426, 'genes_both': 14426, 'spearman_p': np.float64(0.9975), 'median_abs_log10_diff': 0.0, 'prognostic_ours': 389, 'prognostic_hpa': 382, 'prognostic_both': 381, 'same_direction': 0.996, 'seconds': 2.6}
{'cohort': 'HNSC', 'samples_hpa': 492, 'patients_used': 492, 'events': 212, 'genes_ours': 13903, 'genes_hpa': 13888, 'genes_both': 13888, 'spearman_p': np.float64(0.9932), 'median_abs_log10_diff': 0.063, 'prognostic_ours': 893, 'prognostic_hpa': 872, 'prognostic_both': 830, 'same_direction': 0.9785, 'seconds': 11.5}
{'cohort': 'KICH', 'samples_hpa': 64, 'patients_used': 64, 'events': 9, 'genes_ours': 13287, 'genes_hpa': 13252, 'genes_both': 13252, 'spearman_p': np.float64(0.9936), 'median_abs_log10_diff': 0.0, 'prognostic_ours': 1279, 'prognostic_hpa': 1203, 'prognostic_both': 1196, 'same_direction': 0.9899, 'seconds': 0.9}
{'cohort': 'KIRC', 'samples_hpa': 521, 'patients_used': 521, 'events': 171, 'genes_ours': 14203, 'genes_hpa': 14201, 'genes_both': 14201, 'spearman_p': np.float64(0.9996), 'median_abs_log10_diff': 0.037, 'prognostic_ours': 7563, 'prognostic_hpa': 7536, 'prognostic_both': 7497, 'same_direction': 0.9963, 'seconds': 10.6}
{'cohort': 'KIRP', 'samples_hpa': 282, 'patients_used': 282, 'events': 44, 'genes_ours': 14182, 'genes_hpa': 14141, 'genes_both': 14141, 'spearman_p': np.float64(0.9973), 'median_abs_log10_diff': 0.038, 'prognostic_ours': 1807, 'prognostic_hpa': 1783, 'prognostic_both': 1735, 'same_direction': 0.9885, 'seconds': 2.6}
{'cohort': 'LIHC', 'samples_hpa': 362, 'patients_used': 362, 'events': 129, 'genes_ours': 12913, 'genes_hpa': 12894, 'genes_both': 12894, 'spearman_p': np.float64(0.9995), 'median_abs_log10_diff': 0.014, 'prognostic_ours': 3446, 'prognostic_hpa': 3403, 'prognostic_both': 3395, 'same_direction': 0.9963, 'seconds': 5.5}
{'cohort': 'LUAD', 'samples_hpa': 497, 'patients_used': 497, 'events': 180, 'genes_ours': 14753, 'genes_hpa': 14734, 'genes_both': 14734, 'spearman_p': np.float64(0.9992), 'median_abs_log10_diff': 0.005, 'prognostic_ours': 1506, 'prognostic_hpa': 1507, 'prognostic_both': 1492, 'same_direction': 0.9975, 'seconds': 10.9}
