cohort,samples_hpa,patients_used,events,genes_ours,genes_hpa,genes_both,spearman_p,median_abs_log10_diff,prognostic_ours,prognostic_hpa,prognostic_both,same_direction,seconds
BLCA,169,169,169,14596,14536,14536,0.9969,0.0,509,510,507,0.9947,3.8
BRCA,1022,1020,140,14589,14564,14564,0.984,0.083,724,670,620,0.9707,18.6
CESC,283,283,67,14505,14445,14445,0.9939,0.058,926,887,846,0.9848,3.4
COAD,254,254,61,13701,13698,13698,0.9735,0.089,336,292,272,0.9574,2.9
GBM,141,141,112,14427,14426,14426,0.9975,0.0,389,382,381,0.996,2.6
HNSC,492,492,212,13903,13888,13888,0.9932,0.063,893,872,830,0.9785,11.5
KICH,64,64,9,13287,13252,13252,0.9936,0.0,1279,1203,1196,0.9899,0.9
KIRC,521,521,171,14203,14201,14201,0.9996,0.037,7563,7536,7497,0.9963,10.6
KIRP,282,282,44,14182,14141,14141,0.9973,0.038,1807,1783,1735,0.9885,2.6
LIHC,362,362,129,12913,12894,12894,0.9995,0.014,3446,3403,3395,0.9963,5.5
LUAD,497,497,180,14753,14734,14734,0.9992,0.005,1506,1507,1492,0.9975,10.9
LUSC,489,489,210,14599,14589,14589,0.9974,0.022,286,286,272,0.9891,12.2
OV,349,348,216,14335,14327,14325,0.9859,0.073,362,316,300,0.9724,8.5
PAAD,176,176,92,14584,14582,14582,0.9989,0.002,1486,1471,1469,0.9984,2.8
PRAD,480,480,9,13957,13946,13946,0.9984,0.0,177,172,172,0.9973,2.0
READ,88,88,16,13606,13604,13604,0.9005,0.201,567,444,348,0.9289,1.1
SKCM,99,98,28,13873,13829,13827,0.9924,0.0,253,254,248,0.9911,1.2
STAD,346,345,140,14750,14735,14734,0.9814,0.078,335,335,299,0.968,6.4
TGCT,133,133,4,15235,15194,15194,0.9969,0.0,22,24,22,0.9943,1.2
THCA,495,495,16,13699,13696,13696,0.9911,0.042,397,378,355,0.9799,2.3
UCEC,176,175,32,14824,14758,14739,0.9978,0.004,226,221,221,0.9952,1.7
