{'cohort': 'BLCA', 'patients': 169, 'events': 169, 'genes': 14596, 'null_draws': 40000, 'null_median_p': 0.0969, 'alpha_eff': 0.01537, 'inflation': 15.4, 'prognostic': 511, 'expected_fp': 224.4, 'share_expected_fp': 0.439, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 9.7}
{'cohort': 'BRCA', 'patients': 1020, 'events': 140, 'genes': 14589, 'null_draws': 40000, 'null_median_p': 0.0847, 'alpha_eff': 0.01475, 'inflation': 14.7, 'prognostic': 724, 'expected_fp': 215.2, 'share_expected_fp': 0.297, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 49.2}
{'cohort': 'CESC', 'patients': 283, 'events': 67, 'genes': 14505, 'null_draws': 40000, 'null_median_p': 0.1008, 'alpha_eff': 0.01145, 'inflation': 11.4, 'prognostic': 927, 'expected_fp': 166.1, 'share_expected_fp': 0.179, 'survive_q05': 51, 'survive_q01': 0, 'seconds': 9.4}
{'cohort': 'COAD', 'patients': 254, 'events': 61, 'genes': 13701, 'null_draws': 40000, 'null_median_p': 0.0906, 'alpha_eff': 0.01485, 'inflation': 14.8, 'prognostic': 336, 'expected_fp': 203.5, 'share_expected_fp': 0.606, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 8.2}
{'cohort': 'GBM', 'patients': 141, 'events': 112, 'genes': 14427, 'null_draws': 40000, 'null_median_p': 0.0939, 'alpha_eff': 0.01893, 'inflation': 18.9, 'prognostic': 389, 'expected_fp': 273.0, 'share_expected_fp': 0.702, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 7.0}
{'cohort': 'HNSC', 'patients': 492, 'events': 212, 'genes': 13903, 'null_draws': 40000, 'null_median_p': 0.0863, 'alpha_eff': 0.0155, 'inflation': 15.5, 'prognostic': 893, 'expected_fp': 215.5, 'share_expected_fp': 0.241, 'survive_q05': 25, 'survive_q01': 0, 'seconds': 32.7}
{'cohort': 'KICH', 'patients': 64, 'events': 9, 'genes': 13287, 'null_draws': 40000, 'null_median_p': 0.0988, 'alpha_eff': 0.01533, 'inflation': 15.3, 'prognostic': 1284, 'expected_fp': 203.6, 'share_expected_fp': 0.159, 'survive_q05': 140, 'survive_q01': 0, 'seconds': 2.8}
{'cohort': 'KIRC', 'patients': 521, 'events': 171, 'genes': 14203, 'null_draws': 40000, 'null_median_p': 0.0866, 'alpha_eff': 0.02045, 'inflation': 20.4, 'prognostic': 7563, 'expected_fp': 290.5, 'share_expected_fp': 0.038, 'survive_q05': 7563, 'survive_q01': 5570, 'seconds': 29.2}
{'cohort': 'KIRP', 'patients': 282, 'events': 44, 'genes': 14182, 'null_draws': 40000, 'null_median_p': 0.1008, 'alpha_eff': 0.0112, 'inflation': 11.2, 'prognostic': 1811, 'expected_fp': 158.8, 'share_expected_fp': 0.088, 'survive_q05': 1264, 'survive_q01': 412, 'seconds': 7.2}
{'cohort': 'LIHC', 'patients': 362, 'events': 129, 'genes': 12913, 'null_draws': 40000, 'null_median_p': 0.0952, 'alpha_eff': 0.01295, 'inflation': 12.9, 'prognostic': 3449, 'expected_fp': 167.2, 'share_expected_fp': 0.048, 'survive_q05': 3449, 'survive_q01': 1607, 'seconds': 16.3}
{'cohort': 'LUAD', 'patients': 497, 'events': 180, 'genes': 14753, 'null_draws': 40000, 'null_median_p': 0.0873, 'alpha_eff': 0.01528, 'inflation': 15.3, 'prognostic': 1507, 'expected_fp': 225.4, 'share_expected_fp': 0.15, 'survive_q05': 409, 'survive_q01': 75, 'seconds': 29.6}
