{'cohort': 'CESC', 'patients': 283, 'events': 67, 'genes': 14505, 'null_draws': 400000, 'null_median_p': 0.0963, 'alpha_eff': 0.01318, 'inflation': 13.2, 'prognostic': 927, 'expected_fp': 191.1, 'share_expected_fp': 0.206, 'survive_q05': 7, 'survive_q01': 0, 'seconds': 89.6}
{'cohort': 'BLCA', 'patients': 169, 'events': 169, 'genes': 14596, 'null_draws': 400000, 'null_median_p': 0.0977, 'alpha_eff': 0.01622, 'inflation': 16.2, 'prognostic': 511, 'expected_fp': 236.7, 'share_expected_fp': 0.463, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 110.5}
{'cohort': 'COAD', 'patients': 254, 'events': 61, 'genes': 13701, 'null_draws': 400000, 'null_median_p': 0.0901, 'alpha_eff': 0.01666, 'inflation': 16.7, 'prognostic': 336, 'expected_fp': 228.2, 'share_expected_fp': 0.679, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 80.1}
{'cohort': 'LIHC', 'patients': 362, 'events': 129, 'genes': 12913, 'null_draws': 400000, 'null_median_p': 0.0921, 'alpha_eff': 0.01354, 'inflation': 13.5, 'prognostic': 3449, 'expected_fp': 174.8, 'share_expected_fp': 0.051, 'survive_q05': 3428, 'survive_q01': 1656, 'seconds': 181.5}
{'cohort': 'STAD', 'patients': 345, 'events': 140, 'genes': 14750, 'null_draws': 400000, 'null_median_p': 0.0891, 'alpha_eff': 0.01509, 'inflation': 15.1, 'prognostic': 335, 'expected_fp': 222.5, 'share_expected_fp': 0.664, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 184.4}
{'cohort': 'GBM', 'patients': 141, 'events': 112, 'genes': 14427, 'null_draws': 400000, 'null_median_p': 0.0953, 'alpha_eff': 0.01719, 'inflation': 17.2, 'prognostic': 389, 'expected_fp': 248.0, 'share_expected_fp': 0.638, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 74.7}
{'cohort': 'KICH', 'patients': 64, 'events': 9, 'genes': 13287, 'null_draws': 400000, 'null_median_p': 0.1052, 'alpha_eff': 0.0135, 'inflation': 13.5, 'prognostic': 1284, 'expected_fp': 179.4, 'share_expected_fp': 0.14, 'survive_q05': 95, 'survive_q01': 0, 'seconds': 28.4}
{'cohort': 'READ', 'patients': 88, 'events': 16, 'genes': 13606, 'null_draws': 400000, 'null_median_p': 0.1028, 'alpha_eff': 0.0157, 'inflation': 15.7, 'prognostic': 567, 'expected_fp': 213.5, 'share_expected_fp': 0.377, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 31.3}
{'cohort': 'PRAD', 'patients': 480, 'events': 9, 'genes': 13957, 'null_draws': 400000, 'null_median_p': 0.1014, 'alpha_eff': 0.01285, 'inflation': 12.8, 'prognostic': 177, 'expected_fp': 179.3, 'share_expected_fp': 1.0, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 54.8}
{'cohort': 'KIRP', 'patients': 282, 'events': 44, 'genes': 14182, 'null_draws': 400000, 'null_median_p': 0.0964, 'alpha_eff': 0.01342, 'inflation': 13.4, 'prognostic': 1811, 'expected_fp': 190.4, 'share_expected_fp': 0.105, 'survive_q05': 1058, 'survive_q01': 361, 'seconds': 75.3}
{'cohort': 'PAAD', 'patients': 176, 'events': 92, 'genes': 14584, 'null_draws': 400000, 'null_median_p': 0.0931, 'alpha_eff': 0.0159, 'inflation': 15.9, 'prognostic': 1486, 'expected_fp': 231.8, 'share_expected_fp': 0.156, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 79.4}
{'cohort': 'OV', 'patients': 348, 'events': 216, 'genes': 14335, 'null_draws': 400000, 'null_median_p': 0.0926, 'alpha_eff': 0.01418, 'inflation': 14.2, 'prognostic': 362, 'expected_fp': 203.2, 'share_expected_fp': 0.561, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 264.2}
{'cohort': 'SKCM', 'patients': 98, 'events': 28, 'genes': 13873, 'null_draws': 400000, 'null_median_p': 0.1047, 'alpha_eff': 0.01342, 'inflation': 13.4, 'prognostic': 253, 'expected_fp': 186.2, 'share_expected_fp': 0.736, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 35.1}
{'cohort': 'TGCT', 'patients': 133, 'events': 4, 'genes': 15235, 'null_draws': 400000, 'null_median_p': 0.1241, 'alpha_eff': 0.01248, 'inflation': 12.5, 'prognostic': 22, 'expected_fp': 190.1, 'share_expected_fp': 1.0, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 31.1}
{'cohort': 'UCEC', 'patients': 175, 'events': 32, 'genes': 14824, 'null_draws': 400000, 'null_median_p': 0.1017, 'alpha_eff': 0.0133, 'inflation': 13.3, 'prognostic': 227, 'expected_fp': 197.2, 'share_expected_fp': 0.869, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 47.8}
{'cohort': 'THCA', 'patients': 495, 'events': 16, 'genes': 13699, 'null_draws': 400000, 'null_median_p': 0.0952, 'alpha_eff': 0.01398, 'inflation': 14.0, 'prognostic': 397, 'expected_fp': 191.6, 'share_expected_fp': 0.483, 'survive_q05': 0, 'survive_q01': 0, 'seconds': 68.5}
