Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0390647010828084,42.80220031738281,62,-1,0.03906,unprognostic - favorable,0.27616809579760504,0.9934647011713528
ENSG00000000005,0.006130796804664,0.0795999988913536,111,-1,0.006131,unprognostic - favorable,0.0739481512962176,0.8806409150116076
ENSG00000000419,0.0121040899354541,38.24810028076172,108,1,0.0121,unprognostic - unfavorable,0.11994700132496687,0.9417822329819724
ENSG00000000457,0.0408305818127239,5.549499988555908,60,-1,0.04083,unprognostic - favorable,0.2847178820529487,0.9934647011713528
ENSG00000000460,0.1703720204389121,4.444300174713135,61,-1,0.1704,unprognostic - favorable,0.7139821504462388,0.9992906199812239
ENSG00000000938,0.0029979855948466,5.6066999435424805,106,1,0.002998,unprognostic - unfavorable,0.044023899402514936,0.8125348590423171
ENSG00000000971,0.0024999091807672,7.1809000968933105,112,1,0.0025,unprognostic - unfavorable,0.038174045648858776,0.7860668867893688
ENSG00000001036,0.09037238484597,35.19559860229492,91,1,0.09037,unprognostic - unfavorable,0.488012799680008,0.9992906199812239
ENSG00000001084,0.1315481312102778,14.231599807739258,111,1,0.1315,unprognostic - unfavorable,0.6166595835104123,0.9992906199812239
ENSG00000001167,0.4949499992109227,7.729300022125244,112,1,0.4949,unprognostic - unfavorable,0.9958501037474063,0.9992906199812239
ENSG00000001460,6.559091940116428e-05,2.244800090789795,77,1,6.559e-05,potential prognostic - unfavorable,0.002699932501687458,0.535181781745779
ENSG00000001461,0.1260425471707014,8.189299583435059,103,1,0.126,unprognostic - unfavorable,0.6008599785005375,0.9992906199812239
ENSG00000001497,0.2949177272602139,12.051400184631348,111,-1,0.2949,unprognostic - favorable,0.9097272568185796,0.9992906199812239
ENSG00000001561,0.335768595643288,4.9274001121521,80,1,0.3358,unprognostic - unfavorable,0.943326416839579,0.9992906199812239
ENSG00000001617,0.0008867580735676,7.261099815368652,75,1,0.0008868,potential prognostic - unfavorable,0.017424564385890354,0.6955017769118107
ENSG00000001629,0.4371158807181751,27.77630043029785,67,1,0.4371,unprognostic - unfavorable,0.9873503162420939,0.9992906199812239
ENSG00000001630,0.1320624841520029,39.03519821166992,107,1,0.1321,unprognostic - unfavorable,0.6179595510112247,0.9992906199812239
ENSG00000001631,0.4257862672069148,9.456199645996094,103,1,0.4258,unprognostic - unfavorable,0.9846503837404065,0.9992906199812239
ENSG00000002016,0.116891558287383,4.178299903869629,111,-1,0.1169,unprognostic - favorable,0.5725606859828505,0.9992906199812239
ENSG00000002330,0.1029194893601677,156.81300354003906,32,1,0.1029,unprognostic - unfavorable,0.5307367315817104,0.9992906199812239
ENSG00000002549,0.0895293299894196,94.47820281982422,110,1,0.08953,unprognostic - unfavorable,0.4850378740531487,0.9992906199812239
ENSG00000002586,0.0502531801089024,813.6439819335938,93,1,0.05025,unprognostic - unfavorable,0.3287917802054949,0.9934647011713528
ENSG00000002587,0.1049358877412549,12.343199729919434,43,-1,0.1049,unprognostic - favorable,0.5371865703357416,0.9992906199812239
ENSG00000002745,0.0014206621009969,0.121299996972084,112,1,0.001421,unprognostic - unfavorable,0.02444938876528087,0.7370782986142602
ENSG00000002746,0.2853812085662081,0.5866000056266785,91,1,0.2854,unprognostic - unfavorable,0.8998025049373766,0.9992906199812239
ENSG00000002822,0.096152976487561,24.22640037536621,42,1,0.09615,unprognostic - unfavorable,0.5083372915677108,0.9992906199812239
ENSG00000002834,0.1920928951496345,86.44730377197266,56,1,0.1921,unprognostic - unfavorable,0.7590060248493787,0.9992906199812239
ENSG00000002919,0.0674629437317911,28.758699417114254,37,1,0.06746,unprognostic - unfavorable,0.40123996900077497,0.9992906199812239
ENSG00000002933,0.0014843457644548,46.582401275634766,101,1,0.001484,unprognostic - unfavorable,0.025624359391015223,0.7457595432624144
ENSG00000003056,0.3164613739320979,75.98169708251953,110,1,0.3165,unprognostic - unfavorable,0.9284017899552511,0.9992906199812239
ENSG00000003096,0.0045757766014882,10.895500183105469,79,-1,0.004576,unprognostic - favorable,0.059398515037124074,0.8478929390401604
ENSG00000003137,0.030485381597897,1.2803000211715698,70,1,0.03049,unprognostic - unfavorable,0.23186920326991825,0.9849737207274043
ENSG00000003147,0.048165728003396,5.97730016708374,100,-1,0.04817,unprognostic - favorable,0.3195170120746981,0.9934647011713528
ENSG00000003249,0.0719547695372188,18.67840003967285,111,1,0.07195,unprognostic - unfavorable,0.4194395140121497,0.9992906199812239
ENSG00000003393,0.2194612782105323,5.499199867248535,85,1,0.2195,unprognostic - unfavorable,0.8101797455063623,0.9992906199812239
ENSG00000003400,0.1820241050598842,2.574899911880493,80,-1,0.182,unprognostic - favorable,0.738881527961801,0.9992906199812239
ENSG00000003402,0.0577725301042468,36.76839828491211,33,1,0.05777,unprognostic - unfavorable,0.36196595085122873,0.9992906199812239
ENSG00000003436,0.310572827543883,19.83489990234375,65,1,0.3106,unprognostic - unfavorable,0.9237019074523137,0.9992906199812239
ENSG00000003509,0.1084959728228732,5.736499786376953,112,1,0.1085,unprognostic - unfavorable,0.5484112897177571,0.9992906199812239
ENSG00000003756,0.1753840883211386,30.683000564575195,112,-1,0.1754,unprognostic - favorable,0.7250818729531762,0.9992906199812239
ENSG00000003987,0.1608037815784466,1.8355000019073489,38,-1,0.1608,unprognostic - favorable,0.693657658558536,0.9992906199812239
ENSG00000003989,0.1990887316510138,1.3948999643325806,93,1,0.1991,unprognostic - unfavorable,0.772580685482863,0.9992906199812239
ENSG00000004059,0.0051919294055627,387.3869934082031,29,1,0.005192,unprognostic - unfavorable,0.06464838379040524,0.8478929390401604
ENSG00000004139,0.2843243980377589,4.421500205993652,86,-1,0.2843,unprognostic - favorable,0.8986275343116422,0.9992906199812239
ENSG00000004142,0.3016305930500213,74.68810272216797,112,1,0.3016,unprognostic - unfavorable,0.9158271043223919,0.9992906199812239
ENSG00000004399,0.0308628642394841,30.41860008239746,94,1,0.03086,unprognostic - unfavorable,0.23374415639609009,0.9849737207274043
ENSG00000004455,0.1027164488597452,175.60499572753906,32,-1,0.1027,unprognostic - favorable,0.5301367465813355,0.9992906199812239
ENSG00000004468,0.1003039667625171,7.458700180053711,39,-1,0.1003,unprognostic - favorable,0.52251193720157,0.9992906199812239
ENSG00000004478,0.176934862362009,44.660701751708984,82,-1,0.1769,unprognostic - favorable,0.7283817904552387,0.9992906199812239
ENSG00000004487,0.1843239999593711,86.55999755859375,45,-1,0.1843,unprognostic - favorable,0.7433814154646133,0.9992906199812239
ENSG00000004534,0.2964425131397458,49.73830032348633,31,-1,0.2964,unprognostic - favorable,0.9115272118197045,0.9992906199812239
ENSG00000004660,0.0325280201883675,4.603499889373779,79,1,0.03253,unprognostic - unfavorable,0.2420939476513087,0.9849737207274043
ENSG00000004700,0.2810716066014246,14.192999839782717,99,1,0.2811,unprognostic - unfavorable,0.8950526236844079,0.9992906199812239
ENSG00000004766,0.0881808965366863,4.103899955749512,80,1,0.08818,unprognostic - unfavorable,0.4801129971750706,0.9992906199812239
ENSG00000004776,0.0038255574170689,43.69440078735352,112,1,0.003826,unprognostic - unfavorable,0.05244868878278043,0.8431569210769729
ENSG00000004777,0.2517175345914146,29.002500534057617,52,1,0.2517,unprognostic - unfavorable,0.8585785355366116,0.9992906199812239
ENSG00000004779,0.2534608019145524,199.8300018310547,37,1,0.2535,unprognostic - unfavorable,0.8608034799130022,0.9992906199812239
ENSG00000004799,0.1660363989565226,13.572400093078612,56,-1,0.166,unprognostic - favorable,0.7047573810654734,0.9992906199812239
ENSG00000004838,0.2256124152187447,2.515199899673462,104,1,0.2256,unprognostic - unfavorable,0.8207294817629559,0.9992906199812239
ENSG00000004848,0.1876895533125383,2.0309998989105225,93,1,0.1877,unprognostic - unfavorable,0.7504312392190196,0.9992906199812239
ENSG00000004864,0.3104517208503075,14.753100395202637,93,1,0.3105,unprognostic - unfavorable,0.9236519087022824,0.9992906199812239
ENSG00000004866,0.0858151718779387,38.35749816894531,46,1,0.08582,unprognostic - unfavorable,0.4711132221694458,0.9992906199812239
ENSG00000004897,0.1116406648005262,20.643800735473633,36,-1,0.1116,unprognostic - favorable,0.5569610759731006,0.9992906199812239
ENSG00000004961,0.3117744294522978,19.736799240112305,79,1,0.3118,unprognostic - unfavorable,0.9244518887027824,0.9992906199812239
ENSG00000004975,0.2069134820215137,21.220800399780273,93,1,0.2069,unprognostic - unfavorable,0.7872303192420189,0.9992906199812239
ENSG00000005007,0.1719442304952268,32.35210037231445,59,-1,0.1719,unprognostic - favorable,0.7177820554486137,0.9992906199812239
ENSG00000005020,0.0240779228912215,13.52180004119873,89,1,0.02408,unprognostic - unfavorable,0.1976950576235594,0.9838380808330774
ENSG00000005022,0.0636823737877858,320.1109924316406,84,-1,0.06368,unprognostic - favorable,0.3861403464913377,0.9992906199812239
ENSG00000005059,0.0890673228913369,35.279998779296875,60,1,0.08907,unprognostic - unfavorable,0.4834379140521487,0.9992906199812239
