Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0002377122562147,20.215999603271484,138,1,0.0003059,potential prognostic - unfavorable,0.004474888127796805,0.15494951296168336
ENSG00000000419,0.0007459712431775,45.06159973144531,317,1,0.0006796,potential prognostic - unfavorable,0.011999700007499812,0.2163836954659791
ENSG00000000457,0.0125700017119653,5.132999897003174,161,-1,0.01082,unprognostic - favorable,0.12309692257693558,0.500414185551794
ENSG00000000460,0.0253234377897004,2.3099000453948975,366,1,0.03365,unprognostic - unfavorable,0.2090697732556686,0.5948525933874367
ENSG00000000938,0.0761543047293242,4.269199848175049,218,-1,0.06929,unprognostic - favorable,0.46108847278818027,0.782342328188195
ENSG00000000971,0.2812645804965539,18.21139907836914,331,-1,0.2716,unprognostic - unfavorable,0.913027174320642,0.9684022585123501
ENSG00000001036,0.0298720486596901,39.50080108642578,118,1,0.03436,unprognostic - unfavorable,0.2362940926476838,0.6232587308064406
ENSG00000001084,0.1865111985611792,70.4292984008789,110,1,0.203,unprognostic - unfavorable,0.7772805679858004,0.9272013502107749
ENSG00000001167,0.024780133388182,17.426000595092773,118,-1,0.02225,unprognostic - favorable,0.20574485637859052,0.5917399127495954
ENSG00000001460,0.0154215830417826,10.846699714660645,110,-1,0.01385,unprognostic - favorable,0.14349641258968526,0.5215766337867698
ENSG00000001461,0.0957518458989929,18.40970039367676,102,-1,0.08814,unprognostic - favorable,0.5342616434589136,0.8188426645266071
ENSG00000001497,0.0076048394427066,20.63759994506836,191,1,0.009467,unprognostic - unfavorable,0.08374790630234244,0.4401718471777435
ENSG00000001561,0.1400333232378511,1.2121000289916992,160,1,0.1577,unprognostic - unfavorable,0.6702082447938802,0.883632548825919
ENSG00000001617,0.2252060314002509,57.699501037597656,104,-1,0.2113,unprognostic - favorable,0.8432789180270494,0.9479975072236514
ENSG00000001629,0.2212976449090922,7.664899826049805,381,-1,0.1779,unprognostic - favorable,0.8376540586485338,0.946577372245074
ENSG00000001630,0.000828412632687,54.34000015258789,105,1,0.001008,unprognostic - unfavorable,0.013024674383140422,0.223558083887409
ENSG00000001631,0.0466413537963878,6.063499927520752,348,-1,0.0367,unprognostic - favorable,0.33009174770630734,0.701346750408257
ENSG00000002016,0.0919566108251271,2.7144999504089355,257,-1,0.07643,unprognostic - favorable,0.5207869803254919,0.8123524396187987
ENSG00000002330,0.0511609515106423,50.63800048828125,388,1,0.07321,unprognostic - unfavorable,0.3536411589710257,0.7213428745854122
ENSG00000002549,0.4429271541095388,46.11790084838867,387,-1,0.4505,unprognostic - favorable,0.9918252043698907,0.9966111276222861
ENSG00000002586,0.0514688425731368,244.0019989013672,239,-1,0.04274,unprognostic - favorable,0.35499112522186943,0.7221892908925447
ENSG00000002587,0.0126546228231323,5.989099979400635,155,1,0.01376,unprognostic - unfavorable,0.12389690257743556,0.5020177349381059
ENSG00000002726,0.0310434295845543,3.519399881362915,117,-1,0.02817,unprognostic - favorable,0.24266893327666808,0.6266491856222113
ENSG00000002746,0.1095279491851049,1.3260999917984009,168,-1,0.09778,unprognostic - favorable,0.5826354341141472,0.8436500736096469
