Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.011032707958398,29.22480010986328,87,1,0.009459,unprognostic - unfavorable,0.09696975757560607,0.3272787010797823
ENSG00000000419,0.0151451369457294,40.12350082397461,78,1,0.01382,unprognostic - unfavorable,0.12476468808827978,0.3756715088042429
ENSG00000000457,0.279614932561022,3.2802999019622803,179,-1,0.276,unprognostic - favorable,0.8940352649118377,0.9581667691716058
ENSG00000000938,0.0246038602070492,3.6647000312805176,200,-1,0.02336,unprognostic - favorable,0.18303204241989396,0.46171476798273503
ENSG00000000971,0.158541059097551,6.0696001052856445,177,1,0.1775,unprognostic - unfavorable,0.6831657920855198,0.8659077909945976
ENSG00000001036,0.0923520254689651,71.95149993896484,123,1,0.07579,unprognostic - unfavorable,0.4858887852780368,0.7474644487268812
ENSG00000001084,0.0008353203593116,29.85610008239746,67,1,0.0006651,potential prognostic - unfavorable,0.011637470906322734,0.09640339508964313
ENSG00000001167,0.0425503908338011,11.145899772644045,119,1,0.04495,unprognostic - unfavorable,0.2787093032267419,0.571688651773453
ENSG00000001460,0.0097029628439305,7.9532999992370605,129,-1,0.00832,unprognostic - favorable,0.08718728203179492,0.30856741969921525
ENSG00000001461,0.0139476039819392,9.340700149536133,213,-1,0.01284,unprognostic - favorable,0.11711220721948196,0.3624804283689858
ENSG00000001497,0.075007890510657,11.707200050354004,223,-1,0.06822,unprognostic - favorable,0.42181644545888636,0.6993274169851958
ENSG00000001561,0.1007946482121025,9.270099639892578,121,-1,0.1193,unprognostic - favorable,0.5153087117282207,0.768465630886396
ENSG00000001617,0.2521260389401773,9.83899974822998,190,1,0.2703,unprognostic - unfavorable,0.859687850780373,0.9435500707022879
ENSG00000001626,0.0565592687075086,0.0500999987125396,127,-1,0.06356,unprognostic - favorable,0.3443041392396519,0.6307495109248024
ENSG00000001629,0.0327250906716565,13.841099739074709,205,-1,0.03763,unprognostic - favorable,0.2287044282389294,0.519789455334054
ENSG00000001630,0.2936152632724479,21.062299728393555,125,1,0.3055,unprognostic - unfavorable,0.9087677280806798,0.9629585664939231
ENSG00000001631,0.1862040678419675,8.718999862670898,151,-1,0.1905,unprognostic - favorable,0.7463181342046645,0.8965001889879852
ENSG00000002016,0.2535490761674508,3.556999921798706,187,-1,0.2597,unprognostic - favorable,0.8616253459366352,0.9445443809286047
ENSG00000002330,0.0382131591608217,72.80239868164062,219,-1,0.03142,unprognostic - favorable,0.2571018572453569,0.5512767127997537
ENSG00000002549,0.0088969759116986,50.6786003112793,115,-1,0.01018,unprognostic - favorable,0.08119729700675749,0.29683436616150727
ENSG00000002586,0.0527886253929263,100.87200164794922,181,1,0.04791,unprognostic - unfavorable,0.32729918175204564,0.6176656015445791
ENSG00000002587,0.0545746779707595,46.77870178222656,69,-1,0.05407,unprognostic - favorable,0.33538166154584614,0.6241543626001864
ENSG00000002726,0.0106633646794905,75.44450378417969,107,-1,0.01205,unprognostic - favorable,0.0943347641630896,0.3219599348163044
ENSG00000002746,0.0262420554377962,0.6051999926567078,169,1,0.02271,unprognostic - unfavorable,0.19271201821995446,0.474898669399721
ENSG00000002822,0.0006013309043966,16.489200592041016,199,-1,0.000571,potential prognostic - favorable,0.009044977387556531,0.08375412808204273
ENSG00000002834,0.2407559926017249,181.97300720214844,99,1,0.2488,unprognostic - unfavorable,0.8435028912427719,0.936257181154026
ENSG00000002919,0.0011332189730132,16.6382999420166,175,-1,0.001175,unprognostic - favorable,0.014834962912592719,0.11149414097847903
ENSG00000002933,0.0242309493603493,394.9570007324219,220,-1,0.01853,unprognostic - favorable,0.1807020482448794,0.4579550479286776
ENSG00000003056,0.0945042401878974,103.7979965209961,165,1,0.08699,unprognostic - unfavorable,0.4934912662718343,0.7523858458683245
ENSG00000003096,0.0068233990265319,6.4934000968933105,133,1,0.005487,unprognostic - unfavorable,0.06528233679415801,0.2632209707139177
ENSG00000003137,0.2500228545741878,0.8877000212669373,207,1,0.2491,unprognostic - unfavorable,0.8566928582678544,0.9422691264118745
ENSG00000003147,0.0012142914496383,13.936699867248535,180,-1,0.001178,unprognostic - favorable,0.015667460831347922,0.11482993773135722
ENSG00000003249,0.0001482624069979,44.41899871826172,162,-1,0.0001841,potential prognostic - favorable,0.0028749928125179685,0.043225850839482494
ENSG00000003393,0.0005521533569677,4.460999965667725,58,1,0.0004056,potential prognostic - unfavorable,0.008447478881302796,0.08031380457382747
ENSG00000003400,0.0692818401611503,7.773900032043457,64,1,0.0765,unprognostic - unfavorable,0.3987540031149922,0.6786250414983513
ENSG00000003402,0.2403135896751726,66.44339752197266,57,1,0.2714,unprognostic - unfavorable,0.8428353929115178,0.936029094931178
ENSG00000003436,0.226186136959897,112.36599731445312,85,1,0.2245,unprognostic - unfavorable,0.8208954477613806,0.9279403188388251
ENSG00000003509,0.0878037683357473,6.697999954223633,217,-1,0.08727,unprognostic - favorable,0.46978382554043613,0.7337526667196547
ENSG00000003756,0.0010256802198323,16.054399490356445,217,-1,0.0008819,potential prognostic - favorable,0.013722465693835765,0.10675370733405311
ENSG00000003989,0.0116681407663932,3.0659000873565674,59,1,0.01288,unprognostic - unfavorable,0.10152974617563457,0.3354052784213486
ENSG00000004059,0.0525507975767428,310.1719970703125,106,-1,0.04718,unprognostic - favorable,0.3261566846082885,0.6164117938585751
ENSG00000004139,0.0570972668251585,1.9019999504089355,186,-1,0.05123,unprognostic - favorable,0.3466241334396664,0.6321789429579925
ENSG00000004142,0.0032657781813623,126.20899963378906,139,-1,0.003575,unprognostic - favorable,0.03566991082522294,0.18854665498446208
ENSG00000004399,0.012423138564819,12.51140022277832,142,1,0.0148,unprognostic - unfavorable,0.10679223301941745,0.34436731438867174
