Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0001147951351675,18.51219940185547,59,1,0.0001136,potential prognostic - unfavorable,0.003074923126921827,0.10884630796851438
ENSG00000000419,0.0058914779161294,50.99580001831055,38,1,0.005855,unprognostic - unfavorable,0.06607334816629584,0.2735207804874421
ENSG00000000457,0.0862970816339775,9.81719970703125,38,1,0.08599,unprognostic - unfavorable,0.4749381265468363,0.6860635536409528
ENSG00000000460,2.681344590257604e-05,2.53439998626709,38,1,2.657e-05,validated prognostic - unfavorable,0.0010999725006874829,0.09073528817888152
ENSG00000000938,0.0190834350007426,13.1850004196167,50,-1,0.01887,unprognostic - favorable,0.16217094572635685,0.4121821318356898
ENSG00000000971,0.042664532557591,36.83340072631836,125,1,0.04265,unprognostic - unfavorable,0.29371765705857356,0.5463051027346304
ENSG00000001036,0.2173997566961072,48.945701599121094,45,1,0.2167,unprognostic - unfavorable,0.8085797855053624,0.895665167234559
ENSG00000001084,0.1855646781396751,11.991299629211426,97,1,0.1852,unprognostic - unfavorable,0.7461813454663634,0.86005095173521
ENSG00000001167,0.0023872104051249,12.38379955291748,68,1,0.002367,unprognostic - unfavorable,0.032674183145421365,0.20557389430234044
ENSG00000001460,0.314748872709525,5.170499801635742,80,1,0.3133,unprognostic - unfavorable,0.930801729956751,0.9628209397609232
ENSG00000001461,0.080894241978358,15.77280044555664,42,1,0.08058,unprognostic - unfavorable,0.4556136096597585,0.6741289534894779
ENSG00000001497,0.035496971083352,15.468099594116213,65,1,0.03528,unprognostic - unfavorable,0.25829354266143345,0.5146813808135463
ENSG00000001561,0.1881107068625202,5.481500148773193,128,-1,0.1882,unprognostic - favorable,0.7523061923451914,0.8636361389453929
ENSG00000001617,0.0067110722083284,18.19389915466309,42,1,0.006673,unprognostic - unfavorable,0.0734481637959051,0.28717641308297054
ENSG00000001626,0.0258283243476457,12.586199760437012,122,1,0.02583,unprognostic - unfavorable,0.20449488762780932,0.46123622659510843
ENSG00000001629,0.0029086392084538,14.360199928283691,46,1,0.002888,unprognostic - unfavorable,0.038149046273843155,0.2209553974812266
ENSG00000001630,0.1522921800167283,55.15840148925781,63,1,0.1516,unprognostic - unfavorable,0.6723331916702082,0.8159703518016724
ENSG00000001631,0.0976382085246094,9.513299942016602,67,1,0.09808,unprognostic - unfavorable,0.5146371340716482,0.7136871777863283
ENSG00000002016,0.0043100519462946,3.909899950027466,85,-1,0.004294,unprognostic - favorable,0.051973700657483565,0.2490911765983373
ENSG00000002330,0.2275175289042652,54.332298278808594,140,-1,0.2268,unprognostic - favorable,0.8245543861403465,0.9048383120745532
ENSG00000002549,0.0169125778486942,50.90650177001953,121,1,0.01682,unprognostic - unfavorable,0.14839629009274768,0.39382444529795846
ENSG00000002586,0.0377320192487501,343.47198486328125,86,-1,0.03745,unprognostic - favorable,0.2697182570435739,0.5253438700085374
ENSG00000002587,0.0384732503645236,30.55610084533691,47,1,0.03828,unprognostic - unfavorable,0.27301817454563637,0.5275168332768364
