Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0076564329152567,57.00669860839844,62,-1,0.007248,unprognostic - favorable,0.07167732080669799,0.45106190090351583
ENSG00000000005,0.0014483842909286,0.7264999747276306,52,-1,0.001452,unprognostic - favorable,0.020552448618878453,0.3688301062023694
ENSG00000000419,0.0010548396208557,98.88790130615234,36,-1,0.0031,unprognostic - favorable,0.016329959175102063,0.3688301062023694
ENSG00000000457,0.3231442497965978,5.234300136566162,69,-1,0.205,unprognostic - favorable,0.9185352036619908,0.9634281514820419
ENSG00000000460,0.2388462448605803,6.138500213623047,27,-1,0.2314,unprognostic - favorable,0.8170504573738566,0.9200467253735448
ENSG00000000938,0.0011507131307209,4.73960018157959,23,1,0.0007378,potential prognostic - unfavorable,0.017379956550108624,0.3688301062023694
ENSG00000000971,0.0680164443642492,19.120500564575195,18,1,0.04267,unprognostic - unfavorable,0.3762915592711018,0.692702493862594
ENSG00000001036,0.1335210961185224,55.532100677490234,46,-1,0.1474,unprognostic - favorable,0.5922860192849518,0.8110898747609727
ENSG00000001084,0.0004858065397758,18.359899520874023,69,-1,0.0009493,potential prognostic - favorable,0.0093599766000585,0.3561244922745213
ENSG00000001167,0.0007977178550397,13.609600067138672,61,-1,0.00463,unprognostic - favorable,0.01328496678758303,0.36151051622370944
ENSG00000001460,0.0436727640057181,5.130799770355225,20,1,0.02706,unprognostic - unfavorable,0.27349681625795935,0.6231951276404225
ENSG00000001461,0.048882385946323,9.842000007629396,55,-1,0.1157,unprognostic - favorable,0.2969442576393559,0.6406043442636755
ENSG00000001497,0.1460649819433181,24.535499572753903,31,-1,0.4464,unprognostic - favorable,0.6260259349351627,0.82999970236732
ENSG00000001561,0.0737634586120445,7.292600154876709,69,-1,0.1023,unprognostic - favorable,0.39809150477123806,0.7059557194775591
ENSG00000001617,0.1342031935145711,11.530500411987305,67,1,0.05009,unprognostic - unfavorable,0.5941660145849635,0.8118319737339842
ENSG00000001626,0.0126849228103669,39.27389907836914,42,-1,0.005191,unprognostic - favorable,0.10612473468816327,0.4909004807284246
ENSG00000001629,0.0004920358023219,9.337300300598145,64,-1,0.003235,unprognostic - favorable,0.009442476393809015,0.3561244922745213
ENSG00000001630,0.0739838018399707,44.05989837646485,67,-1,0.1562,unprognostic - favorable,0.39898150254624365,0.7062740492212245
ENSG00000001631,0.0229628328542738,10.373600006103516,56,-1,0.02346,unprognostic - favorable,0.16736708158229605,0.5469141530983103
ENSG00000002016,0.0029961250915037,4.163899898529053,49,-1,0.0007136,potential prognostic - favorable,0.03509991225021938,0.3943595425899957
ENSG00000002330,0.2923932576053525,49.662200927734375,38,1,0.2719,unprognostic - unfavorable,0.8880752798118005,0.9515042331773649
ENSG00000002549,0.0242903758980911,60.34960174560547,59,-1,0.07323,unprognostic - favorable,0.17484206289484278,0.553280278427211
ENSG00000002586,0.6073558597173134,177.2209930419922,63,1,0.2674,unprognostic - unfavorable,0.9996175009562476,0.9998559869458467
ENSG00000002587,0.0854746732954307,4.513700008392334,40,-1,0.03542,unprognostic - favorable,0.4411038972402569,0.7344276833731981
ENSG00000002726,0.065087233144115,70.8895034790039,62,1,0.03947,unprognostic - unfavorable,0.36465158837102907,0.6864464798456315
ENSG00000002746,0.0445875351643376,1.2955000400543213,27,-1,0.05503,unprognostic - favorable,0.27757680605798485,0.6254091874291758
ENSG00000002822,0.1707759926262581,18.60930061340332,18,1,0.1235,unprognostic - unfavorable,0.686575783560541,0.8597045933300866
ENSG00000002834,0.0395273573276455,131.88699340820312,55,-1,0.04584,unprognostic - favorable,0.2537368656578359,0.609996801863119
ENSG00000002919,0.0048959395856171,9.774299621582031,67,-1,0.01463,unprognostic - favorable,0.05100487248781878,0.4222281763482681
ENSG00000002933,0.0121441806669414,427.0249938964844,24,1,0.03412,unprognostic - unfavorable,0.1024797438006405,0.48566332084692254
ENSG00000003056,0.0319618209261782,115.05599975585938,18,-1,0.05313,unprognostic - favorable,0.2159344601638496,0.5852598137428959
ENSG00000003096,0.2041763370067602,0.4009999930858612,69,-1,0.09351,unprognostic - favorable,0.7571681070797323,0.8937699930015072
ENSG00000003147,0.0541759764205012,42.91939926147461,65,-1,0.00834,unprognostic - favorable,0.3197817005457486,0.6564380858620941
ENSG00000003249,0.0535340033055878,23.26639938354492,20,1,0.03061,unprognostic - unfavorable,0.31701920745198137,0.6556259821540749
ENSG00000003393,0.1575034811790114,2.1693999767303467,63,-1,0.08424,unprognostic - unfavorable,0.6550783623040942,0.84416053067044
ENSG00000003400,0.0023641454188387,6.446499824523926,66,-1,0.007217,unprognostic - favorable,0.029384926537683657,0.38000057213879107
ENSG00000003402,0.0097964057109306,31.2898006439209,67,-1,0.006202,unprognostic - favorable,0.08685978285054287,0.464897214278362
ENSG00000003436,0.0273117578968127,13.604299545288086,25,1,0.02124,unprognostic - unfavorable,0.19151202121994695,0.5653292145234178
ENSG00000003509,0.0141944842007207,7.582600116729736,54,-1,0.0141,unprognostic - favorable,0.11568971077572306,0.4978096789419633
ENSG00000003756,0.1420258098366222,28.886199951171875,42,-1,0.07342,unprognostic - favorable,0.6155634610913473,0.8240209355207061
ENSG00000003989,0.0259429475682652,0.4307000041007995,50,1,0.01185,unprognostic - unfavorable,0.1840970397574006,0.5588326973713641
ENSG00000004059,0.006661497921961,290.8089904785156,18,1,0.0276,unprognostic - unfavorable,0.06436733908165229,0.4436480948109669
ENSG00000004139,0.104480518740359,0.8377000093460083,63,-1,0.1887,unprognostic - favorable,0.5053837365406586,0.7685538302640216
ENSG00000004142,0.0020899052291792,66.90509796142578,65,-1,0.001734,unprognostic - favorable,0.026789933025167436,0.37739355084016835
ENSG00000004399,0.1892909427616037,15.482999801635742,36,1,0.06106,unprognostic - unfavorable,0.7271031822420444,0.8788943968832225
ENSG00000004455,0.0509115337182287,130.02200317382812,61,-1,0.1261,unprognostic - favorable,0.305761735595661,0.6479044034440995
ENSG00000004468,0.0067120942636479,0.4973999857902527,65,-1,0.006257,unprognostic - favorable,0.06471233821915445,0.4436480948109669
ENSG00000004478,0.0389443616179096,68.14749908447266,62,-1,0.02981,unprognostic - favorable,0.2511868720328199,0.6072305650349353
ENSG00000004487,0.0871323084103382,46.26089859008789,62,-1,0.172,unprognostic - favorable,0.4469963825090437,0.7382297577755267
ENSG00000004534,0.0873988003766914,36.76850128173828,24,-1,0.05652,unprognostic - favorable,0.4479313801715496,0.7383414193043848
ENSG00000004660,0.0028102478664037,6.736100196838379,23,-1,0.00922,unprognostic - favorable,0.03334491663770841,0.38739853662311236
ENSG00000004700,0.0682540690283481,8.856800079345703,69,-1,0.1397,unprognostic - favorable,0.37723405691485773,0.693413479922123
ENSG00000004766,0.2543690253265777,2.0894999504089355,69,-1,0.3058,unprognostic - unfavorable,0.8403353991615021,0.9317580833665877
ENSG00000004776,0.0516470536814768,15.650099754333496,32,1,0.04611,unprognostic - unfavorable,0.30897922755193113,0.6502551227383144
ENSG00000004777,0.0818681032226406,1.8561999797821045,63,-1,0.179,unprognostic - favorable,0.4281339296651758,0.7254778656727869
ENSG00000004779,0.0259573207432325,131.1580047607422,66,-1,0.02907,unprognostic - favorable,0.18417203956990108,0.5588326973713641
ENSG00000004799,0.4105018246584553,5.857500076293945,43,-1,0.279,unprognostic - unfavorable,0.9737900655248362,0.9877612811559144
ENSG00000004864,0.1087130501065183,25.86240005493164,18,-1,0.1135,unprognostic - favorable,0.5189237026907433,0.7758764723967311
ENSG00000004866,0.0768336044814745,18.44860076904297,48,1,0.03483,unprognostic - unfavorable,0.40972397569006075,0.7151073027910042
ENSG00000004897,0.0050010051719223,10.47089958190918,68,-1,0.01567,unprognostic - favorable,0.05178987052532369,0.4222281763482681
ENSG00000004961,0.0629754556634987,28.329099655151367,60,-1,0.132,unprognostic - favorable,0.3561816095459761,0.6823227692071141
ENSG00000004975,0.1294653770318137,10.505399703979492,69,-1,0.2251,unprognostic - favorable,0.5811485471286322,0.8065184753398785
ENSG00000005001,0.3245207593883361,2.244999885559082,36,1,0.307,unprognostic - unfavorable,0.9197602005994985,0.9638956550378784
ENSG00000005007,0.1063430891731212,42.88199996948242,37,-1,0.07419,unprognostic - favorable,0.5114562213594466,0.7723133438809395
ENSG00000005020,0.2038151728374466,13.847999572753906,63,1,0.1365,unprognostic - unfavorable,0.7565306086734783,0.8936755913883786
ENSG00000005022,0.0072248362853845,413.2690124511719,69,-1,0.01976,unprognostic - favorable,0.06848982877542806,0.4478175224023442
ENSG00000005059,0.0188455344597947,4.2307000160217285,69,-1,0.009753,unprognostic - favorable,0.14388214029464927,0.5242304016060576
ENSG00000005073,0.1846899361082615,7.502200126647949,54,-1,0.2339,unprognostic - favorable,0.7173032067419831,0.8739591474803547
ENSG00000005075,0.0164864869369643,120.98799896240234,25,1,0.04275,unprognostic - unfavorable,0.12978467553831116,0.5117175895300654
ENSG00000005100,0.0034450696528758,6.400700092315674,59,-1,0.01411,unprognostic - favorable,0.03907490231274422,0.404020740137975
ENSG00000005102,0.366003301477941,0.3490999937057495,68,-1,0.2248,unprognostic - unfavorable,0.9510801222996943,0.9763935790085081
ENSG00000005156,0.0008614086137292,8.060099601745605,65,-1,0.0009512,potential prognostic - favorable,0.014124964687588282,0.361928944518505
ENSG00000005175,0.0158545099613354,14.748900413513184,65,-1,0.0479,unprognostic - favorable,0.12596218509453727,0.5082566697497848
ENSG00000005187,0.0089214979800669,5.941699981689453,69,-1,0.0209,unprognostic - favorable,0.08069229826925432,0.46143322764616673
ENSG00000005189,0.0247557945727371,1.946900010108948,67,-1,0.04892,unprognostic - favorable,0.17748205629485928,0.5541121748388836
ENSG00000005194,0.071997484820392,42.54819869995117,46,-1,0.2133,unprognostic - favorable,0.391359021602446,0.7019286643715898
ENSG00000005206,0.0270495188341008,27.9424991607666,53,-1,0.009484,unprognostic - favorable,0.19005202486993783,0.5631193605951553
ENSG00000005238,0.109692647066495,12.67549991607666,20,1,0.07274,unprognostic - unfavorable,0.5219736950657623,0.777399210600693
