Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0149364376364169,20.049999237060547,20.0,1.0,0.0203,unprognostic - unfavorable,0.11627209319767005,0.8330177030384366
ENSG00000000419,0.0754585344467843,33.97489929199219,43.0,1.0,0.07546,unprognostic - unfavorable,0.4004649883752906,0.9025157545996917
ENSG00000000457,0.1404514606634317,7.199699878692627,22.0,1.0,0.1405,unprognostic - unfavorable,0.6077848053798655,0.9352808604363418
ENSG00000000460,0.1502982503360508,6.079100131988525,26.0,1.0,0.1503,unprognostic - unfavorable,0.6329841753956151,0.9420991868397396
ENSG00000000938,0.1197155681891921,1.5843000411987305,67.0,-1.0,0.1197,unprognostic - favorable,0.5499612509687258,0.929746921407095
ENSG00000000971,0.0126687890668758,5.5594000816345215,58.0,1.0,0.01267,unprognostic - unfavorable,0.10317242068948276,0.8330177030384366
ENSG00000001036,0.2917980337109154,32.89500045776367,72.0,-1.0,0.2918,unprognostic - favorable,0.8834029149271269,0.9771803105655893
ENSG00000001084,0.0004717556465038,18.074499130249023,20.0,1.0,0.002326,unprognostic - unfavorable,0.007324816879578011,0.6729614872210976
ENSG00000001167,0.0185483733358955,10.896599769592283,72.0,1.0,0.01855,unprognostic - unfavorable,0.13699657508562285,0.8330177030384366
ENSG00000001460,0.2001774431215654,6.656000137329102,66.0,-1.0,0.2002,unprognostic - favorable,0.7447063823404415,0.9595348418509282
ENSG00000001461,0.2770952800128964,24.167699813842773,39.0,-1.0,0.2771,unprognostic - favorable,0.8657033574160646,0.9742132855728968
ENSG00000001497,0.171213811644308,17.972700119018555,75.0,-1.0,0.1712,unprognostic - favorable,0.6832579185520362,0.9492052892891313
ENSG00000001561,0.2345670673803576,0.1090999990701675,67.0,1.0,0.2346,unprognostic - unfavorable,0.8056548586285343,0.9681117240150416
ENSG00000001617,0.0478900764905647,5.399400234222412,55.0,1.0,0.04789,unprognostic - unfavorable,0.2838179045523862,0.875437106997375
ENSG00000001629,0.1011387733664975,9.057299613952637,56.0,1.0,0.1011,unprognostic - unfavorable,0.49113772155696106,0.9226037287336122
ENSG00000001630,0.1777850688491206,47.571998596191406,38.0,1.0,0.1778,unprognostic - unfavorable,0.6987575310617234,0.9530424721324378
ENSG00000001631,0.0845641807760054,14.249099731445312,29.0,1.0,0.08456,unprognostic - unfavorable,0.4350141246468838,0.9090336641255513
ENSG00000002016,0.1505727042571303,5.679599761962891,27.0,1.0,0.1506,unprognostic - unfavorable,0.633459163520912,0.9420991868397396
