Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.1643474143909837,31.71960067749023,69,-1,0.1643,unprognostic - favorable,0.6284092897677558,0.9994649735782655
ENSG00000000005,0.1553446778665435,0.2865999937057495,45,-1,0.1553,unprognostic - favorable,0.596035099122522,0.9994649735782655
ENSG00000000419,0.1626608249295657,33.521400451660156,105,-1,0.1483,unprognostic - favorable,0.6216594585135372,0.9994649735782655
ENSG00000000457,0.1847660923639945,3.9286000728607178,105,-1,0.1698,unprognostic - favorable,0.6978825529361766,0.9994649735782655
ENSG00000000460,0.1591649023607057,5.579800128936768,70,-1,0.1592,unprognostic - favorable,0.6109347266318342,0.9994649735782655
ENSG00000000938,0.0230477483302,8.635100364685059,66,1,0.02305,unprognostic - unfavorable,0.11752206194845129,0.9994649735782655
ENSG00000000971,0.0084966875709064,14.662500381469728,47,1,0.008497,unprognostic - unfavorable,0.050998725031874206,0.9994649735782655
ENSG00000001036,0.1284218417010366,17.150299072265625,78,1,0.1284,unprognostic - unfavorable,0.5108872278193045,0.9994649735782655
ENSG00000001084,0.2074034384811299,16.698999404907227,40,1,0.2074,unprognostic - unfavorable,0.7542561435964101,0.9994649735782655
ENSG00000001167,0.1701582011660796,31.295499801635746,33,-1,0.1702,unprognostic - favorable,0.6499837504062398,0.9994649735782655
ENSG00000001460,0.1582869742951397,2.863899946212769,105,-1,0.1441,unprognostic - favorable,0.6073098172545687,0.9994649735782655
ENSG00000001461,0.1773081376166949,5.7778000831604,89,1,0.1773,unprognostic - unfavorable,0.6720081997950051,0.9994649735782655
ENSG00000001497,0.0010368940067735,29.376699447631836,105,-1,0.0007598,potential prognostic - favorable,0.014274643133921652,0.9994649735782655
ENSG00000001561,0.213992449161907,1.3341000080108645,101,-1,0.214,unprognostic - favorable,0.7665308367290817,0.9994649735782655
ENSG00000001617,0.1258741669115356,6.1757001876831055,79,1,0.1259,unprognostic - unfavorable,0.5037874053148671,0.9994649735782655
ENSG00000001626,0.2583238729455035,0.2732999920845032,33,1,0.2583,unprognostic - unfavorable,0.8412789680257994,0.9994649735782655
ENSG00000001629,0.3098906855270457,10.314800262451172,94,-1,0.3099,unprognostic - favorable,0.904502387440314,0.9994649735782655
ENSG00000001630,0.4282966018416088,52.67020034790039,35,1,0.4283,unprognostic - unfavorable,0.9706507337316567,0.9994649735782655
ENSG00000001631,0.283015187534209,24.32889938354492,27,1,0.3024,unprognostic - unfavorable,0.8756281092972675,0.9994649735782655
ENSG00000002016,0.4707307500793672,10.18239974975586,82,-1,0.4707,unprognostic - favorable,0.9815254618634535,0.9994649735782655
ENSG00000002330,0.1040479185735158,41.68050003051758,48,-1,0.104,unprognostic - favorable,0.441463963400915,0.9994649735782655
ENSG00000002549,0.0143827661568785,75.96320343017578,43,1,0.01438,unprognostic - unfavorable,0.08459788505287368,0.9994649735782655
ENSG00000002586,0.0842982604427568,235.55999755859375,39,1,0.0843,unprognostic - unfavorable,0.3837154071148221,0.9994649735782655
ENSG00000002587,0.1764550667726328,1.6930999755859375,29,-1,0.1765,unprognostic - favorable,0.6698082547936302,0.9994649735782655
ENSG00000002726,0.0217386918212129,0.633400022983551,48,1,0.02174,unprognostic - unfavorable,0.11242218944526387,0.9994649735782655
ENSG00000002746,0.331499393551912,0.0278999991714954,105,-1,0.3315,unprognostic - favorable,0.9236019099522512,0.9994649735782655
ENSG00000002822,0.0132771624933756,26.44849967956543,82,-1,0.01328,unprognostic - favorable,0.07897302567435814,0.9994649735782655
ENSG00000002834,0.2652834359033629,110.76599884033205,102,1,0.2653,unprognostic - unfavorable,0.8513037174070648,0.9994649735782655
ENSG00000002919,0.209637081688708,14.806099891662598,92,1,0.2096,unprognostic - unfavorable,0.7585060373490663,0.9994649735782655
ENSG00000002933,0.0090079186647914,79.19000244140625,27,1,0.01076,unprognostic - unfavorable,0.054248643783905405,0.9994649735782655
ENSG00000003056,0.1623317543910269,208.89700317382812,61,1,0.1623,unprognostic - unfavorable,0.6199595010124747,0.9994649735782655
ENSG00000003096,0.06154897342193,0.9340999722480774,88,-1,0.06155,unprognostic - favorable,0.3063923401914952,0.9994649735782655
ENSG00000003137,0.3405150800204021,0.7071999907493591,84,1,0.3405,unprognostic - unfavorable,0.9311267218319542,0.9994649735782655
ENSG00000003147,0.0892748248582074,5.621699810028076,60,-1,0.08927,unprognostic - favorable,0.398440038999025,0.9994649735782655
ENSG00000003249,0.3602788969316652,4.480199813842773,105,1,0.3603,unprognostic - unfavorable,0.9434764130896728,0.9994649735782655
ENSG00000003393,0.1632144153905688,1.7964999675750732,105,-1,0.1488,unprognostic - favorable,0.6240843978900528,0.9994649735782655
ENSG00000003400,0.1118681722918407,10.970600128173828,48,1,0.1119,unprognostic - unfavorable,0.46466338341541463,0.9994649735782655
ENSG00000003402,0.1447838284470208,45.82789993286133,84,1,0.1448,unprognostic - unfavorable,0.5623109422264443,0.9994649735782655
ENSG00000003436,0.1085889424212211,22.464000701904297,52,1,0.1086,unprognostic - unfavorable,0.4541886452838679,0.9994649735782655
ENSG00000003509,0.2270632897032182,15.524399757385254,35,-1,0.2271,unprognostic - favorable,0.7904052398690032,0.9994649735782655
ENSG00000003756,0.1686604770031254,34.17399978637695,105,-1,0.1541,unprognostic - favorable,0.6437089072773181,0.9994649735782655
ENSG00000003987,0.1614280578788436,1.5326000452041626,85,-1,0.1614,unprognostic - favorable,0.6175845603859903,0.9994649735782655
ENSG00000003989,0.0494881425339128,10.48050022125244,33,1,0.04949,unprognostic - unfavorable,0.24789380265493363,0.9994649735782655
ENSG00000004059,0.0459405977052078,374.7560119628906,52,-1,0.04594,unprognostic - favorable,0.23174420639484014,0.9994649735782655
ENSG00000004139,0.0988290983516249,0.8747000098228455,84,1,0.09883,unprognostic - unfavorable,0.42683932901677457,0.9994649735782655
ENSG00000004142,0.2429576126149088,78.39420318603516,58,-1,0.243,unprognostic - favorable,0.8168045798855028,0.9994649735782655
ENSG00000004399,0.1015729419168755,36.99909973144531,70,1,0.1016,unprognostic - unfavorable,0.4346641333966651,0.9994649735782655
ENSG00000004455,0.2628334320698219,53.055999755859375,92,1,0.2628,unprognostic - unfavorable,0.847828804279893,0.9994649735782655
ENSG00000004468,0.0508616879899272,21.87969970703125,27,1,0.05921,unprognostic - unfavorable,0.2556186095347616,0.9994649735782655
ENSG00000004478,0.1843154507118544,479.4079895019531,27,1,0.1997,unprognostic - unfavorable,0.6968825779355516,0.9994649735782655
ENSG00000004487,0.0335040114988755,115.05699920654295,68,-1,0.0335,unprognostic - favorable,0.1667958301042474,0.9994649735782655
ENSG00000004534,0.1137104140570114,57.779998779296875,98,-1,0.1137,unprognostic - favorable,0.4696382590435239,0.9994649735782655
ENSG00000004660,0.1492009926520199,1.8461999893188477,97,1,0.1492,unprognostic - unfavorable,0.575385615359616,0.9994649735782655
ENSG00000004700,0.0580750517247518,36.67789840698242,44,1,0.05808,unprognostic - unfavorable,0.2918177045573861,0.9994649735782655
ENSG00000004766,0.3602380636439698,4.06790018081665,41,1,0.3602,unprognostic - unfavorable,0.9434514137146571,0.9994649735782655
ENSG00000004776,0.1516582407036865,16.6387996673584,49,1,0.1517,unprognostic - unfavorable,0.5824604384890377,0.9994649735782655
ENSG00000004777,0.324242425577842,27.781200408935547,28,1,0.3242,unprognostic - unfavorable,0.917752056198595,0.9994649735782655
ENSG00000004779,0.2115539400960894,221.5850067138672,95,1,0.2116,unprognostic - unfavorable,0.7622809429764256,0.9994649735782655
ENSG00000004799,0.1658335821492721,1.7767000198364258,84,1,0.1658,unprognostic - unfavorable,0.6337591560210994,0.9994649735782655
ENSG00000004838,0.2188342364511472,0.5983999967575073,36,-1,0.2188,unprognostic - favorable,0.7758806029849253,0.9994649735782655
ENSG00000004846,0.0760192274319897,0.1018000021576881,97,-1,0.07602,unprognostic - favorable,0.35689107772305695,0.9994649735782655
ENSG00000004848,0.1684232574791623,1.7723000049591064,49,1,0.1684,unprognostic - unfavorable,0.6420589485262869,0.9994649735782655
ENSG00000004864,0.4722775231555471,25.382200241088867,83,-1,0.4723,unprognostic - favorable,0.9817754556136097,0.9994649735782655
ENSG00000004866,0.1792138033375913,8.598699569702148,105,-1,0.1644,unprognostic - favorable,0.6785580360490988,0.9994649735782655
ENSG00000004897,0.1684232574791623,20.093700408935547,48,1,0.1684,unprognostic - unfavorable,0.6420589485262869,0.9994649735782655
ENSG00000004939,0.175601644276959,0.3362999856472015,91,1,0.1756,unprognostic - unfavorable,0.6675833104172396,0.9994649735782655
ENSG00000004961,0.27962379513393,16.49650001525879,93,1,0.2796,unprognostic - unfavorable,0.8713032174195645,0.9994649735782655
ENSG00000004975,0.3211218501062478,39.50960159301758,64,1,0.3211,unprognostic - unfavorable,0.9151271218219544,0.9994649735782655
ENSG00000005007,0.1418790693615789,44.596900939941406,61,1,0.1419,unprognostic - unfavorable,0.552811179720507,0.9994649735782655
ENSG00000005020,0.4813450380264731,4.901199817657471,81,1,0.4813,unprognostic - unfavorable,0.9839254018649534,0.9994649735782655
ENSG00000005022,0.1274984430467436,337.0320129394531,41,-1,0.1275,unprognostic - favorable,0.5078873028174296,0.9994649735782655
ENSG00000005059,0.0451384197734856,9.931500434875488,30,1,0.04514,unprognostic - unfavorable,0.22609434764130898,0.9994649735782655
ENSG00000005073,0.0981827696937963,1.559399962425232,33,1,0.09818,unprognostic - unfavorable,0.424814379640509,0.9994649735782655
ENSG00000005075,0.0739532449527396,115.49400329589844,57,-1,0.07395,unprognostic - favorable,0.35014124646883826,0.9994649735782655
ENSG00000005100,0.19635368282405,18.77899932861328,88,-1,0.1964,unprognostic - favorable,0.7293067673308167,0.9994649735782655
ENSG00000005102,0.1280157290777509,1.728700041770935,80,1,0.128,unprognostic - unfavorable,0.5097122571935702,0.9994649735782655
ENSG00000005156,0.2312305373592024,22.47249984741211,49,1,0.2312,unprognostic - unfavorable,0.7979300517487062,0.9994649735782655
ENSG00000005175,0.4111202397376585,21.160400390625,62,1,0.4111,unprognostic - unfavorable,0.9658008549786256,0.9994649735782655
ENSG00000005187,0.0712394776202012,1.4407000541687012,61,1,0.07124,unprognostic - unfavorable,0.34086647833804157,0.9994649735782655
ENSG00000005189,0.1034418928912125,2.609999895095825,88,-1,0.1034,unprognostic - favorable,0.43968900777480563,0.9994649735782655
