Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0736160184364502,28.27359962463379,195,1,0.07151,unprognostic - unfavorable,0.4183364541588646,0.8027442338594042
ENSG00000000419,0.0012419545615431,51.37229919433594,103,1,0.000978,potential prognostic - unfavorable,0.016647458381354046,0.48964349988275774
ENSG00000000457,0.1379497502435973,8.085399627685547,126,1,0.1499,unprognostic - unfavorable,0.6380609048477379,0.8859898286400814
ENSG00000000460,0.3740749548591937,0.5289000272750854,376,1,0.3476,unprognostic - unfavorable,0.9696325759185602,0.9906362796551059
ENSG00000000938,0.2203428769595611,5.815400123596191,240,1,0.226,unprognostic - unfavorable,0.8151004622488444,0.945075009085647
ENSG00000000971,0.1682304885805561,24.59950065612793,330,-1,0.208,unprognostic - favorable,0.7137132157169607,0.909373138468595
ENSG00000001036,0.074784294298952,34.79130172729492,395,-1,0.07658,unprognostic - favorable,0.4230889422776443,0.8059929662441175
ENSG00000001084,0.0231476833006873,24.614900588989254,99,1,0.03389,unprognostic - unfavorable,0.17395956510108726,0.6782445384312071
ENSG00000001167,0.0281086778918699,14.423800468444824,274,1,0.03161,unprognostic - unfavorable,0.203681990795023,0.6950130424276127
ENSG00000001460,0.462300698857272,7.314799785614014,173,1,0.4965,unprognostic - unfavorable,0.9938175154562113,0.9978968074642409
ENSG00000001461,0.0302692124465835,29.135099411010746,386,-1,0.02589,unprognostic - favorable,0.21614945962635093,0.6996754032778595
ENSG00000001497,0.0391583450765795,15.619600296020508,296,-1,0.03725,unprognostic - favorable,0.26421683945790136,0.7307494621495068
ENSG00000001561,0.0196485879440964,10.089599609375,173,1,0.0175,unprognostic - unfavorable,0.15255461861345346,0.6667268389122307
ENSG00000001617,0.0200018628831622,27.168500900268555,369,-1,0.01914,unprognostic - favorable,0.1547496131259672,0.6667268389122307
ENSG00000001629,0.0521951682989982,9.951800346374512,236,1,0.05623,unprognostic - unfavorable,0.32831417921455197,0.7679566089448165
ENSG00000001630,0.047460728821569,27.74329948425293,291,1,0.04859,unprognostic - unfavorable,0.3061967345081637,0.7568715642604832
ENSG00000001631,0.0573638087113511,12.285699844360352,217,1,0.05561,unprognostic - unfavorable,0.3512791218021955,0.7779235337021101
ENSG00000002016,0.0762390338788049,7.458199977874756,112,1,0.08866,unprognostic - unfavorable,0.42887142782143045,0.8079926086565894
ENSG00000002330,0.1137758183937817,90.8396987915039,231,1,0.1303,unprognostic - unfavorable,0.5644235889410276,0.8647596535138538
ENSG00000002549,0.4086235520516462,57.03969955444336,259,-1,0.4423,unprognostic - unfavorable,0.9826950432623919,0.9951888276912036
ENSG00000002586,0.0213933786187294,171.39999389648438,114,1,0.0207,unprognostic - unfavorable,0.1633270916822708,0.671897245932561
ENSG00000002587,0.1013272526432342,2.4574999809265137,99,1,0.08273,unprognostic - unfavorable,0.5218986952532618,0.8486041811601701
ENSG00000002726,0.1843355128615276,0.2991000115871429,395,-1,0.1831,unprognostic - favorable,0.7486081284796788,0.9218590529251309
ENSG00000002746,0.2836888952837779,0.8029000163078308,250,1,0.2809,unprognostic - unfavorable,0.9019677450806373,0.970243905760475
ENSG00000002822,0.1908816204838412,15.256099700927734,356,1,0.1721,unprognostic - unfavorable,0.7619055952360119,0.92842385745143
ENSG00000002834,0.0130301959586912,84.3812026977539,249,-1,0.01699,unprognostic - favorable,0.10905222736943157,0.6334615629705652
ENSG00000002919,0.1046204584732268,22.292600631713867,100,1,0.1241,unprognostic - unfavorable,0.5333261666845833,0.8527082617991903
ENSG00000002933,0.0913659935909995,22.833099365234375,235,1,0.08442,unprognostic - unfavorable,0.4861987845030387,0.8337450347267302
ENSG00000003056,0.1936699959336045,132.4600067138672,148,-1,0.1693,unprognostic - favorable,0.7673280816797958,0.9305617304580721
ENSG00000003137,0.0035097814718748,3.144200086593628,99,1,0.002689,unprognostic - unfavorable,0.037889905275236814,0.548138500977277
ENSG00000003147,0.0072384974001172,19.66449928283691,168,1,0.007235,unprognostic - unfavorable,0.06801232996917508,0.5854147341521091
ENSG00000003249,0.1702322226889259,17.57659912109375,102,-1,0.1659,unprognostic - favorable,0.7182107044732389,0.9100230802030244
ENSG00000003393,0.1351222046077154,2.50819993019104,321,1,0.1436,unprognostic - unfavorable,0.6299584251039373,0.8846093127609715
ENSG00000003400,0.1546872785673379,7.651800155639648,186,-1,0.1376,unprognostic - favorable,0.6820157949605126,0.9009887097705681
ENSG00000003402,0.1460278848318196,58.98400115966797,162,-1,0.1691,unprognostic - favorable,0.6599733500666248,0.8938185786023424
ENSG00000003436,0.0142224024239573,5.311800003051758,224,1,0.01593,unprognostic - unfavorable,0.11716970707573231,0.640167383925575
ENSG00000003509,0.1702104948862597,8.031000137329102,99,1,0.2235,unprognostic - unfavorable,0.7181707045732386,0.9100230802030244
ENSG00000003756,0.1902521839323762,45.885501861572266,146,1,0.2208,unprognostic - unfavorable,0.7606680983297541,0.9279067033855121
ENSG00000003987,0.0872143585830836,2.24429988861084,294,-1,0.07596,unprognostic - favorable,0.4707663230841923,0.8261629336318665
ENSG00000003989,0.2651684697264818,45.24509811401367,140,1,0.2593,unprognostic - unfavorable,0.8804502988742529,0.9637380017288212
