cohort,patients,events,genes,null_draws,null_median_p,alpha_eff,inflation,prognostic,expected_fp,share_expected_fp,survive_q05,survive_q01,seconds
CESC,283,67,14505,400000,0.0963,0.01318,13.2,927,191.1,0.206,7,0,89.6
BLCA,169,169,14596,400000,0.0977,0.01622,16.2,511,236.7,0.463,0,0,110.5
COAD,254,61,13701,400000,0.0901,0.01666,16.7,336,228.2,0.679,0,0,80.1
LIHC,362,129,12913,400000,0.0921,0.01354,13.5,3449,174.8,0.051,3428,1656,181.5
STAD,345,140,14750,400000,0.0891,0.01509,15.1,335,222.5,0.664,0,0,184.4
GBM,141,112,14427,400000,0.0953,0.01719,17.2,389,248.0,0.638,0,0,74.7
KICH,64,9,13287,400000,0.1052,0.0135,13.5,1284,179.4,0.14,95,0,28.4
READ,88,16,13606,400000,0.1028,0.0157,15.7,567,213.5,0.377,0,0,31.3
PRAD,480,9,13957,400000,0.1014,0.01285,12.8,177,179.3,1.0,0,0,54.8
KIRP,282,44,14182,400000,0.0964,0.01342,13.4,1811,190.4,0.105,1058,361,75.3
PAAD,176,92,14584,400000,0.0931,0.0159,15.9,1486,231.8,0.156,0,0,79.4
OV,348,216,14335,400000,0.0926,0.01418,14.2,362,203.2,0.561,0,0,264.2
SKCM,98,28,13873,400000,0.1047,0.01342,13.4,253,186.2,0.736,0,0,35.1
TGCT,133,4,15235,400000,0.1241,0.01248,12.5,22,190.1,1.0,0,0,31.1
UCEC,175,32,14824,400000,0.1017,0.0133,13.3,227,197.2,0.869,0,0,47.8
THCA,495,16,13699,400000,0.0952,0.01398,14.0,397,191.6,0.483,0,0,68.5
LUAD,497,180,14753,400000,0.0876,0.01587,15.9,1507,234.1,0.155,326,24,325.8
KIRC,521,171,14203,400000,0.0875,0.01578,15.8,7563,224.1,0.03,7563,6149,327.0
HNSC,492,212,13903,400000,0.087,0.01543,15.4,893,214.5,0.24,25,0,361.9
LUSC,489,210,14599,400000,0.088,0.015,15.0,286,219.0,0.766,0,0,369.8
BRCA,1020,140,14589,400000,0.086,0.01725,17.3,724,251.7,0.348,2,0,533.2
