cohort,patients,events,genes,null_draws,null_median_p,alpha_eff,inflation,prognostic,expected_fp,share_expected_fp,survive_q05,survive_q01,seconds
BLCA,169,169,14596,40000,0.0969,0.01537,15.4,511,224.4,0.439,0,0,9.7
BRCA,1020,140,14589,40000,0.0847,0.01475,14.7,724,215.2,0.297,0,0,49.2
CESC,283,67,14505,40000,0.1008,0.01145,11.4,927,166.1,0.179,51,0,9.4
COAD,254,61,13701,40000,0.0906,0.01485,14.8,336,203.5,0.606,0,0,8.2
GBM,141,112,14427,40000,0.0939,0.01893,18.9,389,273.0,0.702,0,0,7.0
HNSC,492,212,13903,40000,0.0863,0.0155,15.5,893,215.5,0.241,25,0,32.7
KICH,64,9,13287,40000,0.0988,0.01533,15.3,1284,203.6,0.159,140,0,2.8
KIRC,521,171,14203,40000,0.0866,0.02045,20.4,7563,290.5,0.038,7563,5570,29.2
KIRP,282,44,14182,40000,0.1008,0.0112,11.2,1811,158.8,0.088,1264,412,7.2
LIHC,362,129,12913,40000,0.0952,0.01295,12.9,3449,167.2,0.048,3449,1607,16.3
LUAD,497,180,14753,40000,0.0873,0.01528,15.3,1507,225.4,0.15,409,75,29.6
LUSC,489,210,14599,40000,0.0852,0.01837,18.4,286,268.3,0.938,0,0,32.8
OV,348,216,14335,40000,0.0908,0.0154,15.4,362,220.8,0.61,0,0,23.3
PAAD,176,92,14584,40000,0.0936,0.0162,16.2,1486,236.3,0.159,0,0,7.7
PRAD,480,9,13957,40000,0.1029,0.01238,12.4,177,172.7,0.976,0,0,5.5
READ,88,16,13606,40000,0.101,0.01655,16.5,567,225.2,0.397,0,0,3.0
SKCM,98,28,13873,40000,0.1039,0.01315,13.2,253,182.4,0.721,0,0,3.4
STAD,345,140,14750,40000,0.0888,0.01685,16.9,335,248.5,0.742,0,0,17.4
TGCT,133,4,15235,40000,0.1245,0.0135,13.5,22,205.7,1.0,0,0,3.2
THCA,495,16,13699,40000,0.0967,0.01625,16.2,397,222.6,0.561,0,0,6.7
UCEC,175,32,14824,40000,0.1025,0.01112,11.1,227,164.9,0.727,0,0,4.6
