cohort,genes,prognostic,robust,robust_validated,fragile,fragile_validated,not_prognostic_validated,base_rate
BRCA,12460,571,1,0.0,570,0.019,0.013,0.01
COAD,13614,334,0,,334,0.027,0.015,0.011
GBM,13820,364,0,,364,0.192,0.089,0.058
KIRC,13948,7484,7484,0.255,0,,0.052,0.083
LIHC,11251,3061,3043,0.346,18,0.167,0.092,0.084
LUAD,14196,1462,316,0.218,1146,0.122,0.042,0.029
LUSC,14119,280,0,,280,0.018,0.015,0.01
OV,13386,333,0,,333,0.054,0.035,0.022
PAAD,13891,1404,0,,1404,0.098,0.044,0.037
READ,13516,566,0,,566,0.027,0.022,0.017
