Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000129824,-0.24229479093333645,0.2128020435718608,0.13405035852155636,0.2548731970035858,0.22899348312739778,True,0.5063854687910372,-1,0.0022559341371543,-1,0.001634,0.0330349174127064,0.4126779738653732
ENSG00000089012,-0.19612458620016907,0.08815471875659249,0.02167569561912834,0.026096215608852884,0.02562296103199951,True,0.29558376312933227,-1,0.0086193248947466,-1,0.005176,0.0945022637443406,0.543639920427758
ENSG00000171984,0.029925184847747647,0.0866713631790926,0.7305085045269009,0.7298899818446283,0.729907780544272,True,0.9004542024179444,1,0.1360238080443703,1,0.1079,0.6605558486103785,0.902326711177604
ENSG00000125827,-0.06499538926481888,0.08564548208201282,0.4470009878296932,0.44791913420867846,0.4480394415147484,True,0.7630665229339593,-1,0.0554401149225585,-1,0.06153,0.3739740650648373,0.7747189129826408
ENSG00000149346,0.09723279207181974,0.08782006507533155,0.2680221698732459,0.26821526408537444,0.2682573456254238,True,0.6392981381589766,1,0.0015673004155954,1,0.002199,0.0247299381751545,0.3771734385904118
ENSG00000125845,-0.05921559168185507,0.09567274349053033,0.5269504160690279,0.5359565484277903,0.5360231847285315,True,0.8070207453318338,-1,0.15877631497578,-1,0.1331,0.7187907030232424,0.9236401512799706
ENSG00000125898,0.12023450536283907,0.086479822910712,0.1661329473076771,0.1644321555406422,0.16432945357849282,True,0.5420623565088153,1,0.0067146349219969,1,0.006432,0.0781173047067382,0.5217807905136987
ENSG00000173404,0.0611424363124749,0.08363853319761207,0.47621831942666804,0.4647596648997978,0.46447461938982326,True,0.7809744898960949,1,0.0178630946770205,-1,0.02266,0.1641070897322756,0.6214220874670958
ENSG00000132640,0.1297539250720979,0.0801396654680089,0.10816581462948284,0.1054263052634581,0.10556024346562143,True,0.47351055561357475,1,0.0211548030249691,1,0.03611,0.1862570343574141,0.6441127558402695
ENSG00000089063,0.08989585160106295,0.08659942792731178,0.2978014284597067,0.2992397062507304,0.29957126396652406,True,0.6597760121182478,1,0.0076817007169129,1,0.007758,0.0866197834505413,0.5364818877850938
ENSG00000125851,0.0674812307603839,0.06397193685926335,0.3217994672361392,0.29149083556490996,0.2891306384388072,True,0.6776053193289747,1,0.0007982297535087,1,0.0006496,0.0144449638875902,0.3350372438022393
