Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000089012,-0.25621466274454896,0.12997063884298182,0.04234738930628866,0.048686455777700414,0.04738516920871762,True,0.2849020787976424,-1,0.025816918523136,-1,0.03106,0.1903170242074394,0.4991047615492514
ENSG00000171984,-0.22275632749960525,0.11211187378249597,0.05776162838117794,0.04693224831222775,0.047406985884155886,True,0.31772181254038145,-1,0.00321422508924,-1,0.003486,0.0353149117127207,0.2780639061333381
ENSG00000125827,-0.016622026879088272,0.12262571897623395,0.892147642734201,0.8921763212017468,0.8921752940596859,True,0.9596010150441371,-1,0.3128596554435029,1,0.2851,0.9253601865995336,0.9641009299631148
ENSG00000149346,0.12493213419310664,0.11883321597911815,0.2992103488063503,0.29311010839736473,0.29341755255262486,True,0.6177667443941897,1,0.0681910614438516,1,0.05962,0.3938440153899615,0.6720832286154578
ENSG00000125820,0.10443274037414998,0.07330415437007434,0.2147112362988684,0.1542584904022269,0.14510607160663602,True,0.5380767122335499,1,0.6296983959154385,-1,0.5721,0.998085004787488,0.999809644441406
ENSG00000125845,0.17455767093814145,0.1279270056666372,0.1713255766582626,0.17240712766131025,0.1717805986892342,True,0.49141338529327644,1,0.1337012264843518,1,0.122,0.6174234564413589,0.8090649024460862
ENSG00000125898,0.04927066839833402,0.12488945087995189,0.6921196236435103,0.6932014064997778,0.6932029171717972,True,0.8712310284603938,1,0.2851732330118838,1,0.2978,0.8987427531431171,0.951826070566153
ENSG00000173404,-0.02464103773231557,0.1181964098711927,0.8313009605854587,0.8348578288684682,0.8347464208175244,True,0.9330109814304399,-1,0.0017414778523214,-1,0.001554,0.0209324476688808,0.2331990425784304
ENSG00000132640,0.19820675700939674,0.12179157173987634,0.10459387183877059,0.10364667663031439,0.10382640485169442,True,0.4016099899627903,1,0.0516946657023728,1,0.04237,0.3226291934270164,0.6177245908521977
ENSG00000089063,0.04686432048292706,0.12262232341979404,0.702601558882961,0.7023247047894012,0.7023298491218037,True,0.8760625472016978,1,0.1290091313142064,1,0.1383,0.6037609905975235,0.8023411056909828
ENSG00000088876,0.08392165747344447,0.13238084485685164,0.5220502026939307,0.526119266403671,0.5258684262120998,True,0.7774474527798217,1,0.061883040593909,1,0.05054,0.3674065814835462,0.6532210875355164
ENSG00000101230,-0.040882067435698694,0.12982026312473613,0.7514518840565809,0.7528278341875553,0.7528144766541943,True,0.900066852042998,-1,0.0657605783161974,-1,0.05176,0.3836515408711478,0.6650173996577436
ENSG00000284776,0.09455479069479017,0.1326585042448867,0.46629329975249045,0.4759890785674694,0.4759692198005889,True,0.744676026294912,1,0.0099524619069926,1,0.01101,0.0894847762880592,0.3790617822054394
ENSG00000088930,0.35329588773096676,0.1372439570146194,0.007574331210354416,0.010046689978132316,0.0104136764467029,True,0.1577359520657118,1,5.199760926662411e-05,1,6.152e-05,0.0012674968312579,0.1203252673686497
ENSG00000125870,0.06402390795710503,0.12959202805997505,0.6208884816732791,0.6212765003821101,0.621265950561253,True,0.8338877246917513,1,0.0286362975179377,1,0.03158,0.2060769848075379,0.5134144487784384
ENSG00000077984,-0.3042388610478698,0.11963441302219557,0.011801103020894928,0.010988275472714235,0.010832511550490436,True,0.1828905690597289,-1,0.0118226329442754,-1,0.01115,0.1025997435006412,0.3976754952582295
ENSG00000101474,0.2235764048187678,0.12603630179893716,0.06941895856806161,0.07607889329190122,0.07952700642164155,True,0.3408672965571204,1,0.0194968764211118,1,0.02058,0.1529246176884557,0.4604881834276627
ENSG00000125864,0.01832174969832419,0.12517404832211423,0.8838621897742825,0.8836291558549992,0.8836297312314858,True,0.9548950590403671,1,0.0757946926427939,1,0.08385,0.4243714390714023,0.6932195220176214
ENSG00000170369,-0.3797947857423164,0.16650956740135656,0.00971398586597316,0.022553258273107425,0.02149924954663432,True,0.17048285189094542,-1,0.0010979202850382,-1,0.001379,0.0141924645188387,0.209651267030369
ENSG00000125868,0.2118743757200964,0.13037106389585462,0.10260728924982697,0.10412759273445545,0.10452416166053807,True,0.3983255126318029,1,0.0037669429947247,1,0.004129,0.0402473993815015,0.2901531031674647
ENSG00000125834,0.2501191214492632,0.12510393190249733,0.04141321315408308,0.04557691513158553,0.0467214130999961,True,0.28215061380928846,1,0.0204259866120434,1,0.02528,0.158724603188492,0.4649032463928217
ENSG00000198646,0.17748648867412778,0.12689292746791972,0.15149502149337915,0.16189977017048085,0.1621189383866412,True,0.46816788800797926,1,0.0563236236668235,1,0.05044,0.3434166414583963,0.6333520684123538
ENSG00000172296,0.20686980499899418,0.11985281567824774,0.08921340705025654,0.08434164117453814,0.08367174721967612,True,0.3776141137348849,1,0.0319895594093011,1,0.03569,0.2246044384889037,0.5306773276226419
ENSG00000131069,-0.07532536392231261,0.11980629059819878,0.5300937087127512,0.5295282672764321,0.5292035782325442,True,0.7832341086766279,-1,0.013387240961942,-1,0.009243,0.1133997165007087,0.4111129437247638
ENSG00000078804,-0.11271914562428025,0.12177407234631975,0.35477998013120904,0.35463227340979464,0.35431127197266843,True,0.665800687358759,-1,0.0926527519326718,-1,0.1089,0.4871637820905448,0.7334001722079244
ENSG00000101384,0.20266535674451633,0.12917733856948205,0.11304712722661538,0.11667299139156294,0.11641087660705064,True,0.41228907442958473,1,0.0220705794713816,1,0.02445,0.1686720783198042,0.4777052070450651
ENSG00000089057,0.25174212791144684,0.11923780028985975,0.03611244318237565,0.034749876728899634,0.03587554944173735,True,0.26793400939148787,1,0.0093227410472973,1,0.01135,0.08479978800053,0.3736690969538898
ENSG00000089123,-0.0831716058362587,0.12024757216086171,0.49207854299416687,0.4891447601926989,0.48875466056680594,True,0.7600066842276993,-1,0.1846660765602588,-1,0.2223,0.7421281446796383,0.8770575107943849
ENSG00000132792,0.0013798560329218693,0.12587406937404008,0.9912535365370948,0.9912536094192048,0.9912536094543456,True,0.9971657221354159,1,0.1223165675822714,-1,0.1092,0.5840935397661506,0.7901769067625456
ENSG00000149639,0.09019238965620321,0.11915291600192592,0.4480880963670224,0.44908188049116327,0.44904700583976065,True,0.732587673332243,1,0.0810139475713525,1,0.07452,0.4441438896402759,0.7041899093798555
ENSG00000101445,-0.22648274588796796,0.13380051967964554,0.08318332644714113,0.09051456909375817,0.09011388217317902,True,0.36875738084223164,-1,0.0120322326877678,-1,0.01444,0.1040322399194002,0.3993946750987168
