Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,-0.008800267803932255,0.09870462601900548,0.92899173716917,0.9289566595020271,0.928956026775633,True,0.9929881983909842,-1,0.1263109524248803,1,0.1263,0.5972135069662325,0.9994799515428396
ENSG00000198692,-0.03660623295756195,0.09886505577492075,0.7121612947083487,0.711185327684031,0.7111304512604484,True,0.9747255735194278,-1,0.2953520806592166,1,0.2954,0.9076352309119228,0.9994799515428396
ENSG00000012817,-0.0265939726741826,0.09668696307696355,0.783541475688759,0.7832760489263287,0.7832572537577878,True,0.9826412271187017,-1,0.3097654492135415,-1,0.3098,0.9215251961870096,0.9994799515428396
ENSG00000129824,-0.05930247886947405,0.09740728445338286,0.5454815279864698,0.5426507246298856,0.5424154196488449,True,0.9385211939735355,-1,0.3011284639368072,-1,0.3011,0.9133202166994584,0.9994799515428396
ENSG00000067646,-0.06392671873970729,0.09589649422974617,0.5061234000623457,0.5050135731432128,0.5048278223105764,True,0.9284879381783838,-1,0.1454436773478436,-1,0.1454,0.6489133777165557,0.9994799515428396
ENSG00000067048,-0.03681157678823124,0.09789485685738576,0.7076960445479227,0.7068932736348794,0.7068431124350832,True,0.9745362061901627,-1,0.2325620633861874,-1,0.2326,0.8268179329551676,0.9994799515428396
ENSG00000183878,-0.05106865576935471,0.09591279292188616,0.5952804082629561,0.5944151631072812,0.5943033351272791,True,0.9524354497071829,-1,0.1140831597892998,-1,0.1141,0.5607035982410044,0.9994799515428396
ENSG00000154620,-0.07097761632205406,0.09439257581754185,0.4540312017389261,0.45208674134981053,0.4517851150541008,True,0.9082934162088722,-1,0.1107072183665674,-1,0.1107,0.5503736240659398,0.9994799515428396
ENSG00000205944,-0.14594355094474418,0.1180910354142626,0.17624656015594586,0.21651198055083382,0.211902311423252,True,0.7378995067152158,-1,0.3412902063529625,-1,0.3413,0.9464126339684152,0.9994799515428396
ENSG00000165246,-0.015299543582279801,0.09922333022859466,0.8775690817746189,0.8774575564159974,0.8774540135485461,True,0.9894570911794287,-1,0.2116188638005633,1,0.2116,0.792493018767453,0.9994799515428396
