Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,-0.2890289376710106,0.07438203746969747,5.332052814919509e-05,0.00010202045863509955,8.663105561067876e-05,True,0.029661992670330754,-1,1.7105624162398872e-05,-1,1.331e-05,0.0005374986562533,0.1066693022922615
ENSG00000198692,-0.16546733292328714,0.07055758730950636,0.01853878404057187,0.019019999480348566,0.018665345130438073,True,0.22354268388210816,-1,0.0015571767168506,-1,0.001147,0.0223774440563898,0.2741429766143894
ENSG00000258992,0.031707676819713204,0.062463827272485076,0.6307735633314386,0.6117222333448976,0.6100306907728301,True,0.8718282944874747,1,0.2170331828072919,1,,0.8306279234301914,0.944099085958956
ENSG00000012817,-0.253616679639248,0.07071260548070349,0.0002527127941661027,0.00033503853067637753,0.0003029672485634711,True,0.04284780962716387,-1,0.0001714880465291,-1,0.0001325,0.0035449911375221,0.1449588581910898
ENSG00000129824,-0.16301450943189508,0.0662929506863742,0.014916932825268507,0.013932377661475714,0.01357642717593669,True,0.20261815828082344,-1,0.0023183596623715,-1,0.001841,0.0308549228626928,0.3068010118436242
ENSG00000067646,-0.2579052742460754,0.07272001508374515,0.00025611913417166474,0.0003903085343821685,0.00035774578504919885,True,0.04284780962716387,-1,9.96158537359813e-05,-1,8.159e-05,0.0022749943125142,0.1327762266368392
ENSG00000067048,-0.25274253167533883,0.06873413515801799,0.00020424852158315896,0.00023589730758400958,0.00021044019888220289,True,0.04176075201877397,-1,0.0001301820314836,-1,0.0001013,0.0028599928500178,0.1378385884253357
ENSG00000183878,-0.32512031855785833,0.07531526735809267,5.871343183007839e-06,1.5831344831080914e-05,1.2479906295392419e-05,True,0.013390585296152878,-1,1.1178931526296275e-05,-1,8.452e-06,0.0003824990437523,0.0966888037325361
ENSG00000168757,0.047785476597133794,0.05931978151381548,0.4559852149929582,0.4204982173065812,0.4159746729993994,True,0.7807342911388051,1,0.4268162170308064,-1,,0.9899950250124376,0.9968062596138412
ENSG00000165246,-0.27221283859380213,0.07458533888981728,0.00013218247665455312,0.0002625641967331409,0.00023207121046983634,True,0.03670738290092148,-1,9.593056318832503e-05,-1,7.774e-05,0.0022124944687638,0.1320185004258519
ENSG00000233803,0.036738002003174584,0.061913783351274995,0.5748319224209546,0.5529311798835914,0.55095641834218,True,0.8456243886868235,1,0.0612941561998255,1,,0.3949315126712183,0.740271099887983
ENSG00000238074,0.029460009475404624,0.06486675992796707,0.6648924250078969,0.6497123195219559,0.6485919808301461,True,0.8854405541077387,1,0.0714627517347902,1,,0.4389464026339934,0.767724780549823
ENSG00000089012,-0.25173280690464334,0.07407086379060786,0.0004940656355337942,0.0006774651046197526,0.0006424312500633863,True,0.04941884801648224,-1,0.0002965142441518,-1,0.0002624,0.0056524858687853,0.174094653258942
ENSG00000171984,0.09731107249891283,0.07038159088387298,0.1684040643059349,0.16678107631553982,0.16685384916953264,True,0.5372032377797903,1,0.1876218036107251,1,0.21,0.7772030569923575,0.9256911788757964
ENSG00000125827,0.0834876873340684,0.06989366698267392,0.23108456566889587,0.23228410683806752,0.2323365132333434,True,0.6087094953570783,1,0.1927731816975685,1,0.2089,0.7873655315861711,0.9295255945143972
ENSG00000149346,0.04942017866579929,0.06984955867885427,0.4799126339668457,0.47924144149348236,0.479305121243078,True,0.7958453210955091,1,0.0304760441590838,1,0.03454,0.2402218994452513,0.627703729030794
ENSG00000125845,0.04218878054362276,0.06709100592317987,0.5294477446439928,0.5294609108629796,0.5294463819715918,True,0.8221280628211795,1,0.1317527289559905,1,0.125,0.6448733878165305,0.8684477756736342
ENSG00000125898,-0.036583664496605724,0.0709352374216363,0.6067604039176018,0.6060406894103041,0.6060502266219989,True,0.859391798662023,-1,0.1260865101470608,-1,0.1147,0.628325929185177,0.8612457254719034
ENSG00000132640,-0.04297560017256397,0.06866728002307507,0.5322614091880274,0.5314115847792438,0.5314575314301209,True,0.8235241373511424,-1,0.0932204198934162,-1,0.08602,0.5227811930470174,0.8100448015004502
ENSG00000089063,0.14565620550038516,0.0686211438410654,0.03131783368977357,0.03378620485442023,0.03440693442534422,True,0.27481324342607116,1,0.0003949299633244,1,0.000484,0.0071274821812945,0.1799354887894368
ENSG00000088876,0.03574161832888268,0.06827097136702778,0.6003226476944961,0.6006083668207672,0.6006751912749705,True,0.8570251597040236,1,0.1909090363838548,-1,0.1509,0.7837655405861486,0.9275359474607784
ENSG00000101230,-0.08309380257760816,0.07018335141813614,0.23316234314887646,0.23643159431494132,0.236285898792103,True,0.6101110500479939,-1,0.0677304188732728,-1,0.05592,0.4233014417463956,0.7577133957255231
ENSG00000284776,0.04650938576741276,0.06790010745379949,0.4853351521651823,0.4933642538447016,0.49355523736734974,True,0.799237819818826,1,0.2692905755514494,1,0.2982,0.90082524793688,0.964658515425832
ENSG00000101463,0.05575922798635239,0.06534253789197163,0.3980155004995126,0.39347225441342903,0.39329825210541425,True,0.7445889435061829,1,0.0969825905716529,1,0.1129,0.53599866000335,0.8169249473828738
ENSG00000088930,0.033348977658576216,0.06900870199344743,0.6265119668301129,0.6289128626892013,0.6289504691787052,True,0.8697349850063963,1,0.2720225062627396,1,0.3213,0.903835240411899,0.9653706608224067
ENSG00000125870,0.15245983044443345,0.06768965809565616,0.026073922271108968,0.02430106855655766,0.024458491128308245,True,0.25691406189598015,1,0.0019100824959639,1,0.002495,0.0264299339251651,0.2941887433620074
ENSG00000077984,-0.20697805771568434,0.07025165212048488,0.0031483619056124497,0.0032166522774467513,0.0031513497507038852,True,0.09727039016384419,-1,0.0001446382235771,-1,0.0001932,0.0030749923125192,0.1378385884253357
ENSG00000101474,0.08091328920425123,0.06521942775338185,0.2139982650132028,0.2147418377171861,0.21504158915205723,True,0.5892751780303815,1,0.0094376391483232,1,0.008989,0.097452256369359,0.4546572886923486
ENSG00000125864,-0.0015434748557566613,0.06892392995696031,0.9821310472589054,0.9821337547842207,0.9821337539898427,True,0.99414400801169,-1,0.0954445568786881,-1,0.08154,0.5306811732970668,0.8148129607654401
ENSG00000170369,0.061457089210671154,0.06298801281555187,0.3365210761529858,0.32921563037229173,0.32894447279195577,True,0.7039026175770753,1,0.0453941939338287,1,0.04157,0.3198892002769993,0.6878495815976325
ENSG00000125868,0.1055389351024799,0.06922852547205163,0.12731762730536336,0.12738368371371045,0.12755748081257418,True,0.47570464187757777,1,0.0081201976915069,1,0.00994,0.0862747843130392,0.4368219532837912
ENSG00000125834,0.013237683846156246,0.06990951522568327,0.8495322733922204,0.8498149544893485,0.8498160632298578,True,0.9556693332282173,1,0.1595008801417733,-1,0.142,0.7165532086169785,0.9003379357796522
ENSG00000198646,-0.007735820623613444,0.06705906277079864,0.9082731585712616,0.9081611165149429,0.9081617907527632,True,0.9708249767490559,-1,0.1980043633402798,-1,0.1674,0.7975805060487349,0.9333632037490348
ENSG00000172296,0.05093318281694365,0.06868441074228378,0.4584930179168579,0.4583577501968704,0.45826472789599415,True,0.7824043748274473,1,0.2254330851800868,1,0.2011,0.8438853902865243,0.9483784353099738
ENSG00000131069,0.04163605396298747,0.07283294786448317,0.5643934271014173,0.5675488868859634,0.5675838968890766,True,0.8396748867834141,1,0.1214760382299009,-1,0.1076,0.6148359629100927,0.8550629581213383
ENSG00000078804,-0.07193039522735974,0.07258094514482763,0.3200668945908341,0.3216675600774766,0.3217851254623881,True,0.6909760437300342,-1,0.0226573218764257,-1,0.02837,0.1917645205886985,0.5745715546329269
ENSG00000101384,0.08616042300932072,0.07225004138077046,0.22974366138176716,0.2330530545993893,0.233144157796034,True,0.6073768448304573,1,0.1494094227049401,1,0.179,0.6915957710105725,0.889826443534946
ENSG00000089057,0.028358021334881505,0.06945099046926131,0.6825786125435445,0.6830409467745212,0.6830377419851326,True,0.8923263234784108,1,0.307069611836155,-1,0.2699,0.9369826575433562,0.9778822355706044
ENSG00000089123,0.030840324591770926,0.06141673841679093,0.6161545694275503,0.615563048772985,0.6157130702699727,True,0.8645067089263531,1,0.0675499814813298,1,0.08406,0.4225389436526409,0.7574105748973287
ENSG00000132792,0.08701914662008375,0.06348771753968584,0.17457371278844003,0.17048552981927736,0.17157252243839557,True,0.542478543912741,1,0.0289086979596579,1,0.03415,0.2307869230326924,0.6185908214620248
ENSG00000149639,-0.013813065790597963,0.06966937215059144,0.8428789513937607,0.8428369735634379,0.8428362942057191,True,0.9526515690534981,-1,0.0871710009595318,-1,0.07368,0.500641248396879,0.8007517895283937
ENSG00000101445,-0.2747538877877224,0.0743047982210075,0.00012404257258776018,0.00021759597999022832,0.00020588399118700587,True,0.03670738290092148,-1,9.692354436852638e-05,-1,0.00014,0.0022299944250139,0.1320781698045754
ENSG00000149633,-0.03664533879409636,0.06949684115683048,0.5963462506127768,0.5979887265555475,0.5979611602278975,True,0.8547424662133438,-1,0.2694283895448263,-1,0.2511,0.9009977475056312,0.964658515425832
ENSG00000101452,0.05712303780406292,0.0677443749047201,0.39821107196492733,0.3991085020085774,0.39921020790148676,True,0.7446089005202572,1,0.0203334020717972,1,0.02004,0.1766770583073542,0.5588944577126612
ENSG00000124191,0.05565498139181975,0.06804734018786154,0.41459811832906523,0.4134221633271271,0.413357021797342,True,0.7572696482442525,1,0.1765938666210329,1,0.1614,0.7546456133859666,0.9152654138852884
