Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,0.10367839850238009,0.3005280769380703,0.7346633231949765,0.7301038467239905,0.7295193788772636,True,0.8647552211138808,1,0.3741840412543341,1,0.3742,0.9522301194247016,0.9764069761379848
ENSG00000198692,0.33883696940593916,0.30025718242806787,0.2694190720764563,0.2591134009854538,0.24934836520662249,True,0.5163982277868497,1,0.0517980986115638,1,0.0518,0.2821267946830132,0.5229657813829796
ENSG00000012817,0.3150361831314292,0.2975106249298454,0.303684190649593,0.2896419831925939,0.28223208878956507,True,0.5511655381228259,1,0.0713177369149693,1,0.07132,0.3704315739210652,0.6089243725332824
ENSG00000129824,0.09934586924939044,0.3248579558028573,0.7612041250259913,0.7597468347719873,0.7594011377779554,True,0.8795651108114051,1,0.3415368703930558,1,0.3415,0.9262701843245392,0.9623388802189502
ENSG00000067646,0.04024479226443689,0.30665908450564217,0.8966081114597543,0.89558841029723,0.8955532274381215,True,0.9513081511591276,1,0.2871086686408081,1,0.2871,0.8638878402803993,0.9269545129456244
ENSG00000067048,0.2254210773571197,0.30426974724193967,0.46795744276364715,0.4587787445410655,0.45497215959359605,True,0.6884954221385128,1,0.2030103831122728,1,0.203,0.7270181824545439,0.8519037174629285
ENSG00000183878,0.1323924255045408,0.3038531068337247,0.6685517435150783,0.6630457444309067,0.6620231231798744,True,0.8260977792292935,1,0.1891431399433668,1,0.1891,0.7003032492418769,0.8389133466355522
ENSG00000171984,0.5036195831659006,0.39539249766560886,0.21080331829461904,0.2027624407496797,0.2010957939628787,True,0.45324935753706375,1,0.0084511141279027,1,0.008451,0.0670973322566693,0.2619043048455833
ENSG00000125827,0.0946401482266021,0.4011122102233961,0.8135221811190096,0.8134758755092364,0.813475832123062,True,0.9080400855890156,1,0.2191457190792371,1,0.2938,0.7567106082234795,0.8688570559510345
ENSG00000149346,0.4355045948917844,0.3146338550610504,0.18715479737299173,0.16630849719113075,0.16610873898014047,True,0.425226708737165,1,0.0518794786112188,1,0.05188,0.2824917937705156,0.5230077673413059
ENSG00000125845,-0.5077809905352557,0.39419753657583784,0.17758716767224328,0.19769778460643175,0.19025665861925317,True,0.41459055726977456,-1,0.0044529427000462,-1,0.004453,0.0406148984627538,0.2102260054049904
ENSG00000125898,0.11344828136562438,0.33238884228998944,0.7326937921064135,0.732868758459035,0.7332346010338529,True,0.8638030293244624,1,0.1023938520516055,-1,0.06438,0.4908112729718176,0.7087718056707467
ENSG00000132640,0.40035018749423035,0.3144551870916587,0.21571134187310612,0.20296305232543427,0.20091384201115822,True,0.4584660413862543,1,0.0450012152674079,1,0.045,0.2504368739078152,0.4919507308712509
ENSG00000089063,0.4968320923356335,0.3992019973053962,0.189861856877969,0.2132923755933515,0.20688251051693235,True,0.4290368864495605,1,0.0066146995988809,1,0.01363,0.0554473613815965,0.2392862319240759
ENSG00000088876,0.39847880822222836,0.41153983828152735,0.31167746440925964,0.33291302649331117,0.3322367265927587,True,0.5591006439322037,1,0.0345551632691785,1,0.03456,0.2010569973575066,0.4408254302743223
ENSG00000170367,-0.26264809687590956,0.41488522131208766,0.4960994544491275,0.5266931105780188,0.5222860440340127,True,0.710692555392513,-1,0.1341752934532994,-1,0.1342,0.5824660438348904,0.7720696652468265
ENSG00000284776,0.18095675879619463,0.4585950251622201,0.6916432173349534,0.6931459006640655,0.6936591640415385,True,0.8400240794085491,1,0.0854104075737825,1,0.08541,0.4277739305651736,0.6595303104455166
ENSG00000101463,-0.15610696947832464,0.4547703695992923,0.7239904474041755,0.7313987473552559,0.7308079643441103,True,0.8585916703551659,-1,0.0673470627108917,-1,0.06735,0.3528316179209552,0.5927517647383653
ENSG00000088930,0.5982712945126423,0.4032281640909357,0.11678548329086272,0.13788742875216525,0.13084286400958672,True,0.3318548410819611,1,0.0033943744821156,1,0.003394,0.0328849177877055,0.1929627285720145
ENSG00000125870,1.1322961939787266,0.47441108900291296,0.010144232654829381,0.01699848175194109,0.017804848795183674,True,0.12109244598437217,1,0.0038837863811298,1,0.00401,0.0365074087314781,0.2009275473705725
ENSG00000077984,-0.05572029564409794,0.3611766326908816,0.8769119830987049,0.8773934091213828,0.8773642285484664,True,0.9415377389440397,-1,0.392309390000327,-1,0.3923,0.9627925930185176,0.9813430816169852
ENSG00000101474,0.45286597576401655,0.3649698871000849,0.2012677973214117,0.21466816062685948,0.2125711696289339,True,0.4418624973808912,1,0.0625779258936778,1,0.09999,0.3312366719083202,0.5711318011479174
