Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000198692,-0.09575611405624743,0.08799704234761015,0.27700924249380815,0.27651819761053686,0.2758692965453763,True,0.41281250413416554,-1,0.0354616304332325,-1,0.03486,0.2512593718515704,0.3916128266408362
ENSG00000258992,0.13796718177922132,0.053939706507440725,0.033330667973116165,0.0105335529569527,0.006985906035063856,True,0.09380970260175436,1,0.0028929738230558,1,,0.0330524173689565,0.0932047413443229
ENSG00000012817,-0.14260267857468098,0.09282195967890038,0.12127305073950255,0.12446402213366689,0.1235687505432861,True,0.2310755355170719,-1,0.0088441952659268,-1,0.00867,0.0833247916880207,0.1784958585048792
ENSG00000129824,-0.10997700831326121,0.08742758486464415,0.209889404769666,0.20842027300434976,0.20763265568897513,True,0.34113395801014945,-1,0.0258267286486918,-1,0.02518,0.1974020064949837,0.3297609456493823
ENSG00000067048,-0.06592287058252948,0.09121352798705078,0.46946457703745315,0.4698449890545986,0.46962530130373603,True,0.5972018602388566,-1,0.0443650611966903,1,0.04492,0.2975117562206094,0.4418774484978681
ENSG00000183878,-0.08551428107814682,0.0916480881346097,0.3463576604070041,0.35078270364985353,0.35044765582863535,True,0.4820560970937319,-1,0.0372846863597576,-1,0.03606,0.261119347201632,0.4020789566437722
ENSG00000129864,0.19157237903340457,0.07862858125723936,0.028770737584354618,0.01483338181310667,0.012872860467918423,True,0.08450865104291114,1,0.5134941950826535,1,,0.9975250061874844,0.9986076753933628
ENSG00000168757,0.15943446798522337,0.058935730028343555,0.017037143068536514,0.006825793747293986,0.005291030490761912,True,0.05866683425173654,1,0.059611154701395,1,,0.3690840772898068,0.5148143140762856
ENSG00000129862,0.166902178565859,0.07335606817988544,0.03842490985238346,0.022891930495829264,0.021041811072423856,True,0.10364675805496049,1,0.1328342968554295,1,0.1595,0.6296834257914355,0.7365795884812761
ENSG00000233803,0.21371855958477323,0.05974879314395879,0.0028954591912972606,0.0003476240993005314,0.00018292211606526826,True,0.017736747882932415,1,0.0060499370179762,1,,0.0611423471441321,0.1430050948509651
ENSG00000238074,0.1693814041612155,0.0558337367439215,0.011636957628704158,0.0024159464636538046,0.0014788748578582925,True,0.045242048386772586,1,0.0124780553429656,1,,0.1105022237444406,0.2180493910776225
ENSG00000089012,-0.10391262886267204,0.09586316349041007,0.2637142570303022,0.2783788612822268,0.2779524061151493,True,0.3983030943663929,-1,0.0679123595179754,-1,0.0659,0.4055014862462844,0.5486049850766846
ENSG00000171984,0.2469334685091515,0.0851440346124247,0.004506913156137769,0.0037294224505040542,0.003676531884982047,True,0.023767936648353978,1,0.00045626385021,1,0.0004745,0.0069799825500436,0.0321672072336592
ENSG00000125827,0.02567917126773117,0.08691060806047056,0.767796523203581,0.7676375564848951,0.7676369739237684,True,0.8394341295510831,1,0.1294382906414984,1,0.1314,0.6202834492913768,0.7294221605990471
ENSG00000149346,0.13851247599210265,0.08529295824094382,0.10927386202239867,0.10438403663178915,0.10420805279026778,True,0.21493577765350097,1,9.860349611570772e-05,1,0.0001041,0.0019424951437621,0.013455326179769
ENSG00000125845,0.204155425077938,0.08558788313560081,0.020020702388210465,0.017063763676042103,0.017014284152183888,True,0.06508744459691886,1,0.0021946308609384,1,0.002272,0.0262649343376641,0.0796148115263514
ENSG00000125898,0.2747921134069132,0.08984999265837268,0.0028946413861854563,0.002225645249250417,0.002220782310015442,True,0.017736747882932415,1,0.000561448544416,1,0.0005002,0.0083099792250519,0.0360803509755931
ENSG00000132640,0.2563604971813294,0.08535312938414241,0.003524841534224638,0.0026686916371532567,0.002659206732428169,True,0.020377049223615697,1,7.109925147539965e-05,1,6.941e-05,0.0014349964125089,0.0108426616001921
ENSG00000089063,0.1776435670414629,0.0910378654050721,0.04807628189608047,0.051019566584881736,0.05113396771885788,True,0.12042852145957074,1,6.852967450966872e-05,1,7.308e-05,0.0013899965250086,0.0106084410305198
ENSG00000088876,0.2303660788365952,0.09201287116048078,0.01147188226355738,0.0122926910866112,0.012276967988274542,True,0.04473724800753294,1,6.631660043318019e-05,1,0.0001,0.0013399966500083,0.010293501928351
ENSG00000101230,0.008964278193537907,0.0867940792520951,0.9178610045593181,0.9177390504886923,0.9177384774582403,True,0.9448008873333592,1,0.1849898695226795,1,0.1827,0.7578806052984868,0.8341725414438594
ENSG00000284776,0.3100440461716653,0.0960251749704539,0.0009507712897896533,0.0012432002714923155,0.0012168913722920174,True,0.008525909489620691,1,0.0001380216168647,1,0.0001468,0.0025974935062662,0.0164097033495185
ENSG00000101323,-0.22269341306909746,0.0759984549651861,0.005817477951346332,0.0033870459664159113,0.003175481639195074,True,0.028188027311720522,-1,0.0014874935343205,-1,0.001576,0.0189149527126182,0.0634499173295042
ENSG00000088930,0.3132725185908451,0.09967858585037873,0.0013081636535179375,0.0016732488675862494,0.0016359860510832588,True,0.01045316661997347,1,4.652472449732705e-05,1,5.194e-05,0.0010049974875062,0.0084709742533737
ENSG00000286022,0.05934400019643751,0.08073990324644179,0.46581382020718565,0.46233820193062514,0.46215131370142826,True,0.5940783006355148,1,0.0546986210913335,1,0.05747,0.3469691325771685,0.4924612452153196
ENSG00000125870,0.3811040239960427,0.09186046955979242,3.961938904139635e-05,3.343290053401454e-05,3.244284080721204e-05,True,0.0011627390242989798,1,3.3720377430279287e-06,1,3.651e-06,0.0001174997062507,0.0021025184886155
ENSG00000077984,-0.16784850931956033,0.0960558315671452,0.07347006012002856,0.08056698634474152,0.08033859570937238,True,0.16228513279677192,-1,0.0110176194700416,-1,0.01148,0.0997472506318734,0.2026192670011326
ENSG00000101474,-0.07461181178499578,0.08234498325864287,0.3675378953644335,0.3648892082460514,0.3646805283780634,True,0.5026495279433308,-1,0.0180414804609212,-1,0.01835,0.1490121274696813,0.2708787629072594
ENSG00000170369,0.13849584898492398,0.08243739830035689,0.10817934928817068,0.09295490877738616,0.09190657580425371,True,0.21342682299577864,1,0.0037592819862935,1,0.004002,0.0410973972565068,0.1084370026099863
ENSG00000125868,0.20728732367329383,0.08645259662254266,0.01963098849991109,0.01649840647487376,0.016545199522776454,True,0.0642327865568576,1,0.0017511808438257,1,0.001664,0.0218049454876362,0.0700764711502855
