Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,-0.006399719649548114,0.07428020396161072,0.9312845088328983,0.9313420393994499,0.9313416184373875,True,0.9719736280938858,-1,0.3180738948696561,1,0.3152,0.9440501398746504,0.9797110096771748
ENSG00000198692,0.0482876720236716,0.07395205575614099,0.5150744421251348,0.513782609336835,0.5136370002617643,True,0.7556106307184481,1,0.1375178637881316,1,0.1357,0.6580433548916128,0.8480988363354199
ENSG00000012817,0.010709430627206425,0.074669704254492,0.8860753098678424,0.8859552983072483,0.885953440555633,True,0.9525904106932876,1,0.295327442866927,1,0.2926,0.925612685968285,0.9727570847763292
ENSG00000129824,0.0352180000074083,0.0743414328595041,0.6361699420242644,0.6356902219005554,0.6356265372823633,True,0.8289941959931663,1,0.046876485864464,1,0.04626,0.3258566853582866,0.6252309222914029
ENSG00000067646,0.012585239256937565,0.07432650448267643,0.8657513518520789,0.8655420298290176,0.865538909341855,True,0.9442291014988887,1,0.2419899292628572,1,0.2396,0.8664178339554152,0.9504705062947424
ENSG00000067048,0.01037927151195533,0.07457455344157266,0.8893877238175849,0.8893080695636576,0.8893063266059129,True,0.9542258620707642,1,0.2864165211040874,1,0.2713,0.917452706368234,0.9696382102622364
ENSG00000183878,-0.024442625104346933,0.0756473901619624,0.7457425011875021,0.7466099663670818,0.7465911734415485,True,0.8876679561026037,-1,0.3273847093140699,-1,0.3282,0.9502976242559392,0.9819698920533496
ENSG00000129864,0.11044958390081501,0.05007826121672025,0.07460913715684252,0.027416258197467146,0.01669354147365838,True,0.2806498216407184,1,0.0007669090930763,1,,0.0126774683063292,0.1409424942903354
ENSG00000233803,0.18210483367553046,0.05389070436969426,0.005600314360816725,0.000727100299661919,0.00028260813941696707,True,0.07324595546554002,1,0.0691234576825572,1,,0.427846430383924,0.7099334593919729
ENSG00000101282,-0.03527726998164796,0.08159105530820424,0.6631944728464753,0.6654747860985033,0.6654432557354815,True,0.8444039059207776,-1,0.1024703795608213,-1,0.1019,0.5526211184472039,0.7878749524231716
