Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,-0.10239514067337659,0.11021544816543234,0.34787691342726823,0.352865626573883,0.35219327747139184,True,0.5479789850766136,-1,0.0832130890836728,-1,0.08265,0.4644363389091527,0.6803273972128449
ENSG00000198692,-0.08733767783247953,0.10484831594466744,0.4033698478241394,0.40484994344181857,0.4043345955737372,True,0.5975977106423495,-1,0.055414602682792,-1,0.05511,0.351364121589696,0.5924724649397766
ENSG00000012817,-0.09052254813724023,0.10689547374224077,0.3945874131918956,0.39708855883638083,0.39654609032076804,True,0.5897609598810806,-1,0.0830741845209057,-1,0.08265,0.4638938402653993,0.6798607983383578
ENSG00000129824,-0.07799162363435629,0.10381415527515564,0.452348691554492,0.4524950301000056,0.45206567597778125,True,0.6396079037861054,-1,0.0382127561949246,-1,0.03799,0.2679743300641748,0.519560971770264
ENSG00000067646,-0.09530735346940998,0.10956010980657022,0.3796589424072805,0.38434999744705833,0.3837954721603176,True,0.5777280901573225,-1,0.0264746677255107,-1,0.02635,0.2042844892887767,0.4565244846453234
ENSG00000067048,-0.05387233517579583,0.10697917273644646,0.6138957522650513,0.6145581045448869,0.6144177913871813,True,0.7644996713375038,-1,0.0880850300817383,-1,0.08773,0.4820512948717628,0.6918842716671381
ENSG00000183878,-0.0671823348772747,0.10851086201244906,0.5334350538495819,0.5358306918425977,0.5355892085217506,True,0.705250369444502,-1,0.1177904892989281,-1,0.1173,0.5810860472848818,0.7606641157528692
ENSG00000089012,-0.046345339785788656,0.10575189006087846,0.6596178125203126,0.6612079869122888,0.6611752312921061,True,0.7955519095013529,-1,0.0577897541838225,-1,0.05752,0.3619565951085122,0.6014327199569947
ENSG00000171984,-0.11250518327493864,0.10231662261727723,0.2710533367336492,0.2715157079734673,0.27158770082738376,True,0.46825892714090733,-1,0.072835183587876,-1,0.07308,0.4248439378901553,0.651464056789816
ENSG00000125827,-0.25572192010764616,0.09909205549859411,0.0085539558335013,0.009861448417491689,0.010356567633653961,True,0.05148402641345677,-1,0.0154756355005217,-1,0.01547,0.1355671610820973,0.371497834878111
ENSG00000149346,-0.16959764116396003,0.09797831450112998,0.0849525528661811,0.08345690027743657,0.08422107213061442,True,0.22498805655173754,-1,0.0168984756222607,-1,0.01704,0.1451671370821572,0.3853508422290101
ENSG00000125820,-0.36568103601804863,0.11359675841935417,0.0005108251090181058,0.0012858687688486591,0.0011363935967366981,True,0.00951452540219675,-1,0.0027012123440027,-1,0.002708,0.0344749138127154,0.2060582553461649
ENSG00000125845,0.24430937087279828,0.10501104373944285,0.01720072114099212,0.019991294924693186,0.020200403591504202,True,0.08071806544677339,1,0.0054322190610264,1,0.005398,0.0600323499191252,0.2585133484021914
ENSG00000125898,0.12452077992558205,0.1011682798782582,0.21705510201135017,0.2183870960792532,0.2185382913250823,True,0.4083004911309511,1,0.0302931108091757,1,0.03009,0.2255144362139094,0.4770660394648129
ENSG00000173404,-0.4099921603246996,0.12491327334819671,0.00021492129171029107,0.0010299521500766753,0.0008087509502353053,True,0.005719730142888476,-1,0.0043192253598497,-1,0.004339,0.0498698753253116,0.2386033629819551
ENSG00000132640,-0.18915124727261007,0.10164040978572286,0.0594314166663256,0.06274633769088153,0.06483141306409028,True,0.18019704379660967,-1,0.0482078846656199,-1,0.04824,0.3181517046207384,0.5637245795126523
ENSG00000089063,0.0014298336566187346,0.10200431320127344,0.9888141429582081,0.9888161117475449,0.9888161176905376,True,0.9944434198673032,1,0.0963016320695274,1,0.09654,0.5110812222969443,0.7122309260243856
ENSG00000125851,-0.31003506558857014,0.10494782885747461,0.002031626259444159,0.0031349829940552085,0.002957434369336559,True,0.021224382068577092,-1,0.0017608974182709,-1,0.001757,0.0246674383314041,0.178559603155006
ENSG00000088876,-0.0035845458317834474,0.10529311846007397,0.9728677210512293,0.9728424661865959,0.9728424755897125,True,0.9863948028233543,-1,0.1294648895458068,1,0.1299,0.6154609613475966,0.783099167710116
ENSG00000101230,0.17204237588461338,0.10271036649613356,0.08963964528350656,0.09392943318452159,0.09324545671861918,True,0.2334055680797464,1,0.0427110756413964,1,0.04295,0.2911142722143194,0.5411046342398161
ENSG00000284776,0.02307157297972677,0.0953654442899064,0.8069064892956386,0.8088359392002635,0.8088723755185995,True,0.8922033294292389,1,0.1227139310959155,1,0.1221,0.5957335106662234,0.7708883619913023
ENSG00000101463,-0.021586453604778576,0.09610145066764324,0.8218330994125502,0.8222737246979482,0.8222772102349849,True,0.9009707525996116,-1,0.4579939428211631,1,0.4585,0.9937425156437109,0.9970080832519594
ENSG00000088930,0.22439654540164702,0.1173363305877214,0.045320549070514866,0.055822126214662364,0.05675202248859831,True,0.15069506761567927,1,0.003720557063964,1,0.003719,0.0444523888690278,0.2262015489413474
ENSG00000125870,0.15029092391243593,0.12078485414800877,0.2056010232755838,0.21339425814788834,0.2151935197037319,True,0.39453754255935714,1,0.00037572015959,1,0.0003727,0.0071974820062949,0.125128681261137
ENSG00000077984,0.05173807250699112,0.1032644092948118,0.6157249830617076,0.6163533797264042,0.6163158918177696,True,0.7657959380295195,1,0.1061092404783352,1,0.1066,0.5443961390096524,0.7354087894884004
