Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,0.08998181097980137,0.2937531595947266,0.7572566667120946,0.7593627152507837,0.7591257970867499,True,0.960734719711947,1,0.238526959169254,1,0.2385,0.8241879395301511,0.9982120699023764
ENSG00000198692,0.7230108677409529,0.5875621894452485,0.15043540796983149,0.21849999499499484,0.24614879174922003,True,0.8298727195360267,1,0.0703131266500315,1,0.07031,0.3759640600898498,0.9982120699023764
ENSG00000012817,0.3349743565445831,0.33134423248692646,0.2714300758320747,0.31203760987326695,0.2997195539227016,True,0.870374601617195,1,0.1119899410142157,1,0.112,0.5371486571283571,0.9982120699023764
ENSG00000129824,0.06252459714934851,0.4016135733291367,0.8743279910533276,0.8762825224989774,0.8762908680411994,True,0.9812648055371931,1,0.2691144212014295,1,0.2691,0.8669378326554184,0.9982120699023764
ENSG00000067646,0.12521030053276969,0.3121738108396492,0.6874225927466278,0.6883526679405265,0.6880747678021015,True,0.9472141264021949,1,0.3721071751803655,1,0.3721,0.9589376026559934,0.9982120699023764
ENSG00000067048,0.5256006558721621,0.35194730660005896,0.11435485454573235,0.13533061887762432,0.1285022340485243,True,0.8143217110284672,1,0.0737669068816498,1,0.07377,0.3907440231399421,0.9982120699023764
ENSG00000183878,0.20273439058698825,0.3190197891437023,0.521020487951086,0.5251078550195174,0.5241543514343325,True,0.9159989290470124,1,0.2208655606619894,1,0.2209,0.7962980092549768,0.9982120699023764
ENSG00000154620,0.07370111482303236,0.3385792911158119,0.8263204789051702,0.8276803469673758,0.8277410756178472,True,0.9728736862291466,1,0.2869590364071834,1,0.287,0.8881427796430509,0.9982120699023764
ENSG00000092377,-0.09368563795170357,0.3648067768676374,0.7979859010239977,0.7973262762302675,0.7973557711139792,True,0.9669200007576904,-1,0.1026218008255725,1,0.1026,0.504646238384404,0.9982120699023764
ENSG00000165246,-0.11493144703621072,0.37171155074983653,0.7575984557257978,0.7571730045467471,0.7570979267450733,True,0.960734719711947,-1,0.3572282124287413,-1,0.3572,0.9498251254371864,0.9982120699023764
ENSG00000280969,0.12431936341155246,0.3160207272862869,0.6985579887472076,0.6940315256476184,0.6937012934449074,True,0.9484355454856711,1,0.415817688010996,1,0.4158,0.9784350539123652,0.998778731665338
ENSG00000171873,-0.5742092552955471,0.533503021618638,0.21820997482602658,0.28179314794370897,0.2718768247153592,True,0.8600564694816636,-1,0.0486128578731397,-1,0.04861,0.2794243014392464,0.9982120699023764
