Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000198692,-0.4408597030307642,0.29238583122358436,0.10366567583159052,0.1316054185848062,0.12034470830330284,True,0.3871740832732969,-1,0.0379456817197149,-1,0.02544,0.2461343846640383,0.6032443540201444
ENSG00000012817,-0.4117895089530199,0.29245215257995627,0.1324406796089404,0.1591139814478804,0.14934536294338666,True,0.419359526823189,-1,0.0073803683467553,-1,0.005753,0.0696523258691853,0.4478175224023442
ENSG00000129824,-0.41079385998820844,0.275897231907918,0.11652791631869043,0.13650370799072334,0.12708339555510717,True,0.4011160342929688,-1,0.0475179064498657,-1,0.04454,0.290874272814318,0.6347888392416497
ENSG00000067646,-0.45082362668754605,0.30785319040214487,0.1046813311793212,0.14308165929196592,0.13042491956352942,True,0.3882769736110361,-1,0.0497639708860616,-1,0.04252,0.3007542481143797,0.643709658619514
ENSG00000067048,-0.4637798785081811,0.29068513991134154,0.08573501878262137,0.11060682110669841,0.09945876918534258,True,0.3649908215132498,-1,0.0465326704548255,-1,0.0336,0.2865442836392909,0.6325969422477189
ENSG00000183878,-0.4399877693194149,0.30615365720257454,0.11278883736346897,0.15067626659884062,0.13809400518216502,True,0.3987858359552878,-1,0.040923254491996,-1,0.01941,0.2604243489391276,0.6141938418738859
ENSG00000154620,-0.29931166855400543,0.3045847219388698,0.2950096203565784,0.32576115215153034,0.31855486273072137,True,0.575057434752379,-1,0.0474030425862799,-1,0.0472,0.2903942740143149,0.6347888392416497
ENSG00000089012,-0.13264412920898386,0.2663752517557801,0.6151286973460893,0.6185124770182362,0.6181189311719206,True,0.8035953997044335,-1,0.0050478590529679,-1,0.0155,0.0521498696253259,0.4227082646159424
ENSG00000171984,-0.06091688860366146,0.2651001358683092,0.8178727958071098,0.8182563381260861,0.8182156671996289,True,0.9201040087474615,-1,0.3866808054063282,-1,0.2603,0.9629700925747684,0.9814160282215952
ENSG00000125827,0.1728101287368951,0.26776641656743627,0.5149400220551709,0.5186832866030873,0.5190830919867848,True,0.7416755592345188,1,0.2637068184321936,1,0.1681,0.8532328669178327,0.9381188277767474
