Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,0.34900712540205103,0.14117456933996167,0.023899503684306378,0.01342967275765508,0.01018491634269973,True,0.919155996806791,1,0.0043208455618543,1.0,0.004321,0.0429648925877685,0.7827113563284053
ENSG00000198692,0.21455801331291874,0.19134310413215785,0.267484294223689,0.26214908727898184,0.25908826501640386,True,0.919155996806791,1,0.1229840169324833,1.0,0.123,0.5563936090159775,0.9255214074195032
ENSG00000012817,0.2438682834280004,0.18590859810112423,0.19443255727681644,0.18959963503179675,0.1861946984148068,True,0.919155996806791,1,0.0194337065208534,1.0,0.0165,0.1424846437883905,0.8398046228752393
ENSG00000129824,0.21905596506012756,0.2001158744919532,0.27053972711841084,0.27367192211485514,0.27051824480140874,True,0.919155996806791,1,0.0504709314987603,1.0,0.05047,0.2966217584456039,0.8826189992436084
ENSG00000067646,0.327556858593933,0.19155544965307103,0.10116582749696539,0.08726873082710235,0.08267373163996035,True,0.919155996806791,1,0.0451782747085944,1.0,0.04518,0.2728968177579556,0.8798003439152757
ENSG00000067048,0.21607734101287823,0.18709949868030312,0.25602660830337054,0.24813985082988188,0.245181363263112,True,0.919155996806791,1,0.0709398612074239,1.0,0.07094,0.3808965477586306,0.8972223537702796
ENSG00000183878,0.3182622372742701,0.18964217849129167,0.1021354432519907,0.09330319098236706,0.08875216762121511,True,0.919155996806791,1,0.0102269257280518,1.0,0.01023,0.0854722863192842,0.8135659123916485
ENSG00000129864,-11.810116127118846,4763.3672125587855,0.19021990388219517,0.9980217566178966,0.40988519290101355,True,0.919155996806791,-1,0.3483137402201679,-1.0,,0.9360551598621004,0.9876914921899678
ENSG00000129862,-1.7562887701774268,1.3760588815252626,0.057061011640786835,0.20184311674983188,0.2779280474285364,True,0.919155996806791,-1,0.1181260370028134,-1.0,0.2086,0.5418011454971362,0.9242437068968752
ENSG00000233803,-0.8043385142750136,1.099160392812506,0.2039848180666109,0.4643056784360615,0.40143221553168307,True,0.919155996806791,-1,0.8752240876655377,-1.0,,0.9995825010437474,0.999802068869972
ENSG00000260861,-0.03986585200274942,0.18823680341005455,0.8306602283429978,0.8322742715297838,0.8322241276918163,True,0.975846577873977,-1,0.3156738590610709,-1.0,0.3157,0.908482728793178,0.9823489925710984
ENSG00000101282,0.2105735742976921,0.15269676219500444,0.20861847319175592,0.16788518476316197,0.1619798730671244,True,0.919155996806791,1,0.0580987610962221,-1.0,0.0581,0.3290741773145567,0.88835299900464
ENSG00000089012,-0.4729170620725904,0.2507045576849363,0.039057576519075404,0.059247526463919516,0.054073451261012526,True,0.919155996806791,-1,0.0022071390307525,-1.0,0.002207,0.0252199369501576,0.7699782976215437
