Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,0.16481383199473468,0.07925821375307562,0.041339144329254424,0.03757561569025372,0.03699156622223003,True,0.6020868385357421,1,0.0044188299162957,1.0,0.002535,0.0513798715503211,0.7078232760622478
ENSG00000198692,0.14563837085491124,0.0835305904418167,0.08201330602869421,0.08124049264510816,0.08044516925563594,True,0.7041940475632504,1,0.0081453644468721,1.0,0.004737,0.084159789600526,0.7575892439158469
ENSG00000012817,0.1303573620436822,0.08191179597164218,0.11425885312490876,0.11151153977898046,0.11082444138173309,True,0.7570261084638725,1,0.0803207024967955,1.0,0.06055,0.4668088329779175,0.929353913152643
ENSG00000205916,0.021357381544660027,0.08036035469675996,0.7920029402762432,0.7904162524704519,0.7903874570086462,True,0.9841337755100231,1,0.0588634895299905,1.0,0.03852,0.3771115572211069,0.9071478823414016
ENSG00000129824,0.16637962964779618,0.08695903144985902,0.05358308684269135,0.05570831181835789,0.054834296844978474,True,0.6302358066274153,1,0.0192811049507498,1.0,0.01435,0.1652395869010327,0.8151953523041725
ENSG00000067646,0.11528569930433337,0.08090579328147986,0.15806662989701634,0.15417526671652354,0.15347937692129768,True,0.7855400239154282,1,0.0376953041807393,1.0,0.03165,0.274091814770463,0.8733928499518699
ENSG00000067048,0.15998085549064406,0.08448132505267265,0.05811671624972397,0.05826708903607685,0.05751648934872872,True,0.6464717682378798,1,0.0203146653522834,1.0,0.01711,0.1720995697510756,0.8204488215347011
ENSG00000183878,0.13365658188415944,0.08101283573622152,0.10264275598396268,0.09897979420830948,0.09821155627232755,True,0.7388500418927316,1,0.0429399532733467,1.0,0.03153,0.3013717465706336,0.8853188830811813
ENSG00000205944,0.01810910908983414,0.08188232473005781,0.8259377593748243,0.8249677188772229,0.8249525319778167,True,0.9841337755100231,1,0.0571049490395276,1.0,0.04601,0.3693090767273081,0.9051965864851912
ENSG00000165246,0.1797541126397706,0.08048195411828485,0.02962330000943264,0.02551789894091918,0.025037801559237603,True,0.5606663433061106,1,0.01254310121854,1.0,0.009399,0.1183622040944897,0.7953056865768372
ENSG00000233803,-0.06061068192638295,0.111172485675643,0.5432753110107986,0.5856194186679875,0.5810819362233381,True,0.9544952320346699,-1,0.4279705385901119,1.0,,0.9894025264936838,0.99978144802195
ENSG00000238074,-0.0934985102899281,0.14353156915741938,0.4256717900519862,0.5147791106852126,0.49838696906245616,True,0.9239080600560614,-1,0.342976962547186,1.0,,0.9590726023184942,0.998358107347292
ENSG00000171873,0.1263957060974459,0.071576950692431,0.09406697285236906,0.07741738892406538,0.07681255309286569,True,0.7245465950404363,1,0.001516557273543,1.0,0.002049,0.0212599468501328,0.6572682313064092
ENSG00000101282,0.07007686333271294,0.07598311382816601,0.370007263126372,0.3563883282823197,0.355636964439102,True,0.9006029429052996,1,0.0092180230293664,1.0,0.01401,0.0927147682130794,0.7704466654326323
ENSG00000089012,-0.04502206689925449,0.08534849329903539,0.597279089778761,0.5978404240182533,0.5977943006758242,True,0.9627950707222087,-1,0.1231213149063857,-1.0,0.1335,0.6116234709413226,0.9606421441876404
ENSG00000171984,0.014231705453961945,0.08171965600351608,0.8619047261781934,0.8617453927270634,0.861745307335998,True,0.9863536796303155,1,0.0838109732556288,1.0,0.09657,0.4800612998467504,0.9348003293138548
ENSG00000125827,-0.007278309620318237,0.07947433648735999,0.9269941915399209,0.9270312436264955,0.9270313502416357,True,0.9910329549705595,-1,0.2786880634270819,-1.0,0.2673,0.9079352301619246,0.9929334617068832
ENSG00000149346,-0.09473399366373123,0.08485771426872359,0.25964616793186374,0.2642567950160639,0.26431010317976844,True,0.8540110105358755,-1,0.0565873850541126,-1.0,0.04402,0.3669540826147934,0.9029984515462468
ENSG00000125820,0.10045408582288927,0.0692380816662511,0.19115074930244016,0.14682157280623948,0.14357551733135848,True,0.8146002697044992,1,0.0224852609880002,1.0,0.03515,0.1862220344449139,0.8306880667843648
ENSG00000125845,0.048203261015295096,0.08236976028438026,0.5582670770529823,0.5584093491023957,0.558367920313469,True,0.9600541146330572,1,0.1623563001263855,1.0,0.1815,0.7160532098669753,0.9758207706097364
ENSG00000125898,-0.10549402623570577,0.08458027531937025,0.21188010413617195,0.2123003067421487,0.2125541871148178,True,0.8253496737867446,-1,0.0128249079756375,-1.0,0.01019,0.1204246989382526,0.7968444843988561
ENSG00000173404,0.04146379775824305,0.08183607226463574,0.6180571295184363,0.6123871122280289,0.6123445056245931,True,0.9634688924537027,1,0.1326351988517321,-1.0,0.1656,0.639520901197747,0.9634377179879836
ENSG00000132640,-0.09021787700816698,0.08246003720027574,0.2728239966216045,0.27391989583286164,0.27447934845196276,True,0.8645456712312791,-1,0.0100003094037153,-1.0,0.0107,0.0989022527443681,0.771530542134574
