Gene,cox_beta,cox_se,cox_p,cox_p_wald,cox_p_score,cox_converged,cox_q,cox_direction,p_ours,minp_direction,p_hpa,p_cal,minp_q
ENSG00000114374,0.03712361160141069,0.5364400007603816,0.9447842765106302,0.9448275095711554,0.944820987058334,True,0.9999703599982485,1,0.2495411618213127,-1,0.2495,0.8291004272489318,0.9991987111761444
ENSG00000198692,-0.04168074223486256,0.4389562447429714,0.9247974295202651,0.9243511998296172,0.9243318996359138,True,0.9999703599982485,-1,0.2752391578676491,-1,0.2752,0.867042832392919,0.9991987111761444
ENSG00000236424,0.15965280988836303,0.34718384403186303,0.6592028909586812,0.6456232313097345,0.6413963431325291,True,0.9999703599982485,1,0.2267814631388102,1,0.0314,0.7919780200549499,0.9991987111761444
ENSG00000258992,0.024755473004846793,0.4450489587049972,0.9558843210776355,0.955641220054155,0.9556338517996145,True,0.9999703599982485,1,0.2141884376232161,1,0.2142,0.7691480771298072,0.9991987111761444
ENSG00000012817,0.08179185928044598,0.516330676258696,0.8732215057619701,0.8741338612936014,0.8741417074610377,True,0.9999703599982485,1,0.170268668706274,1,0.1703,0.6535733660665848,0.9991987111761444
ENSG00000184895,-0.03206421336452374,0.5056969489758261,0.9490504218301885,0.9494432211824473,0.9494346932435755,True,0.9999703599982485,-1,0.4246022281049799,1,0.4246,0.9700525748685628,0.9991987111761444
ENSG00000129824,0.22270415838653268,0.4853966627903944,0.6070077049911913,0.6463716257293634,0.6377141159688146,True,0.9999703599982485,1,0.4141994656732355,-1,0.4142,0.9668075829810424,0.9991987111761444
ENSG00000067646,0.0864286714934465,0.5461383430255724,0.8747937509404032,0.8742565181224302,0.8743684964269465,True,0.9999703599982485,1,0.3046130810047063,1,0.3046,0.9020052449868876,0.9991987111761444
ENSG00000067048,0.2885594932463097,0.5593158993186781,0.586524158904431,0.6059137383545443,0.6037551761377333,True,0.9999703599982485,1,0.552528227244617,1,0.5525,0.9950675123312192,0.9991987111761444
ENSG00000183878,0.5430858318088243,0.5912134166156764,0.3306081244757058,0.3583073213301009,0.3502342068310502,True,0.9999703599982485,1,0.1565120323537349,1,0.1565,0.6028034929912676,0.9991987111761444
ENSG00000154620,0.15563512924509426,0.494017893742142,0.7556602949801526,0.7527316953274716,0.7520921080478362,True,0.9999703599982485,1,0.4089267687853193,1,0.4089,0.965120087199782,0.9991987111761444
ENSG00000129864,-0.10684171782151847,0.5265449900902918,0.8329253347054175,0.8392046745506561,0.8387182030043945,True,0.9999703599982485,-1,0.842548429063861,1,0.8596,0.999677500806248,0.9998743910703248
ENSG00000168757,0.09059879406142506,0.41806242849891584,0.8316631186474183,0.82843344983075,0.8280213021133338,True,0.9999703599982485,1,0.4605687760517775,1,0.4606,0.9795800510498724,0.9991987111761444
ENSG00000229549,0.1411868063905215,0.3893469715975256,0.7262844834410619,0.7168852994586821,0.7150697409981731,True,0.9999703599982485,1,0.751470519306884,-1,0.7515,0.9992600018499954,0.9997568583698716
ENSG00000228927,0.3043014365350228,0.4781635226708549,0.5489576211762439,0.524518233772882,0.5155163859913298,True,0.9999703599982485,1,0.2891897263779215,1,0.2892,0.88480278799303,0.9991987111761444
ENSG00000165246,-0.20344279971433665,0.559885159530558,0.7062749118327842,0.7163320717936565,0.7147857215509483,True,0.9999703599982485,-1,0.2483383106951605,-1,0.2483,0.8270904322739193,0.9991987111761444
ENSG00000129862,0.1539055070145048,0.4898422192715544,0.7616803642062158,0.7533736672219371,0.7524240701585507,True,0.9999703599982485,1,0.0398195336744736,1,0.03982,0.1969370076574808,0.9991987111761444
ENSG00000233803,0.08347552489523559,0.4412364413553534,0.8521452321373789,0.8499474528786818,0.8496982893271334,True,0.9999703599982485,1,0.2141884376232161,1,0.2142,0.7691480771298072,0.9991987111761444
ENSG00000238074,0.03987525483925628,0.4526530934034824,0.9304107524355434,0.9298033114880874,0.9297745779997386,True,0.9999703599982485,1,0.5563064203234038,-1,0.5563,0.9954600113499716,0.9991987111761444
ENSG00000101282,-0.21035643662108175,0.5786872998016106,0.7102589643166302,0.7162267625755768,0.7153181600288249,True,0.9999703599982485,-1,0.1955700166215069,-1,0.1803,0.7304581738545654,0.9991987111761444
