cohort,patients,events,genes,not_converged,null_draws,cox_null_median_p,cox_alpha_at_001,cox_alpha_at_05,hpa_prognostic,minp_robust,cox_q05,cox_p001,cox_q05_and_hpa,cox_q05_not_hpa,hpa_not_cox_q05,robust_and_cox,same_direction_in_hpa_set,seconds
BLCA,169,169,14596,0,100000,0.49,0.00125,0.0534,511,0,5,77,5,0,506,0,1.0,2.9
BRCA,1020,140,14589,0,100000,0.514,0.00066,0.0435,724,2,5,110,5,0,719,0,0.9986,9.6
CESC,283,67,14505,0,100000,0.497,0.00111,0.0515,927,7,55,165,52,3,875,4,0.9968,3.7
COAD,254,61,13701,0,100000,0.512,0.00099,0.0464,336,0,0,18,0,0,336,0,1.0,2.5
GBM,141,112,14427,0,100000,0.489,0.00093,0.0539,389,0,5,89,5,0,384,0,0.9974,1.7
HNSC,492,212,13903,0,100000,0.498,0.00086,0.0484,893,25,170,237,163,7,730,15,1.0,6.0
KICH,64,9,13287,14,100000,0.498,0.00152,0.0535,1284,95,154,220,132,22,1152,46,0.9984,2.5
KIRC,521,171,14203,0,100000,0.515,0.00058,0.0442,7563,7563,7853,4767,6892,961,671,6892,0.9984,6.2
KIRP,282,44,14182,0,100000,0.491,0.00119,0.0556,1811,1058,926,570,792,134,1019,626,0.9989,3.5
LIHC,362,129,12913,0,100000,0.498,0.00121,0.0523,3449,3428,3482,1466,2722,760,727,2710,0.9994,4.0
LUAD,497,180,14753,0,100000,0.489,0.00105,0.0571,1507,326,750,472,636,114,871,255,0.9993,6.1
LUSC,489,210,14599,0,100000,0.489,0.00165,0.0553,286,0,0,11,0,0,286,0,1.0,5.8
OV,348,216,14335,0,100000,0.493,0.00085,0.0487,362,0,0,12,0,0,362,0,0.9972,4.4
PAAD,176,92,14584,0,100000,0.496,0.00088,0.0509,1486,0,2380,1026,1115,1265,371,0,0.9993,1.9
PRAD,480,9,13957,2,100000,0.507,0.00157,0.0483,177,0,2,32,0,2,177,0,1.0,5.6
READ,88,16,13606,0,100000,0.495,0.00113,0.0529,567,0,0,23,0,0,567,0,0.9929,1.1
SKCM,98,28,13873,0,100000,0.485,0.00091,0.0546,253,0,0,10,0,0,253,0,0.9921,1.6
STAD,345,140,14750,0,100000,0.512,0.00084,0.0463,335,0,0,19,0,0,335,0,1.0,4.3
TGCT,133,4,15235,22,100000,0.516,0.00334,0.0456,22,0,22,23,0,22,22,0,1.0,3.6
THCA,495,16,13699,0,100000,0.486,0.0033,0.0586,397,0,0,41,0,0,397,0,1.0,3.7
UCEC,175,32,14824,1,100000,0.499,0.00098,0.0524,227,0,1,20,0,1,227,0,0.9912,2.5
