cohort,genes,list_size,minp_list_validated,cox_list_validated,overlap,cox_q05,cox_q05_validated,base_rate
BRCA,12460,571,0.019,0.021,286,4,0.25,0.01
COAD,13614,334,0.027,0.036,136,0,,0.011
GBM,13820,364,0.192,0.294,190,5,0.4,0.058
KIRC,13948,7484,0.255,0.26,6700,7779,0.254,0.083
LIHC,11251,3061,0.345,0.342,2425,3084,0.34,0.084
LUAD,14196,1462,0.143,0.156,991,731,0.201,0.029
LUSC,14119,280,0.018,0.032,116,0,,0.01
OV,13386,333,0.054,0.054,133,0,,0.022
PAAD,13891,1404,0.098,0.085,823,2216,0.078,0.037
READ,13516,566,0.027,0.032,274,0,,0.017
