cohort,batch,i,minp_below_001
BLCA,0,0,349
BLCA,0,1,112
BLCA,0,2,232
BLCA,0,3,253
BLCA,0,4,157
BLCA,0,5,206
BLCA,0,6,91
BLCA,0,7,129
BLCA,0,8,298
BLCA,0,9,107
BLCA,1,0,97
BLCA,1,1,243
BLCA,1,2,147
BLCA,1,3,193
BLCA,1,4,200
BLCA,1,5,199
BLCA,1,6,176
BLCA,1,7,100
BLCA,1,8,169
BLCA,1,9,362
BLCA,2,0,465
BLCA,2,1,440
BLCA,2,2,149
BLCA,2,3,152
BLCA,2,4,126
BLCA,2,5,262
BLCA,2,6,470
BLCA,2,7,432
BLCA,2,8,215
BLCA,2,9,226
BLCA,3,0,146
BLCA,3,1,178
BLCA,3,2,193
BLCA,3,3,107
BLCA,3,4,155
BLCA,3,5,446
BLCA,3,6,189
BLCA,3,7,240
BLCA,3,8,127
BLCA,3,9,601
BLCA,4,0,355
BLCA,4,1,372
BLCA,4,2,304
BLCA,4,3,297
BLCA,4,4,247
BLCA,4,5,96
BLCA,4,6,161
BLCA,4,7,369
BLCA,4,8,816
BLCA,4,9,255
BLCA,5,0,90
BLCA,5,1,372
BLCA,5,2,685
BLCA,5,3,182
BLCA,5,4,230
BLCA,5,5,263
BLCA,5,6,125
BLCA,5,7,159
BLCA,5,8,190
BLCA,5,9,355
BLCA,6,0,229
BLCA,6,1,832
BLCA,6,2,162
BLCA,6,3,296
BLCA,6,4,422
BLCA,6,5,213
BLCA,6,6,193
BLCA,6,7,323
BLCA,6,8,226
BLCA,6,9,135
BLCA,7,0,77
BLCA,7,1,165
BLCA,7,2,160
BLCA,7,3,192
BLCA,7,4,257
BLCA,7,5,192
BLCA,7,6,115
BLCA,7,7,167
BLCA,7,8,339
BLCA,7,9,129
BLCA,8,0,113
BLCA,8,1,90
BLCA,8,2,202
BLCA,8,3,199
BLCA,8,4,194
BLCA,8,5,323
BLCA,8,6,461
BLCA,8,7,146
BLCA,8,8,179
BLCA,8,9,283
BLCA,9,0,279
BLCA,9,1,307
BLCA,9,2,159
BLCA,9,3,366
BLCA,9,4,444
BLCA,9,5,592
BLCA,9,6,149
BLCA,9,7,417
BLCA,9,8,154
BLCA,9,9,147
BLCA,10,0,203
BLCA,10,1,150
BLCA,10,2,134
BLCA,10,3,94
BLCA,10,4,84
BLCA,10,5,116
BLCA,10,6,142
BLCA,10,7,486
BLCA,10,8,239
BLCA,10,9,169
BLCA,11,0,120
BLCA,11,1,404
BLCA,11,2,74
BLCA,11,3,161
BLCA,11,4,223
BLCA,11,5,284
BLCA,11,6,373
BLCA,11,7,369
BLCA,11,8,147
BLCA,11,9,85
BLCA,12,0,297
BLCA,12,1,131
BLCA,12,2,171
BLCA,12,3,247
BLCA,12,4,234
BLCA,12,5,272
BLCA,12,6,484
BLCA,12,7,223
BLCA,12,8,458
BLCA,12,9,202
BLCA,13,0,152
BLCA,13,1,153
BLCA,13,2,192
BLCA,13,3,325
BLCA,13,4,115
BLCA,13,5,921
BLCA,13,6,112
BLCA,13,7,96
BLCA,13,8,73
BLCA,13,9,455
BLCA,14,0,352
BLCA,14,1,116
BLCA,14,2,167
BLCA,14,3,509
BLCA,14,4,157
BLCA,14,5,149
BLCA,14,6,160
BLCA,14,7,127
BLCA,14,8,215
BLCA,14,9,900
BLCA,15,0,341
BLCA,15,1,138
BLCA,15,2,90
BLCA,15,3,333
BLCA,15,4,235
BLCA,15,5,202
BLCA,15,6,215
BLCA,15,7,180
BLCA,15,8,205
BLCA,15,9,164
BLCA,16,0,121
BLCA,16,1,186
BLCA,16,2,240
BLCA,16,3,119
BLCA,16,4,170
BLCA,16,5,221
BLCA,16,6,136
BLCA,16,7,158
BLCA,16,8,387
BLCA,16,9,311
BLCA,17,0,193
BLCA,17,1,326
BLCA,17,2,159
BLCA,17,3,869
BLCA,17,4,121
BLCA,17,5,118
BLCA,17,6,450
BLCA,17,7,114
BLCA,17,8,208
BLCA,17,9,183
BLCA,18,0,152
BLCA,18,1,296
BLCA,18,2,167
BLCA,18,3,320
BLCA,18,4,145
BLCA,18,5,232
BLCA,18,6,307
BLCA,18,7,82
BLCA,18,8,90
BLCA,18,9,169
BLCA,19,0,187
BLCA,19,1,427
BLCA,19,2,100
BLCA,19,3,186
BLCA,19,4,759
BLCA,19,5,87
BLCA,19,6,146
BLCA,19,7,84
BLCA,19,8,196
BLCA,19,9,521
BLCA,20,0,320
BLCA,20,1,213
BLCA,20,2,124
BLCA,20,3,190
BLCA,20,4,120
BLCA,20,5,249
BLCA,20,6,179
BLCA,20,7,249
BLCA,20,8,182
BLCA,20,9,178
BLCA,21,0,129
BLCA,21,1,65
BLCA,21,2,182
BLCA,21,3,288
BLCA,21,4,242
BLCA,21,5,219
BLCA,21,6,339
BLCA,21,7,222
BLCA,21,8,144
BLCA,21,9,135
BLCA,22,0,169
BLCA,22,1,169
BLCA,22,2,518
BLCA,22,3,117
BLCA,22,4,231
BLCA,22,5,663
BLCA,22,6,419
BLCA,22,7,160
BLCA,22,8,199
BLCA,22,9,511
BLCA,23,0,791
BLCA,23,1,147
BLCA,23,2,243
BLCA,23,3,128
BLCA,23,4,102
BLCA,23,5,189
BLCA,23,6,399
BLCA,23,7,158
BLCA,23,8,89
BLCA,23,9,225
BLCA,24,0,195
BLCA,24,1,97
BLCA,24,2,316
BLCA,24,3,224
BLCA,24,4,46
BLCA,24,5,606
BLCA,24,6,92
BLCA,24,7,185
BLCA,24,8,188
BLCA,24,9,230
BLCA,25,0,176
BLCA,25,1,149
BLCA,25,2,1006
BLCA,25,3,569
BLCA,25,4,255
BLCA,25,5,159
BLCA,25,6,190
BLCA,25,7,182
BLCA,25,8,403
BLCA,25,9,223
BLCA,26,0,478
BLCA,26,1,388
BLCA,26,2,196
BLCA,26,3,114
BLCA,26,4,96
BLCA,26,5,512
BLCA,26,6,140
BLCA,26,7,88
BLCA,26,8,165
BLCA,26,9,172
BLCA,27,0,365
BLCA,27,1,129
BLCA,27,2,248
BLCA,27,3,379
BLCA,27,4,335
BLCA,27,5,150
BLCA,27,6,712
BLCA,27,7,158
BLCA,27,8,119
BLCA,27,9,106
BLCA,28,0,474
BLCA,28,1,85
BLCA,28,2,91
BLCA,28,3,139
BLCA,28,4,343
BLCA,28,5,291
BLCA,28,6,131
BLCA,28,7,159
BLCA,28,8,403
BLCA,28,9,138
BLCA,29,0,135
BLCA,29,1,111
BLCA,29,2,150
BLCA,29,3,167
BLCA,29,4,252
BLCA,29,5,500
BLCA,29,6,70
BLCA,29,7,243
BLCA,29,8,260
BLCA,29,9,276
BLCA,30,0,262
BLCA,30,1,61
BLCA,30,2,409
BLCA,30,3,200
BLCA,30,4,160
BLCA,30,5,184
BLCA,30,6,285
BLCA,30,7,97
BLCA,30,8,143
BLCA,30,9,170
BLCA,31,0,146
BLCA,31,1,147
BLCA,31,2,171
BLCA,31,3,103
BLCA,31,4,208
BLCA,31,5,381
BLCA,31,6,210
BLCA,31,7,461
BLCA,31,8,382
BLCA,31,9,98
BLCA,32,0,101
BLCA,32,1,129
BLCA,32,2,120
BLCA,32,3,226
BLCA,32,4,205
BLCA,32,5,276
BLCA,32,6,95
BLCA,32,7,89
BLCA,32,8,132
BLCA,32,9,291
BLCA,33,0,539
BLCA,33,1,143
BLCA,33,2,513
BLCA,33,3,377
BLCA,33,4,91
BLCA,33,5,114
BLCA,33,6,262
BLCA,33,7,361
BLCA,33,8,156
BLCA,33,9,97
BLCA,34,0,269
BLCA,34,1,170
BLCA,34,2,121
BLCA,34,3,145
BLCA,34,4,383
BLCA,34,5,125
BLCA,34,6,206
BLCA,34,7,395
BLCA,34,8,116
BLCA,34,9,949
BLCA,35,0,151
BLCA,35,1,256
BLCA,35,2,196
BLCA,35,3,118
BLCA,35,4,157
BLCA,35,5,180
BLCA,35,6,189
BLCA,35,7,181
BLCA,35,8,238
BLCA,35,9,654
BLCA,36,0,213
BLCA,36,1,244
BLCA,36,2,353
BLCA,36,3,197
BLCA,36,4,117
BLCA,36,5,159
BLCA,36,6,198
BLCA,36,7,1071
BLCA,36,8,142
BLCA,36,9,201
BLCA,37,0,192
BLCA,37,1,248
BLCA,37,2,392
BLCA,37,3,238
BLCA,37,4,166
BLCA,37,5,599
BLCA,37,6,207
BLCA,37,7,205
BLCA,37,8,118
BLCA,37,9,144
BLCA,38,0,217
BLCA,38,1,454
BLCA,38,2,208
BLCA,38,3,499
BLCA,38,4,418
BLCA,38,5,338
BLCA,38,6,199
BLCA,38,7,107
BLCA,38,8,192
BLCA,38,9,98
BLCA,39,0,134
BLCA,39,1,388
BLCA,39,2,152
BLCA,39,3,162
BLCA,39,4,157
BLCA,39,5,311
BLCA,39,6,160
BLCA,39,7,121
BLCA,39,8,165
BLCA,39,9,110
BLCA,40,0,1997
BLCA,40,1,103
BLCA,40,2,99
BLCA,40,3,351
BLCA,40,4,360
BLCA,40,5,282
BLCA,40,6,101
BLCA,40,7,298
BLCA,40,8,102
BLCA,40,9,148
BLCA,41,0,294
BLCA,41,1,408
BLCA,41,2,125
BLCA,41,3,289
BLCA,41,4,229
BLCA,41,5,276
BLCA,41,6,214
BLCA,41,7,156
BLCA,41,8,96
BLCA,41,9,98
BLCA,42,0,225
BLCA,42,1,104
BLCA,42,2,175
BLCA,42,3,180
BLCA,42,4,113
BLCA,42,5,156
BLCA,42,6,137
BLCA,42,7,107
BLCA,42,8,169
BLCA,42,9,170
BLCA,43,0,112
BLCA,43,1,254
BLCA,43,2,171
BLCA,43,3,197
BLCA,43,4,208
BLCA,43,5,493
BLCA,43,6,163
BLCA,43,7,241
BLCA,43,8,110
BLCA,43,9,235
BLCA,44,0,234
BLCA,44,1,99
BLCA,44,2,99
BLCA,44,3,250
BLCA,44,4,176
BLCA,44,5,93
BLCA,44,6,212
BLCA,44,7,250
BLCA,44,8,96
BLCA,44,9,692
BLCA,45,0,135
BLCA,45,1,137
BLCA,45,2,241
BLCA,45,3,366
BLCA,45,4,284
BLCA,45,5,129
BLCA,45,6,81
BLCA,45,7,222
BLCA,45,8,314
BLCA,45,9,498
BLCA,46,0,175
BLCA,46,1,414
BLCA,46,2,271
BLCA,46,3,258
BLCA,46,4,319
BLCA,46,5,219
BLCA,46,6,194
BLCA,46,7,191
BLCA,46,8,203
BLCA,46,9,71
BLCA,47,0,204
BLCA,47,1,397
BLCA,47,2,171
BLCA,47,3,167
BLCA,47,4,84
BLCA,47,5,393
BLCA,47,6,213
BLCA,47,7,296
BLCA,47,8,102
BLCA,47,9,169
BLCA,48,0,94
BLCA,48,1,97
BLCA,48,2,197
BLCA,48,3,129
BLCA,48,4,162
BLCA,48,5,418
BLCA,48,6,221
BLCA,48,7,147
BLCA,48,8,655
BLCA,48,9,519
BLCA,49,0,141
BLCA,49,1,352
BLCA,49,2,1364
BLCA,49,3,199
BLCA,49,4,288
BLCA,49,5,412
BLCA,49,6,229
BLCA,49,7,156
BLCA,49,8,240
BLCA,49,9,452
BLCA,50,0,247
BLCA,50,1,99
BLCA,50,2,215
BLCA,50,3,680
BLCA,50,4,197
BLCA,50,5,149
BLCA,50,6,261
BLCA,50,7,127
BLCA,50,8,367
BLCA,50,9,94
BLCA,51,0,243
BLCA,51,1,173
BLCA,51,2,300
BLCA,51,3,86
BLCA,51,4,642
BLCA,51,5,167
BLCA,51,6,215
BLCA,51,7,457
BLCA,51,8,261
BLCA,51,9,405
BLCA,52,0,117
BLCA,52,1,142
BLCA,52,2,201
BLCA,52,3,400
BLCA,52,4,136
BLCA,52,5,453
BLCA,52,6,199
BLCA,52,7,378
BLCA,52,8,233
BLCA,52,9,452
BLCA,53,0,187
BLCA,53,1,203
BLCA,53,2,203
BLCA,53,3,438
BLCA,53,4,192
BLCA,53,5,731
BLCA,53,6,131
BLCA,53,7,480
BLCA,53,8,180
BLCA,53,9,758
BLCA,54,0,318
BLCA,54,1,214
BLCA,54,2,152
BLCA,54,3,210
BLCA,54,4,209
BLCA,54,5,117
BLCA,54,6,145
BLCA,54,7,215
BLCA,54,8,104
BLCA,54,9,306
BLCA,55,0,130
BLCA,55,1,335
BLCA,55,2,154
BLCA,55,3,749
BLCA,55,4,168
BLCA,55,5,209
BLCA,55,6,209
BLCA,55,7,156
BLCA,55,8,174
BLCA,55,9,363
BLCA,56,0,225
BLCA,56,1,138
BLCA,56,2,996
BLCA,56,3,216
BLCA,56,4,236
BLCA,56,5,136
BLCA,56,6,189
BLCA,56,7,71
BLCA,56,8,91
BLCA,56,9,184
BLCA,57,0,210
BLCA,57,1,99
BLCA,57,2,278
BLCA,57,3,75
BLCA,57,4,375
BLCA,57,5,149
BLCA,57,6,89
BLCA,57,7,221
BLCA,57,8,159
BLCA,57,9,114
BLCA,58,0,262
BLCA,58,1,110
BLCA,58,2,614
BLCA,58,3,196
BLCA,58,4,175
BLCA,58,5,211
BLCA,58,6,169
BLCA,58,7,220
BLCA,58,8,98
BLCA,58,9,369
BLCA,59,0,197
BLCA,59,1,221
BLCA,59,2,108
BLCA,59,3,119
BLCA,59,4,342
BLCA,59,5,83
BLCA,59,6,217
BLCA,59,7,166
BLCA,59,8,827
BLCA,59,9,385
BLCA,60,0,399
BLCA,60,1,600
BLCA,60,2,149
BLCA,60,3,297
BLCA,60,4,171
BLCA,60,5,257
BLCA,60,6,139
BLCA,60,7,355
BLCA,60,8,469
BLCA,60,9,146
BLCA,61,0,174
BLCA,61,1,341
BLCA,61,2,378
BLCA,61,3,624
BLCA,61,4,228
BLCA,61,5,287
BLCA,61,6,145
BLCA,61,7,519
BLCA,61,8,117
BLCA,61,9,156
BLCA,62,0,332
BLCA,62,1,204
BLCA,62,2,170
BLCA,62,3,132
BLCA,62,4,145
BLCA,62,5,272
BLCA,62,6,217
BLCA,62,7,85
BLCA,62,8,190
BLCA,62,9,369
BLCA,63,0,187
BLCA,63,1,107
BLCA,63,2,121
BLCA,63,3,266
BLCA,63,4,224
BLCA,63,5,114
BLCA,63,6,297
BLCA,63,7,193
BLCA,63,8,168
BLCA,63,9,195
BLCA,64,0,140
BLCA,64,1,116
BLCA,64,2,134
BLCA,64,3,133
BLCA,64,4,260
BLCA,64,5,70
BLCA,64,6,113
BLCA,64,7,131
BLCA,64,8,320
BLCA,64,9,450
BLCA,65,0,151
BLCA,65,1,214
BLCA,65,2,210
BLCA,65,3,147
BLCA,65,4,158
BLCA,65,5,134
BLCA,65,6,128
BLCA,65,7,162
BLCA,65,8,514
BLCA,65,9,221
BLCA,66,0,218
BLCA,66,1,530
BLCA,66,2,122
BLCA,66,3,79
BLCA,66,4,245
BLCA,66,5,216
BLCA,66,6,180
BLCA,66,7,257
BLCA,66,8,179
BLCA,66,9,193
BLCA,67,0,361
BLCA,67,1,152
BLCA,67,2,246
BLCA,67,3,152
BLCA,67,4,279
BLCA,67,5,163
BLCA,67,6,217
BLCA,67,7,135
BLCA,67,8,190
BLCA,67,9,311
BLCA,68,0,151
BLCA,68,1,264
BLCA,68,2,245
BLCA,68,3,116
BLCA,68,4,472
BLCA,68,5,126
BLCA,68,6,203
BLCA,68,7,205
BLCA,68,8,183
BLCA,68,9,156
BLCA,69,0,333
BLCA,69,1,357
BLCA,69,2,269
BLCA,69,3,223
BLCA,69,4,150
BLCA,69,5,308
BLCA,69,6,133
BLCA,69,7,83
BLCA,69,8,466
BLCA,69,9,128
BLCA,70,0,165
BLCA,70,1,121
BLCA,70,2,349
BLCA,70,3,108
BLCA,70,4,369
BLCA,70,5,331
BLCA,70,6,134
BLCA,70,7,196
BLCA,70,8,346
BLCA,70,9,257
BLCA,71,0,97
BLCA,71,1,447
BLCA,71,2,336
BLCA,71,3,1182
BLCA,71,4,165
BLCA,71,5,419
BLCA,71,6,131
BLCA,71,7,59
BLCA,71,8,122
BLCA,71,9,192
BLCA,72,0,153
BLCA,72,1,366
BLCA,72,2,91
BLCA,72,3,117
BLCA,72,4,238
BLCA,72,5,149
BLCA,72,6,291
BLCA,72,7,95
BLCA,72,8,159
BLCA,72,9,194
BLCA,73,0,251
BLCA,73,1,267
BLCA,73,2,296
BLCA,73,3,163
BLCA,73,4,84
BLCA,73,5,159
BLCA,73,6,316
BLCA,73,7,349
BLCA,73,8,290
BLCA,73,9,149
BLCA,74,0,308
BLCA,74,1,168
BLCA,74,2,258
BLCA,74,3,259
BLCA,74,4,134
BLCA,74,5,178
BLCA,74,6,188
BLCA,74,7,583
BLCA,74,8,156
BLCA,74,9,179
BLCA,75,0,150
BLCA,75,1,143
BLCA,75,2,232
BLCA,75,3,158
BLCA,75,4,301
BLCA,75,5,170
BLCA,75,6,251
BLCA,75,7,76
BLCA,75,8,331
BLCA,75,9,174
BLCA,76,0,87
BLCA,76,1,324
BLCA,76,2,135
BLCA,76,3,363
BLCA,76,4,435
BLCA,76,5,93
BLCA,76,6,104
BLCA,76,7,250
BLCA,76,8,242
BLCA,76,9,259
BLCA,77,0,401
BLCA,77,1,113
BLCA,77,2,208
BLCA,77,3,568
BLCA,77,4,109
BLCA,77,5,101
BLCA,77,6,138
BLCA,77,7,205
BLCA,77,8,68
