cohort,batch,i,minp_below_001
BRCA,0,0,163
BRCA,0,1,52
BRCA,0,2,168
BRCA,0,3,135
BRCA,0,4,52
BRCA,0,5,96
BRCA,0,6,586
BRCA,0,7,156
BRCA,0,8,242
BRCA,0,9,49
BRCA,1,0,75
BRCA,1,1,113
BRCA,1,2,66
BRCA,1,3,66
BRCA,1,4,164
BRCA,1,5,167
BRCA,1,6,310
BRCA,1,7,113
BRCA,1,8,66
BRCA,1,9,130
BRCA,2,0,68
BRCA,2,1,195
BRCA,2,2,301
BRCA,2,3,184
BRCA,2,4,169
BRCA,2,5,107
BRCA,2,6,83
BRCA,2,7,352
BRCA,2,8,127
BRCA,2,9,109
BRCA,3,0,167
BRCA,3,1,232
BRCA,3,2,118
BRCA,3,3,310
BRCA,3,4,171
BRCA,3,5,237
BRCA,3,6,164
BRCA,3,7,153
BRCA,3,8,46
BRCA,3,9,52
BRCA,4,0,157
BRCA,4,1,253
BRCA,4,2,97
BRCA,4,3,256
BRCA,4,4,67
BRCA,4,5,188
BRCA,4,6,292
BRCA,4,7,105
BRCA,4,8,168
BRCA,4,9,291
BRCA,5,0,111
BRCA,5,1,228
BRCA,5,2,118
BRCA,5,3,143
BRCA,5,4,116
BRCA,5,5,136
BRCA,5,6,325
BRCA,5,7,355
BRCA,5,8,193
BRCA,5,9,134
BRCA,6,0,115
BRCA,6,1,380
BRCA,6,2,89
BRCA,6,3,467
BRCA,6,4,180
BRCA,6,5,464
BRCA,6,6,118
BRCA,6,7,163
BRCA,6,8,214
BRCA,6,9,343
BRCA,7,0,221
BRCA,7,1,170
BRCA,7,2,272
BRCA,7,3,144
BRCA,7,4,745
BRCA,7,5,380
BRCA,7,6,167
BRCA,7,7,115
BRCA,7,8,202
BRCA,7,9,152
BRCA,8,0,346
BRCA,8,1,1362
BRCA,8,2,81
BRCA,8,3,83
BRCA,8,4,323
BRCA,8,5,97
BRCA,8,6,133
BRCA,8,7,318
BRCA,8,8,116
BRCA,8,9,110
BRCA,9,0,69
BRCA,9,1,190
BRCA,9,2,241
BRCA,9,3,446
BRCA,9,4,121
BRCA,9,5,110
BRCA,9,6,251
BRCA,9,7,153
BRCA,9,8,167
BRCA,9,9,671
BRCA,10,0,485
BRCA,10,1,95
BRCA,10,2,176
BRCA,10,3,148
BRCA,10,4,74
BRCA,10,5,192
BRCA,10,6,146
BRCA,10,7,456
BRCA,10,8,419
BRCA,10,9,138
BRCA,11,0,202
BRCA,11,1,80
BRCA,11,2,284
BRCA,11,3,157
BRCA,11,4,78
BRCA,11,5,109
BRCA,11,6,342
BRCA,11,7,133
BRCA,11,8,225
BRCA,11,9,181
BRCA,12,0,150
BRCA,12,1,88
BRCA,12,2,108
BRCA,12,3,224
BRCA,12,4,444
BRCA,12,5,320
BRCA,12,6,175
BRCA,12,7,131
BRCA,12,8,64
BRCA,12,9,140
BRCA,13,0,320
BRCA,13,1,444
BRCA,13,2,208
BRCA,13,3,250
BRCA,13,4,221
BRCA,13,5,84
BRCA,13,6,100
BRCA,13,7,142
BRCA,13,8,678
