cohort,batch,i,minp_below_001
CESC,0,0,126
CESC,0,1,156
CESC,0,2,75
CESC,0,3,273
CESC,0,4,214
CESC,0,5,157
CESC,0,6,103
CESC,0,7,126
CESC,0,8,107
CESC,0,9,163
CESC,1,0,496
CESC,1,1,449
CESC,1,2,152
CESC,1,3,94
CESC,1,4,144
CESC,1,5,134
CESC,1,6,227
CESC,1,7,187
CESC,1,8,101
CESC,1,9,199
CESC,2,0,1335
CESC,2,1,131
CESC,2,2,347
CESC,2,3,259
CESC,2,4,88
CESC,2,5,308
CESC,2,6,223
CESC,2,7,105
CESC,2,8,59
CESC,2,9,162
CESC,3,0,416
CESC,3,1,95
CESC,3,2,153
CESC,3,3,511
CESC,3,4,91
CESC,3,5,92
CESC,3,6,96
CESC,3,7,257
CESC,3,8,252
CESC,3,9,128
CESC,4,0,226
CESC,4,1,173
CESC,4,2,173
CESC,4,3,223
CESC,4,4,188
CESC,4,5,81
CESC,4,6,92
CESC,4,7,107
CESC,4,8,191
CESC,4,9,163
CESC,5,0,223
CESC,5,1,322
CESC,5,2,76
CESC,5,3,261
CESC,5,4,155
CESC,5,5,159
CESC,5,6,134
CESC,5,7,91
CESC,5,8,915
CESC,5,9,191
CESC,6,0,512
CESC,6,1,103
CESC,6,2,255
CESC,6,3,169
CESC,6,4,280
CESC,6,5,309
CESC,6,6,89
CESC,6,7,354
CESC,6,8,64
CESC,6,9,177
CESC,7,0,87
CESC,7,1,120
CESC,7,2,291
CESC,7,3,401
CESC,7,4,70
CESC,7,5,61
CESC,7,6,97
CESC,7,7,141
CESC,7,8,62
CESC,7,9,456
CESC,8,0,131
CESC,8,1,94
CESC,8,2,236
CESC,8,3,739
CESC,8,4,111
CESC,8,5,997
CESC,8,6,169
CESC,8,7,606
CESC,8,8,97
CESC,8,9,104
CESC,9,0,81
CESC,9,1,122
CESC,9,2,107
CESC,9,3,205
CESC,9,4,135
CESC,9,5,144
CESC,9,6,80
CESC,9,7,171
CESC,9,8,308
CESC,9,9,79
CESC,10,0,762
CESC,10,1,149
CESC,10,2,71
CESC,10,3,235
CESC,10,4,288
CESC,10,5,92
CESC,10,6,110
CESC,10,7,173
CESC,10,8,196
CESC,10,9,154
CESC,11,0,92
CESC,11,1,83
CESC,11,2,106
CESC,11,3,892
CESC,11,4,115
CESC,11,5,115
CESC,11,6,241
CESC,11,7,165
CESC,11,8,209
CESC,11,9,118
CESC,12,0,139
CESC,12,1,367
CESC,12,2,120
CESC,12,3,245
CESC,12,4,186
CESC,12,5,92
CESC,12,6,127
CESC,12,7,115
CESC,12,8,286
CESC,12,9,369
CESC,13,0,83
CESC,13,1,93
CESC,13,2,144
CESC,13,3,296
CESC,13,4,176
CESC,13,5,297
CESC,13,6,161
CESC,13,7,81
CESC,13,8,157
CESC,13,9,136
CESC,14,0,168
CESC,14,1,114
CESC,14,2,184
CESC,14,3,151
CESC,14,4,135
CESC,14,5,105
CESC,14,6,275
CESC,14,7,340
CESC,14,8,217
CESC,14,9,236
CESC,15,0,240
CESC,15,1,207
CESC,15,2,133
CESC,15,3,110
CESC,15,4,147
CESC,15,5,170
CESC,15,6,148
CESC,15,7,187
CESC,15,8,84
CESC,15,9,91
CESC,16,0,81
CESC,16,1,615
CESC,16,2,107
CESC,16,3,75
CESC,16,4,149
CESC,16,5,66
CESC,16,6,64
CESC,16,7,288
