cohort,batch,i,minp_below_001
COAD,0,0,303
COAD,0,1,118
COAD,0,2,91
COAD,0,3,163
COAD,0,4,243
COAD,0,5,44
COAD,0,6,142
COAD,0,7,123
COAD,0,8,228
COAD,0,9,175
COAD,1,0,167
COAD,1,1,151
COAD,1,2,196
COAD,1,3,195
COAD,1,4,178
COAD,1,5,115
COAD,1,6,105
COAD,1,7,179
COAD,1,8,454
COAD,1,9,67
COAD,2,0,168
COAD,2,1,245
COAD,2,2,813
COAD,2,3,447
COAD,2,4,133
COAD,2,5,226
COAD,2,6,91
COAD,2,7,178
COAD,2,8,86
COAD,2,9,200
COAD,3,0,168
COAD,3,1,35
COAD,3,2,49
COAD,3,3,210
COAD,3,4,353
COAD,3,5,63
COAD,3,6,60
COAD,3,7,135
COAD,3,8,146
COAD,3,9,107
COAD,4,0,117
COAD,4,1,247
COAD,4,2,120
COAD,4,3,141
COAD,4,4,130
COAD,4,5,462
COAD,4,6,166
COAD,4,7,111
COAD,4,8,130
COAD,4,9,83
COAD,5,0,240
COAD,5,1,269
COAD,5,2,202
COAD,5,3,1515
COAD,5,4,57
COAD,5,5,474
COAD,5,6,82
COAD,5,7,164
COAD,5,8,263
COAD,5,9,287
COAD,6,0,162
COAD,6,1,209
COAD,6,2,357
COAD,6,3,113
COAD,6,4,240
COAD,6,5,229
COAD,6,6,153
COAD,6,7,351
COAD,6,8,431
COAD,6,9,55
COAD,7,0,112
COAD,7,1,172
COAD,7,2,240
COAD,7,3,189
COAD,7,4,91
COAD,7,5,508
COAD,7,6,189
COAD,7,7,89
COAD,7,8,153
COAD,7,9,94
COAD,8,0,201
COAD,8,1,261
COAD,8,2,101
COAD,8,3,146
COAD,8,4,1150
COAD,8,5,124
COAD,8,6,535
COAD,8,7,95
COAD,8,8,223
COAD,8,9,128
COAD,9,0,291
COAD,9,1,143
COAD,9,2,188
COAD,9,3,139
COAD,9,4,183
COAD,9,5,434
COAD,9,6,54
COAD,9,7,213
COAD,9,8,272
COAD,9,9,448
COAD,10,0,135
COAD,10,1,217
COAD,10,2,224
COAD,10,3,170
COAD,10,4,331
COAD,10,5,248
COAD,10,6,107
COAD,10,7,176
COAD,10,8,97
COAD,10,9,236
COAD,11,0,133
COAD,11,1,148
COAD,11,2,256
COAD,11,3,69
COAD,11,4,169
COAD,11,5,83
COAD,11,6,180
COAD,11,7,98
COAD,11,8,86
COAD,11,9,264
COAD,12,0,77
COAD,12,1,210
COAD,12,2,274
COAD,12,3,108
COAD,12,4,150
COAD,12,5,241
COAD,12,6,119
COAD,12,7,468
COAD,12,8,49
COAD,12,9,179
COAD,13,0,130
COAD,13,1,145
COAD,13,2,106
COAD,13,3,132
COAD,13,4,121
COAD,13,5,98
COAD,13,6,74
COAD,13,7,559
COAD,13,8,108
COAD,13,9,191
COAD,14,0,121
COAD,14,1,413
COAD,14,2,267
COAD,14,3,271
COAD,14,4,91
COAD,14,5,549
COAD,14,6,104
COAD,14,7,138
COAD,14,8,130
COAD,14,9,183
COAD,15,0,167
COAD,15,1,545
COAD,15,2,109
