cohort,batch,i,minp_below_001
GBM,0,0,155
GBM,0,1,86
GBM,0,2,96
GBM,0,3,110
GBM,0,4,106
GBM,0,5,75
GBM,0,6,201
GBM,0,7,136
GBM,0,8,739
GBM,0,9,597
GBM,1,0,121
GBM,1,1,90
GBM,1,2,129
GBM,1,3,245
GBM,1,4,211
GBM,1,5,149
GBM,1,6,87
GBM,1,7,214
GBM,1,8,108
GBM,1,9,236
GBM,2,0,213
GBM,2,1,233
GBM,2,2,265
GBM,2,3,655
GBM,2,4,118
GBM,2,5,116
GBM,2,6,1137
GBM,2,7,157
GBM,2,8,512
GBM,2,9,120
GBM,3,0,196
GBM,3,1,193
GBM,3,2,165
GBM,3,3,146
GBM,3,4,195
GBM,3,5,286
GBM,3,6,162
GBM,3,7,74
GBM,3,8,606
GBM,3,9,98
GBM,4,0,245
GBM,4,1,72
GBM,4,2,160
GBM,4,3,2196
GBM,4,4,130
GBM,4,5,501
GBM,4,6,505
GBM,4,7,244
GBM,4,8,79
GBM,4,9,358
GBM,5,0,250
GBM,5,1,127
GBM,5,2,231
GBM,5,3,70
GBM,5,4,727
GBM,5,5,301
GBM,5,6,82
GBM,5,7,387
GBM,5,8,54
GBM,5,9,67
GBM,6,0,255
GBM,6,1,115
GBM,6,2,90
GBM,6,3,247
GBM,6,4,58
GBM,6,5,240
GBM,6,6,306
GBM,6,7,263
GBM,6,8,128
GBM,6,9,241
GBM,7,0,124
GBM,7,1,147
GBM,7,2,109
GBM,7,3,79
GBM,7,4,148
GBM,7,5,158
GBM,7,6,505
GBM,7,7,135
GBM,7,8,275
GBM,7,9,67
GBM,8,0,163
GBM,8,1,131
GBM,8,2,185
GBM,8,3,179
GBM,8,4,114
GBM,8,5,576
GBM,8,6,299
GBM,8,7,261
GBM,8,8,103
GBM,8,9,540
GBM,9,0,46
GBM,9,1,303
GBM,9,2,244
GBM,9,3,66
GBM,9,4,196
GBM,9,5,380
GBM,9,6,133
GBM,9,7,101
GBM,9,8,90
GBM,9,9,139
GBM,10,0,268
GBM,10,1,98
GBM,10,2,133
GBM,10,3,195
GBM,10,4,96
GBM,10,5,158
GBM,10,6,222
GBM,10,7,324
GBM,10,8,49
GBM,10,9,378
GBM,11,0,76
GBM,11,1,54
GBM,11,2,82
GBM,11,3,132
GBM,11,4,170
GBM,11,5,377
GBM,11,6,96
GBM,11,7,331
GBM,11,8,232
GBM,11,9,64
GBM,12,0,76
GBM,12,1,154
GBM,12,2,480
GBM,12,3,344
GBM,12,4,70
GBM,12,5,253
GBM,12,6,517
GBM,12,7,217
GBM,12,8,207
GBM,12,9,178
GBM,13,0,176
GBM,13,1,282
GBM,13,2,439
GBM,13,3,246
GBM,13,4,390
GBM,13,5,245
GBM,13,6,306
GBM,13,7,141
GBM,13,8,262
GBM,13,9,89
GBM,14,0,52
GBM,14,1,66
GBM,14,2,97
GBM,14,3,170
GBM,14,4,767
GBM,14,5,168
GBM,14,6,185
GBM,14,7,194
GBM,14,8,197
GBM,14,9,112
GBM,15,0,86
GBM,15,1,177
GBM,15,2,89
GBM,15,3,136
GBM,15,4,331
GBM,15,5,666
GBM,15,6,338
GBM,15,7,479
GBM,15,8,61
GBM,15,9,346
GBM,16,0,560
GBM,16,1,129
GBM,16,2,81
GBM,16,3,149
GBM,16,4,778
GBM,16,5,71
GBM,16,6,581
GBM,16,7,238
GBM,16,8,698
GBM,16,9,93
GBM,17,0,50
GBM,17,1,242
GBM,17,2,491
GBM,17,3,112
GBM,17,4,833
GBM,17,5,65
GBM,17,6,111
GBM,17,7,277
GBM,17,8,199
GBM,17,9,59
GBM,18,0,260
GBM,18,1,60
GBM,18,2,268
GBM,18,3,162
GBM,18,4,202
GBM,18,5,521
GBM,18,6,92
GBM,18,7,2023
GBM,18,8,127
GBM,18,9,149
GBM,19,0,215
GBM,19,1,93
GBM,19,2,389
GBM,19,3,118
GBM,19,4,117
GBM,19,5,150
GBM,19,6,152
GBM,19,7,1147
GBM,19,8,64
GBM,19,9,149
GBM,20,0,97
GBM,20,1,392
GBM,20,2,225
GBM,20,3,315
GBM,20,4,363
GBM,20,5,271
GBM,20,6,142
GBM,20,7,110
GBM,20,8,115
GBM,20,9,95
GBM,21,0,177
GBM,21,1,277
GBM,21,2,1202
GBM,21,3,339
GBM,21,4,90
GBM,21,5,178
GBM,21,6,568
GBM,21,7,126
GBM,21,8,322
GBM,21,9,217
GBM,22,0,155
GBM,22,1,178
GBM,22,2,114
GBM,22,3,55
GBM,22,4,376
GBM,22,5,158
GBM,22,6,117
GBM,22,7,353
GBM,22,8,128
GBM,22,9,150
GBM,23,0,164
GBM,23,1,156
GBM,23,2,225
GBM,23,3,206
GBM,23,4,55
GBM,23,5,77
GBM,23,6,135
GBM,23,7,196
GBM,23,8,373
GBM,23,9,401
GBM,24,0,86
GBM,24,1,132
GBM,24,2,143
GBM,24,3,448
GBM,24,4,190
GBM,24,5,219
GBM,24,6,214
GBM,24,7,84
GBM,24,8,181
GBM,24,9,220
GBM,25,0,187
GBM,25,1,248
GBM,25,2,142
GBM,25,3,692
GBM,25,4,270
GBM,25,5,255
GBM,25,6,105
GBM,25,7,303
GBM,25,8,221
GBM,25,9,98
GBM,26,0,149
GBM,26,1,910
GBM,26,2,355
GBM,26,3,261
GBM,26,4,301
GBM,26,5,226
GBM,26,6,569
GBM,26,7,110
GBM,26,8,158
GBM,26,9,638
GBM,27,0,661
GBM,27,1,224
GBM,27,2,117
GBM,27,3,113
GBM,27,4,252
GBM,27,5,135
GBM,27,6,158
GBM,27,7,168
GBM,27,8,311
GBM,27,9,426
GBM,28,0,420
GBM,28,1,236
GBM,28,2,181
GBM,28,3,156
GBM,28,4,222
GBM,28,5,172
GBM,28,6,130
GBM,28,7,133
GBM,28,8,354
GBM,28,9,37
GBM,29,0,151
GBM,29,1,265
GBM,29,2,338
GBM,29,3,183
GBM,29,4,107
GBM,29,5,90
GBM,29,6,237
GBM,29,7,452
GBM,29,8,354
GBM,29,9,120
GBM,30,0,185
GBM,30,1,337
GBM,30,2,135
GBM,30,3,62
GBM,30,4,247
GBM,30,5,436
GBM,30,6,136
GBM,30,7,107
GBM,30,8,226
GBM,30,9,558
GBM,31,0,77
GBM,31,1,111
GBM,31,2,133
GBM,31,3,278
GBM,31,4,747
GBM,31,5,317
GBM,31,6,134
GBM,31,7,623
GBM,31,8,87
GBM,31,9,278
GBM,32,0,117
GBM,32,1,191
GBM,32,2,153
GBM,32,3,119
GBM,32,4,237
GBM,32,5,185
GBM,32,6,270
GBM,32,7,93
GBM,32,8,213
GBM,32,9,276
GBM,33,0,210
GBM,33,1,294
GBM,33,2,1062
GBM,33,3,136
GBM,33,4,207
GBM,33,5,121
GBM,33,6,177
GBM,33,7,65
GBM,33,8,192
GBM,33,9,242
GBM,34,0,122
GBM,34,1,140
GBM,34,2,282
GBM,34,3,174
GBM,34,4,170
GBM,34,5,125
GBM,34,6,59
GBM,34,7,452
GBM,34,8,100
GBM,34,9,410
GBM,35,0,187
GBM,35,1,513
GBM,35,2,248
GBM,35,3,481
GBM,35,4,114
GBM,35,5,105
GBM,35,6,338
GBM,35,7,443
GBM,35,8,306
GBM,35,9,99
GBM,36,0,129
GBM,36,1,278
GBM,36,2,336
GBM,36,3,119
GBM,36,4,292
GBM,36,5,68
GBM,36,6,159
GBM,36,7,122
GBM,36,8,156
GBM,36,9,93
GBM,37,0,94
GBM,37,1,164
GBM,37,2,124
GBM,37,3,408
GBM,37,4,247
GBM,37,5,136
GBM,37,6,891
GBM,37,7,216
GBM,37,8,262
GBM,37,9,85
GBM,38,0,531
GBM,38,1,116
GBM,38,2,124
GBM,38,3,176
GBM,38,4,389
GBM,38,5,160
GBM,38,6,164
GBM,38,7,205
GBM,38,8,167
GBM,38,9,337
GBM,39,0,180
GBM,39,1,305
GBM,39,2,147
GBM,39,3,621
GBM,39,4,635
GBM,39,5,119
GBM,39,6,88
GBM,39,7,391
GBM,39,8,95
GBM,39,9,101
GBM,40,0,460
GBM,40,1,113
GBM,40,2,106
GBM,40,3,600
GBM,40,4,140
GBM,40,5,65
GBM,40,6,156
GBM,40,7,130
GBM,40,8,82
GBM,40,9,95
GBM,41,0,135
GBM,41,1,587
GBM,41,2,244
GBM,41,3,517
GBM,41,4,92
GBM,41,5,80
GBM,41,6,157
GBM,41,7,390
GBM,41,8,159
GBM,41,9,136
GBM,42,0,404
GBM,42,1,131
GBM,42,2,175
GBM,42,3,73
GBM,42,4,272
GBM,42,5,158
GBM,42,6,162
GBM,42,7,115
GBM,42,8,153
GBM,42,9,79
GBM,43,0,98
GBM,43,1,422
GBM,43,2,116
GBM,43,3,116
GBM,43,4,393
GBM,43,5,306
GBM,43,6,887
GBM,43,7,826
GBM,43,8,526
GBM,43,9,421
GBM,44,0,94
GBM,44,1,278
GBM,44,2,727
GBM,44,3,131
GBM,44,4,278
GBM,44,5,65
GBM,44,6,97
GBM,44,7,210
GBM,44,8,132
GBM,44,9,438
GBM,45,0,246
GBM,45,1,219
GBM,45,2,213
GBM,45,3,183
GBM,45,4,157
GBM,45,5,211
GBM,45,6,57
GBM,45,7,182
GBM,45,8,203
GBM,45,9,171
GBM,46,0,74
GBM,46,1,267
GBM,46,2,74
GBM,46,3,88
GBM,46,4,129
GBM,46,5,480
GBM,46,6,167
GBM,46,7,125
GBM,46,8,101
GBM,46,9,57
GBM,47,0,162
GBM,47,1,204
GBM,47,2,285
GBM,47,3,160
GBM,47,4,154
GBM,47,5,225
GBM,47,6,176
GBM,47,7,225
GBM,47,8,174
GBM,47,9,539
GBM,48,0,223
GBM,48,1,200
GBM,48,2,251
GBM,48,3,1029
GBM,48,4,225
GBM,48,5,376
GBM,48,6,256
GBM,48,7,198
GBM,48,8,160
GBM,48,9,202
GBM,49,0,157
GBM,49,1,111
GBM,49,2,348
GBM,49,3,164
GBM,49,4,71
GBM,49,5,350
GBM,49,6,154
GBM,49,7,359
GBM,49,8,112
GBM,49,9,96
GBM,50,0,265
GBM,50,1,174
GBM,50,2,112
GBM,50,3,96
GBM,50,4,193
GBM,50,5,128
GBM,50,6,600
GBM,50,7,58
GBM,50,8,411
GBM,50,9,543
GBM,51,0,104
GBM,51,1,252
GBM,51,2,154
GBM,51,3,261
GBM,51,4,57
GBM,51,5,76
GBM,51,6,84
GBM,51,7,401
GBM,51,8,367
GBM,51,9,137
GBM,52,0,106
GBM,52,1,186
GBM,52,2,178
GBM,52,3,63
GBM,52,4,143
GBM,52,5,170
GBM,52,6,163
GBM,52,7,72
GBM,52,8,50
GBM,52,9,154
GBM,53,0,279
GBM,53,1,190
GBM,53,2,272
GBM,53,3,294
GBM,53,4,157
GBM,53,5,506
GBM,53,6,97
GBM,53,7,1069
GBM,53,8,432
GBM,53,9,133
GBM,54,0,153
GBM,54,1,80
GBM,54,2,72
GBM,54,3,134
GBM,54,4,327
GBM,54,5,281
GBM,54,6,199
GBM,54,7,379
GBM,54,8,289
GBM,54,9,115
GBM,55,0,64
GBM,55,1,93
GBM,55,2,243
GBM,55,3,163
GBM,55,4,108
GBM,55,5,94
GBM,55,6,881
GBM,55,7,178
GBM,55,8,209
GBM,55,9,63
GBM,56,0,100
GBM,56,1,613
GBM,56,2,146
GBM,56,3,274
GBM,56,4,127
GBM,56,5,118
GBM,56,6,159
GBM,56,7,157
GBM,56,8,211
GBM,56,9,155
GBM,57,0,556
GBM,57,1,110
GBM,57,2,107
GBM,57,3,86
GBM,57,4,144
GBM,57,5,123
GBM,57,6,192
GBM,57,7,394
GBM,57,8,150
GBM,57,9,233
GBM,58,0,216
GBM,58,1,175
GBM,58,2,146
GBM,58,3,150
GBM,58,4,459
GBM,58,5,149
GBM,58,6,129
GBM,58,7,278
GBM,58,8,104
GBM,58,9,128
GBM,59,0,59
GBM,59,1,358
GBM,59,2,196
GBM,59,3,163
GBM,59,4,113
GBM,59,5,48
GBM,59,6,151
GBM,59,7,66
GBM,59,8,515
GBM,59,9,155
GBM,60,0,129
GBM,60,1,179
GBM,60,2,113
GBM,60,3,471
GBM,60,4,84
GBM,60,5,253
GBM,60,6,90
GBM,60,7,213
GBM,60,8,250
GBM,60,9,234
GBM,61,0,126
GBM,61,1,181
GBM,61,2,146
GBM,61,3,84
GBM,61,4,197
GBM,61,5,176
GBM,61,6,126
GBM,61,7,197
GBM,61,8,184
GBM,61,9,113
GBM,62,0,148
GBM,62,1,114
GBM,62,2,183
GBM,62,3,76
GBM,62,4,191
GBM,62,5,367
GBM,62,6,166
GBM,62,7,179
GBM,62,8,98
GBM,62,9,123
GBM,63,0,239
GBM,63,1,982
GBM,63,2,100
GBM,63,3,73
GBM,63,4,333
GBM,63,5,218
GBM,63,6,258
GBM,63,7,169
GBM,63,8,685
GBM,63,9,191
GBM,64,0,169
GBM,64,1,325
GBM,64,2,194
GBM,64,3,99
GBM,64,4,170
GBM,64,5,372
