cohort,batch,i,minp_below_001
HNSC,0,0,94
HNSC,0,1,152
HNSC,0,2,208
HNSC,0,3,124
HNSC,0,4,380
HNSC,0,5,141
HNSC,0,6,291
HNSC,0,7,1180
HNSC,0,8,201
HNSC,0,9,154
HNSC,1,0,220
HNSC,1,1,152
HNSC,1,2,77
HNSC,1,3,319
HNSC,1,4,747
HNSC,1,5,184
HNSC,1,6,83
HNSC,1,7,123
HNSC,1,8,65
HNSC,1,9,523
HNSC,2,0,204
HNSC,2,1,96
HNSC,2,2,223
HNSC,2,3,116
HNSC,2,4,60
HNSC,2,5,68
HNSC,2,6,111
HNSC,2,7,58
HNSC,2,8,127
HNSC,2,9,227
HNSC,3,0,108
HNSC,3,1,87
HNSC,3,2,79
HNSC,3,3,222
HNSC,3,4,134
HNSC,3,5,81
HNSC,3,6,231
HNSC,3,7,383
HNSC,3,8,288
HNSC,3,9,458
HNSC,4,0,150
HNSC,4,1,252
HNSC,4,2,268
HNSC,4,3,119
HNSC,4,4,106
HNSC,4,5,115
HNSC,4,6,165
HNSC,4,7,130
HNSC,4,8,119
HNSC,4,9,44
HNSC,5,0,376
HNSC,5,1,242
HNSC,5,2,209
HNSC,5,3,70
HNSC,5,4,219
HNSC,5,5,135
HNSC,5,6,166
HNSC,5,7,117
HNSC,5,8,101
HNSC,5,9,165
HNSC,6,0,76
HNSC,6,1,52
HNSC,6,2,41
HNSC,6,3,100
HNSC,6,4,279
HNSC,6,5,109
HNSC,6,6,183
HNSC,6,7,169
HNSC,6,8,133
HNSC,6,9,42
HNSC,7,0,64
HNSC,7,1,265
HNSC,7,2,134
HNSC,7,3,133
HNSC,7,4,261
HNSC,7,5,136
HNSC,7,6,348
HNSC,7,7,529
HNSC,7,8,440
HNSC,7,9,142
HNSC,8,0,88
HNSC,8,1,99
HNSC,8,2,271
HNSC,8,3,125
HNSC,8,4,244
HNSC,8,5,249
HNSC,8,6,94
HNSC,8,7,114
HNSC,8,8,146
HNSC,8,9,306
HNSC,9,0,189
HNSC,9,1,397
HNSC,9,2,203
HNSC,9,3,177
HNSC,9,4,94
HNSC,9,5,161
HNSC,9,6,272
HNSC,9,7,179
HNSC,9,8,115
HNSC,9,9,206
HNSC,10,0,144
HNSC,10,1,98
HNSC,10,2,267
HNSC,10,3,166
HNSC,10,4,268
HNSC,10,5,98
HNSC,10,6,117
HNSC,10,7,161
HNSC,10,8,108
HNSC,10,9,88
HNSC,11,0,288
HNSC,11,1,235
HNSC,11,2,215
HNSC,11,3,111
HNSC,11,4,155
HNSC,11,5,103
HNSC,11,6,422
HNSC,11,7,89
HNSC,11,8,145
HNSC,11,9,90
HNSC,12,0,103
HNSC,12,1,117
HNSC,12,2,243
HNSC,12,3,440
HNSC,12,4,277
HNSC,12,5,93
HNSC,12,6,111
HNSC,12,7,78
HNSC,12,8,137
HNSC,12,9,330
HNSC,13,0,142
HNSC,13,1,703
HNSC,13,2,128
HNSC,13,3,89
