cohort,batch,i,minp_below_001
KICH,0,0,136
KICH,0,1,80
KICH,0,2,37
KICH,0,3,44
KICH,0,4,147
KICH,0,5,106
KICH,0,6,612
KICH,0,7,129
KICH,0,8,508
KICH,0,9,90
KICH,1,0,267
KICH,1,1,82
KICH,1,2,293
KICH,1,3,74
KICH,1,4,159
KICH,1,5,148
KICH,1,6,65
KICH,1,7,147
KICH,1,8,86
KICH,1,9,194
KICH,2,0,50
KICH,2,1,123
KICH,2,2,822
KICH,2,3,66
KICH,2,4,72
KICH,2,5,67
KICH,2,6,112
KICH,2,7,132
KICH,2,8,42
KICH,2,9,106
KICH,3,0,231
KICH,3,1,95
KICH,3,2,434
KICH,3,3,432
KICH,3,4,164
KICH,3,5,36
KICH,3,6,125
KICH,3,7,52
KICH,3,8,186
KICH,3,9,428
KICH,4,0,186
KICH,4,1,141
KICH,4,2,462
KICH,4,3,70
KICH,4,4,64
KICH,4,5,165
KICH,4,6,113
KICH,4,7,102
KICH,4,8,44
KICH,4,9,37
KICH,5,0,156
KICH,5,1,284
KICH,5,2,22
KICH,5,3,39
KICH,5,4,68
KICH,5,5,668
KICH,5,6,151
KICH,5,7,101
KICH,5,8,61
KICH,5,9,257
KICH,6,0,96
KICH,6,1,46
KICH,6,2,56
KICH,6,3,52
KICH,6,4,77
KICH,6,5,347
KICH,6,6,309
KICH,6,7,82
KICH,6,8,175
KICH,6,9,83
KICH,7,0,410
KICH,7,1,33
KICH,7,2,30
KICH,7,3,332
KICH,7,4,180
KICH,7,5,100
KICH,7,6,49
KICH,7,7,57
KICH,7,8,445
KICH,7,9,38
KICH,8,0,76
KICH,8,1,99
KICH,8,2,49
KICH,8,3,114
KICH,8,4,111
KICH,8,5,135
KICH,8,6,116
KICH,8,7,66
KICH,8,8,193
KICH,8,9,320
KICH,9,0,73
KICH,9,1,216
KICH,9,2,57
KICH,9,3,141
KICH,9,4,227
KICH,9,5,761
KICH,9,6,227
KICH,9,7,49
KICH,9,8,68
KICH,9,9,150
KICH,10,0,78
KICH,10,1,475
KICH,10,2,328
KICH,10,3,84
KICH,10,4,89
KICH,10,5,1438
KICH,10,6,30
KICH,10,7,79
KICH,10,8,187
KICH,10,9,220
KICH,11,0,169
KICH,11,1,47
KICH,11,2,59
KICH,11,3,132
KICH,11,4,45
KICH,11,5,259
KICH,11,6,189
KICH,11,7,51
KICH,11,8,49
KICH,11,9,83
KICH,12,0,92
KICH,12,1,97
KICH,12,2,25
KICH,12,3,207
KICH,12,4,49
KICH,12,5,126
KICH,12,6,148
KICH,12,7,133
KICH,12,8,128
KICH,12,9,134
KICH,13,0,52
KICH,13,1,142
KICH,13,2,106
KICH,13,3,84
KICH,13,4,67
KICH,13,5,23
KICH,13,6,86
KICH,13,7,179
KICH,13,8,163
KICH,13,9,192
KICH,14,0,94
KICH,14,1,205
KICH,14,2,61
KICH,14,3,109
KICH,14,4,82
KICH,14,5,73
KICH,14,6,85
KICH,14,7,234
KICH,14,8,58
KICH,14,9,300
KICH,15,0,95
KICH,15,1,146
KICH,15,2,180
KICH,15,3,95
KICH,15,4,63
KICH,15,5,217
KICH,15,6,42
KICH,15,7,104
KICH,15,8,322
KICH,15,9,32
KICH,16,0,38
KICH,16,1,135
KICH,16,2,153
KICH,16,3,125
KICH,16,4,501
KICH,16,5,638
KICH,16,6,322
KICH,16,7,231
KICH,16,8,46
KICH,16,9,156
KICH,17,0,23
KICH,17,1,39
KICH,17,2,372
KICH,17,3,404
KICH,17,4,264
KICH,17,5,147
KICH,17,6,62
KICH,17,7,57
KICH,17,8,22
KICH,17,9,758
KICH,18,0,52
KICH,18,1,268
KICH,18,2,47
KICH,18,3,128
KICH,18,4,61
KICH,18,5,147
KICH,18,6,93
KICH,18,7,388
KICH,18,8,67
KICH,18,9,104
KICH,19,0,36
KICH,19,1,532
KICH,19,2,126
KICH,19,3,41
KICH,19,4,67
KICH,19,5,52
KICH,19,6,271
KICH,19,7,128
KICH,19,8,52
KICH,19,9,91
