cohort,batch,i,minp_below_001
KIRC,0,0,86
KIRC,0,1,172
KIRC,0,2,699
KIRC,0,3,134
KIRC,0,4,212
KIRC,0,5,464
KIRC,0,6,198
KIRC,0,7,74
KIRC,0,8,391
KIRC,0,9,219
KIRC,1,0,256
KIRC,1,1,147
KIRC,1,2,81
KIRC,1,3,115
KIRC,1,4,213
KIRC,1,5,72
KIRC,1,6,568
KIRC,1,7,157
KIRC,1,8,256
KIRC,1,9,195
KIRC,2,0,162
KIRC,2,1,191
KIRC,2,2,82
KIRC,2,3,223
KIRC,2,4,457
KIRC,2,5,49
KIRC,2,6,47
KIRC,2,7,83
KIRC,2,8,62
KIRC,2,9,98
KIRC,3,0,548
KIRC,3,1,478
KIRC,3,2,105
KIRC,3,3,240
KIRC,3,4,175
KIRC,3,5,85
KIRC,3,6,109
KIRC,3,7,53
KIRC,3,8,122
KIRC,3,9,250
KIRC,4,0,311
KIRC,4,1,153
KIRC,4,2,233
KIRC,4,3,186
KIRC,4,4,336
KIRC,4,5,147
KIRC,4,6,168
KIRC,4,7,58
KIRC,4,8,241
KIRC,4,9,60
KIRC,5,0,429
KIRC,5,1,271
KIRC,5,2,39
KIRC,5,3,145
KIRC,5,4,83
KIRC,5,5,491
KIRC,5,6,82
KIRC,5,7,157
KIRC,5,8,79
KIRC,5,9,103
KIRC,6,0,109
KIRC,6,1,194
KIRC,6,2,293
KIRC,6,3,156
KIRC,6,4,89
KIRC,6,5,615
KIRC,6,6,114
KIRC,6,7,143
KIRC,6,8,163
KIRC,6,9,49
KIRC,7,0,29
KIRC,7,1,42
KIRC,7,2,76
KIRC,7,3,127
KIRC,7,4,127
KIRC,7,5,202
KIRC,7,6,99
KIRC,7,7,67
KIRC,7,8,55
KIRC,7,9,101
KIRC,8,0,104
KIRC,8,1,141
KIRC,8,2,36
KIRC,8,3,123
KIRC,8,4,446
KIRC,8,5,142
KIRC,8,6,158
KIRC,8,7,156
KIRC,8,8,62
KIRC,8,9,325
KIRC,9,0,237
KIRC,9,1,69
KIRC,9,2,130
KIRC,9,3,140
KIRC,9,4,42
KIRC,9,5,156
KIRC,9,6,184
KIRC,9,7,74
KIRC,9,8,87
KIRC,9,9,110
KIRC,10,0,163
KIRC,10,1,95
KIRC,10,2,528
KIRC,10,3,76
KIRC,10,4,210
KIRC,10,5,52
KIRC,10,6,77
KIRC,10,7,112
KIRC,10,8,49
KIRC,10,9,100
KIRC,11,0,82
KIRC,11,1,285
KIRC,11,2,108
KIRC,11,3,129
KIRC,11,4,447
KIRC,11,5,156
KIRC,11,6,250
KIRC,11,7,44
KIRC,11,8,29
KIRC,11,9,117
KIRC,12,0,98
KIRC,12,1,148
KIRC,12,2,56
KIRC,12,3,565
KIRC,12,4,179
KIRC,12,5,219
KIRC,12,6,75
KIRC,12,7,98
KIRC,12,8,110
KIRC,12,9,32
KIRC,13,0,155
KIRC,13,1,134
KIRC,13,2,104
KIRC,13,3,254
KIRC,13,4,318
KIRC,13,5,105
KIRC,13,6,560
KIRC,13,7,219
KIRC,13,8,297
KIRC,13,9,734
KIRC,14,0,97
KIRC,14,1,146
KIRC,14,2,88
KIRC,14,3,172
KIRC,14,4,187
KIRC,14,5,225
KIRC,14,6,191
KIRC,14,7,239
KIRC,14,8,319
KIRC,14,9,138
KIRC,15,0,334
KIRC,15,1,71
KIRC,15,2,1397
KIRC,15,3,111
KIRC,15,4,66
KIRC,15,5,170
KIRC,15,6,139
KIRC,15,7,352
KIRC,15,8,162
KIRC,15,9,171
KIRC,16,0,158
KIRC,16,1,45
KIRC,16,2,119
KIRC,16,3,52
KIRC,16,4,259
KIRC,16,5,70
KIRC,16,6,122
KIRC,16,7,170
KIRC,16,8,603
KIRC,16,9,88
KIRC,17,0,161
KIRC,17,1,127
KIRC,17,2,162
KIRC,17,3,129
KIRC,17,4,106
KIRC,17,5,80
KIRC,17,6,458
KIRC,17,7,37
KIRC,17,8,264
KIRC,17,9,50
KIRC,18,0,88
KIRC,18,1,294
KIRC,18,2,162
KIRC,18,3,3163
KIRC,18,4,268
KIRC,18,5,426
KIRC,18,6,242
KIRC,18,7,114
KIRC,18,8,161
KIRC,18,9,473
KIRC,19,0,1073
KIRC,19,1,385
KIRC,19,2,189
KIRC,19,3,62
KIRC,19,4,85
KIRC,19,5,115
KIRC,19,6,54
KIRC,19,7,66
KIRC,19,8,63
KIRC,19,9,493
