cohort,batch,i,minp_below_001
KIRP,0,0,193
KIRP,0,1,98
KIRP,0,2,801
KIRP,0,3,114
KIRP,0,4,334
KIRP,0,5,71
KIRP,0,6,61
KIRP,0,7,127
KIRP,0,8,109
KIRP,0,9,250
KIRP,1,0,139
KIRP,1,1,311
KIRP,1,2,74
KIRP,1,3,152
KIRP,1,4,65
KIRP,1,5,164
KIRP,1,6,597
KIRP,1,7,145
KIRP,1,8,490
KIRP,1,9,180
KIRP,2,0,213
KIRP,2,1,217
KIRP,2,2,47
KIRP,2,3,231
KIRP,2,4,1051
KIRP,2,5,102
KIRP,2,6,83
KIRP,2,7,60
KIRP,2,8,464
KIRP,2,9,145
KIRP,3,0,128
KIRP,3,1,347
KIRP,3,2,114
KIRP,3,3,176
KIRP,3,4,76
KIRP,3,5,185
KIRP,3,6,47
KIRP,3,7,133
KIRP,3,8,154
KIRP,3,9,191
KIRP,4,0,179
KIRP,4,1,199
KIRP,4,2,80
KIRP,4,3,324
KIRP,4,4,251
KIRP,4,5,105
KIRP,4,6,70
KIRP,4,7,52
KIRP,4,8,44
KIRP,4,9,140
KIRP,5,0,142
KIRP,5,1,362
KIRP,5,2,96
KIRP,5,3,405
KIRP,5,4,369
KIRP,5,5,383
KIRP,5,6,123
KIRP,5,7,79
KIRP,5,8,145
KIRP,5,9,178
KIRP,6,0,80
KIRP,6,1,541
KIRP,6,2,381
KIRP,6,3,312
KIRP,6,4,416
KIRP,6,5,69
KIRP,6,6,408
KIRP,6,7,60
KIRP,6,8,184
KIRP,6,9,41
KIRP,7,0,218
KIRP,7,1,243
KIRP,7,2,171
KIRP,7,3,144
KIRP,7,4,296
KIRP,7,5,363
KIRP,7,6,57
KIRP,7,7,215
KIRP,7,8,69
KIRP,7,9,136
KIRP,8,0,429
KIRP,8,1,101
KIRP,8,2,62
KIRP,8,3,279
KIRP,8,4,712
KIRP,8,5,286
KIRP,8,6,604
KIRP,8,7,337
KIRP,8,8,626
KIRP,8,9,238
KIRP,9,0,72
KIRP,9,1,268
KIRP,9,2,52
KIRP,9,3,70
KIRP,9,4,49
KIRP,9,5,56
KIRP,9,6,300
KIRP,9,7,62
KIRP,9,8,92
KIRP,9,9,77
KIRP,10,0,628
KIRP,10,1,80
KIRP,10,2,405
KIRP,10,3,116
KIRP,10,4,73
KIRP,10,5,69
KIRP,10,6,44
KIRP,10,7,134
KIRP,10,8,68
KIRP,10,9,641
KIRP,11,0,78
KIRP,11,1,108
KIRP,11,2,333
KIRP,11,3,1165
KIRP,11,4,151
KIRP,11,5,173
KIRP,11,6,342
KIRP,11,7,110
KIRP,11,8,142
KIRP,11,9,190
KIRP,12,0,60
KIRP,12,1,198
KIRP,12,2,448
KIRP,12,3,278
KIRP,12,4,69
KIRP,12,5,241
KIRP,12,6,65
KIRP,12,7,99
KIRP,12,8,177
KIRP,12,9,172
KIRP,13,0,387
KIRP,13,1,348
KIRP,13,2,45
KIRP,13,3,124
KIRP,13,4,190
KIRP,13,5,241
KIRP,13,6,450
KIRP,13,7,456
KIRP,13,8,397
KIRP,13,9,179
KIRP,14,0,736
KIRP,14,1,29
KIRP,14,2,174
KIRP,14,3,140
KIRP,14,4,207
KIRP,14,5,159
KIRP,14,6,151
KIRP,14,7,73
KIRP,14,8,126
KIRP,14,9,208
KIRP,15,0,190
KIRP,15,1,142
KIRP,15,2,116
KIRP,15,3,74
KIRP,15,4,540
KIRP,15,5,378
KIRP,15,6,300
KIRP,15,7,73
KIRP,15,8,308
KIRP,15,9,169
KIRP,16,0,31
KIRP,16,1,297
KIRP,16,2,1084
KIRP,16,3,130
KIRP,16,4,94
KIRP,16,5,42
KIRP,16,6,679
KIRP,16,7,145
KIRP,16,8,119
KIRP,16,9,1048
KIRP,17,0,133
KIRP,17,1,597
KIRP,17,2,63
KIRP,17,3,127
KIRP,17,4,110
KIRP,17,5,150
KIRP,17,6,317
KIRP,17,7,315
KIRP,17,8,81
KIRP,17,9,97
KIRP,18,0,148
KIRP,18,1,170
KIRP,18,2,52
KIRP,18,3,101
KIRP,18,4,1115
KIRP,18,5,89
KIRP,18,6,136
KIRP,18,7,106
KIRP,18,8,76
KIRP,18,9,535
KIRP,19,0,476
KIRP,19,1,156
KIRP,19,2,102
KIRP,19,3,123
KIRP,19,4,64
KIRP,19,5,56
KIRP,19,6,239
KIRP,19,7,440
KIRP,19,8,119
KIRP,19,9,405
