cohort,batch,i,minp_below_001
LIHC,0,0,181
LIHC,0,1,220
LIHC,0,2,74
LIHC,0,3,233
LIHC,0,4,428
LIHC,0,5,120
LIHC,0,6,55
LIHC,0,7,131
LIHC,0,8,62
LIHC,0,9,43
LIHC,1,0,195
LIHC,1,1,166
LIHC,1,2,83
LIHC,1,3,65
LIHC,1,4,133
LIHC,1,5,138
LIHC,1,6,156
LIHC,1,7,98
LIHC,1,8,99
LIHC,1,9,58
LIHC,2,0,35
LIHC,2,1,164
LIHC,2,2,195
LIHC,2,3,395
LIHC,2,4,99
LIHC,2,5,36
LIHC,2,6,104
LIHC,2,7,108
LIHC,2,8,113
LIHC,2,9,43
LIHC,3,0,46
LIHC,3,1,178
LIHC,3,2,169
LIHC,3,3,743
LIHC,3,4,63
LIHC,3,5,84
LIHC,3,6,92
LIHC,3,7,67
LIHC,3,8,49
LIHC,3,9,82
LIHC,4,0,113
LIHC,4,1,81
LIHC,4,2,94
LIHC,4,3,114
LIHC,4,4,132
LIHC,4,5,78
LIHC,4,6,212
LIHC,4,7,83
LIHC,4,8,136
LIHC,4,9,62
LIHC,5,0,51
LIHC,5,1,138
LIHC,5,2,109
LIHC,5,3,87
LIHC,5,4,96
LIHC,5,5,257
LIHC,5,6,153
LIHC,5,7,561
LIHC,5,8,42
LIHC,5,9,145
LIHC,6,0,141
LIHC,6,1,81
LIHC,6,2,44
LIHC,6,3,164
LIHC,6,4,152
LIHC,6,5,83
LIHC,6,6,88
LIHC,6,7,772
LIHC,6,8,182
LIHC,6,9,104
LIHC,7,0,215
LIHC,7,1,189
LIHC,7,2,90
LIHC,7,3,217
LIHC,7,4,497
LIHC,7,5,116
LIHC,7,6,137
LIHC,7,7,36
LIHC,7,8,91
LIHC,7,9,103
LIHC,8,0,149
LIHC,8,1,137
LIHC,8,2,28
LIHC,8,3,82
LIHC,8,4,74
LIHC,8,5,914
LIHC,8,6,642
LIHC,8,7,133
LIHC,8,8,125
LIHC,8,9,238
LIHC,9,0,157
LIHC,9,1,260
LIHC,9,2,34
LIHC,9,3,161
LIHC,9,4,98
LIHC,9,5,217
LIHC,9,6,300
LIHC,9,7,51
LIHC,9,8,300
LIHC,9,9,164
LIHC,10,0,30
LIHC,10,1,57
LIHC,10,2,204
LIHC,10,3,67
LIHC,10,4,100
LIHC,10,5,258
LIHC,10,6,192
LIHC,10,7,150
LIHC,10,8,85
LIHC,10,9,97
LIHC,11,0,164
LIHC,11,1,102
LIHC,11,2,152
LIHC,11,3,103
LIHC,11,4,183
LIHC,11,5,36
LIHC,11,6,88
LIHC,11,7,401
LIHC,11,8,214
LIHC,11,9,188
LIHC,12,0,36
LIHC,12,1,209
LIHC,12,2,116
LIHC,12,3,56
LIHC,12,4,260
LIHC,12,5,169
LIHC,12,6,137
LIHC,12,7,112
LIHC,12,8,79
LIHC,12,9,53
LIHC,13,0,378
LIHC,13,1,96
LIHC,13,2,237
LIHC,13,3,169
LIHC,13,4,135
LIHC,13,5,177
LIHC,13,6,120
LIHC,13,7,45
LIHC,13,8,116
LIHC,13,9,163
LIHC,14,0,50
LIHC,14,1,450
LIHC,14,2,268
LIHC,14,3,85
LIHC,14,4,93
LIHC,14,5,115
LIHC,14,6,116
LIHC,14,7,134
LIHC,14,8,57
LIHC,14,9,114
LIHC,15,0,230
LIHC,15,1,48
LIHC,15,2,175
LIHC,15,3,100
LIHC,15,4,288
LIHC,15,5,74
LIHC,15,6,89
LIHC,15,7,156
LIHC,15,8,181
LIHC,15,9,142
LIHC,16,0,173
LIHC,16,1,229
LIHC,16,2,136
LIHC,16,3,951
LIHC,16,4,170
LIHC,16,5,228
LIHC,16,6,129
LIHC,16,7,151
LIHC,16,8,299
LIHC,16,9,875
LIHC,17,0,97
LIHC,17,1,113
LIHC,17,2,149
LIHC,17,3,1308
LIHC,17,4,117
LIHC,17,5,102
LIHC,17,6,65
LIHC,17,7,73
LIHC,17,8,152
LIHC,17,9,47
LIHC,18,0,127
LIHC,18,1,183
LIHC,18,2,108
LIHC,18,3,198
LIHC,18,4,57
LIHC,18,5,34
LIHC,18,6,119
LIHC,18,7,114
LIHC,18,8,50
LIHC,18,9,55
LIHC,19,0,232
LIHC,19,1,150
LIHC,19,2,350
LIHC,19,3,148
LIHC,19,4,173
LIHC,19,5,35
LIHC,19,6,106
LIHC,19,7,714
LIHC,19,8,94
LIHC,19,9,65
