cohort,batch,i,minp_below_001
LUAD,0,0,140
LUAD,0,1,423
LUAD,0,2,339
LUAD,0,3,217
LUAD,0,4,191
LUAD,0,5,470
LUAD,0,6,172
LUAD,0,7,318
LUAD,0,8,114
LUAD,0,9,148
LUAD,1,0,432
LUAD,1,1,179
LUAD,1,2,70
LUAD,1,3,376
LUAD,1,4,581
LUAD,1,5,213
LUAD,1,6,74
LUAD,1,7,243
LUAD,1,8,203
LUAD,1,9,141
LUAD,2,0,116
LUAD,2,1,194
LUAD,2,2,86
LUAD,2,3,110
LUAD,2,4,144
LUAD,2,5,194
LUAD,2,6,155
LUAD,2,7,117
LUAD,2,8,70
LUAD,2,9,305
LUAD,3,0,86
LUAD,3,1,94
LUAD,3,2,191
LUAD,3,3,487
LUAD,3,4,361
LUAD,3,5,210
LUAD,3,6,191
LUAD,3,7,195
LUAD,3,8,98
LUAD,3,9,87
LUAD,4,0,240
LUAD,4,1,301
LUAD,4,2,228
LUAD,4,3,317
LUAD,4,4,50
LUAD,4,5,195
LUAD,4,6,429
LUAD,4,7,130
LUAD,4,8,147
LUAD,4,9,269
LUAD,5,0,488
LUAD,5,1,56
LUAD,5,2,97
LUAD,5,3,86
LUAD,5,4,79
LUAD,5,5,315
LUAD,5,6,124
LUAD,5,7,130
LUAD,5,8,194
LUAD,5,9,291
LUAD,6,0,140
LUAD,6,1,172
LUAD,6,2,456
LUAD,6,3,91
LUAD,6,4,148
LUAD,6,5,314
LUAD,6,6,182
LUAD,6,7,246
LUAD,6,8,602
LUAD,6,9,143
LUAD,7,0,273
LUAD,7,1,310
LUAD,7,2,169
LUAD,7,3,252
LUAD,7,4,46
LUAD,7,5,104
LUAD,7,6,127
LUAD,7,7,84
LUAD,7,8,260
LUAD,7,9,73
LUAD,8,0,260
LUAD,8,1,408
LUAD,8,2,316
LUAD,8,3,165
LUAD,8,4,547
LUAD,8,5,182
LUAD,8,6,570
LUAD,8,7,97
LUAD,8,8,322
LUAD,8,9,373
LUAD,9,0,117
LUAD,9,1,344
LUAD,9,2,196
LUAD,9,3,94
LUAD,9,4,288
LUAD,9,5,375
LUAD,9,6,180
LUAD,9,7,89
LUAD,9,8,434
LUAD,9,9,105
LUAD,10,0,366
LUAD,10,1,701
LUAD,10,2,221
LUAD,10,3,198
LUAD,10,4,199
LUAD,10,5,345
LUAD,10,6,98
LUAD,10,7,240
LUAD,10,8,165
LUAD,10,9,117
LUAD,11,0,113
LUAD,11,1,53
LUAD,11,2,318
LUAD,11,3,170
LUAD,11,4,82
LUAD,11,5,383
LUAD,11,6,184
LUAD,11,7,87
LUAD,11,8,255
LUAD,11,9,144
LUAD,12,0,283
LUAD,12,1,150
LUAD,12,2,348
LUAD,12,3,111
LUAD,12,4,289
LUAD,12,5,220
LUAD,12,6,397
LUAD,12,7,151
LUAD,12,8,46
LUAD,12,9,99
LUAD,13,0,308
LUAD,13,1,236
LUAD,13,2,356
LUAD,13,3,147
LUAD,13,4,230
LUAD,13,5,267
LUAD,13,6,179
LUAD,13,7,162
LUAD,13,8,184
LUAD,13,9,618
LUAD,14,0,228
LUAD,14,1,202
LUAD,14,2,180
LUAD,14,3,100
LUAD,14,4,137
LUAD,14,5,124
LUAD,14,6,182
LUAD,14,7,336
LUAD,14,8,212
LUAD,14,9,122
LUAD,15,0,163
LUAD,15,1,339
LUAD,15,2,318
LUAD,15,3,134
LUAD,15,4,126
LUAD,15,5,310
LUAD,15,6,210
LUAD,15,7,67
LUAD,15,8,1813
LUAD,15,9,146
LUAD,16,0,82
LUAD,16,1,162
LUAD,16,2,821
LUAD,16,3,104
LUAD,16,4,394
LUAD,16,5,80
LUAD,16,6,73
LUAD,16,7,172
LUAD,16,8,66
LUAD,16,9,373
LUAD,17,0,107
LUAD,17,1,611
LUAD,17,2,785
LUAD,17,3,129
LUAD,17,4,110
LUAD,17,5,203
LUAD,17,6,548
LUAD,17,7,151
LUAD,17,8,94
LUAD,17,9,132
LUAD,18,0,319
LUAD,18,1,192
LUAD,18,2,224
LUAD,18,3,136
LUAD,18,4,344
LUAD,18,5,251
LUAD,18,6,298
LUAD,18,7,169
LUAD,18,8,121
LUAD,18,9,132
LUAD,19,0,108
LUAD,19,1,166
LUAD,19,2,88
LUAD,19,3,49
LUAD,19,4,145
LUAD,19,5,78
LUAD,19,6,244
LUAD,19,7,187
LUAD,19,8,103
LUAD,19,9,236
