cohort,batch,i,minp_below_001
LUSC,0,0,576
LUSC,0,1,59
LUSC,0,2,365
LUSC,0,3,160
LUSC,0,4,141
LUSC,0,5,306
LUSC,0,6,182
LUSC,0,7,411
LUSC,0,8,191
LUSC,0,9,268
LUSC,1,0,605
LUSC,1,1,146
LUSC,1,2,305
LUSC,1,3,1204
LUSC,1,4,50
LUSC,1,5,171
LUSC,1,6,67
LUSC,1,7,163
LUSC,1,8,52
LUSC,1,9,201
LUSC,2,0,231
LUSC,2,1,122
LUSC,2,2,198
LUSC,2,3,49
LUSC,2,4,170
LUSC,2,5,84
LUSC,2,6,354
LUSC,2,7,98
LUSC,2,8,317
LUSC,2,9,151
LUSC,3,0,181
LUSC,3,1,503
LUSC,3,2,84
LUSC,3,3,116
LUSC,3,4,202
LUSC,3,5,88
LUSC,3,6,106
LUSC,3,7,108
LUSC,3,8,404
LUSC,3,9,61
LUSC,4,0,335
LUSC,4,1,229
LUSC,4,2,222
LUSC,4,3,133
LUSC,4,4,153
LUSC,4,5,252
LUSC,4,6,82
LUSC,4,7,155
LUSC,4,8,196
LUSC,4,9,126
LUSC,5,0,286
LUSC,5,1,133
LUSC,5,2,353
LUSC,5,3,113
LUSC,5,4,152
LUSC,5,5,153
LUSC,5,6,627
LUSC,5,7,123
LUSC,5,8,227
LUSC,5,9,159
LUSC,6,0,212
LUSC,6,1,101
LUSC,6,2,220
LUSC,6,3,113
LUSC,6,4,47
LUSC,6,5,71
LUSC,6,6,74
LUSC,6,7,179
LUSC,6,8,116
LUSC,6,9,487
LUSC,7,0,134
LUSC,7,1,118
LUSC,7,2,200
LUSC,7,3,130
LUSC,7,4,138
LUSC,7,5,355
LUSC,7,6,176
LUSC,7,7,131
LUSC,7,8,132
LUSC,7,9,391
LUSC,8,0,121
LUSC,8,1,498
LUSC,8,2,197
LUSC,8,3,324
LUSC,8,4,132
LUSC,8,5,109
LUSC,8,6,65
LUSC,8,7,108
LUSC,8,8,314
LUSC,8,9,202
LUSC,9,0,122
LUSC,9,1,141
LUSC,9,2,307
LUSC,9,3,96
LUSC,9,4,364
LUSC,9,5,122
LUSC,9,6,94
LUSC,9,7,108
LUSC,9,8,274
LUSC,9,9,281
LUSC,10,0,321
LUSC,10,1,163
LUSC,10,2,73
LUSC,10,3,100
LUSC,10,4,213
LUSC,10,5,251
LUSC,10,6,100
LUSC,10,7,41
LUSC,10,8,148
LUSC,10,9,257
LUSC,11,0,227
LUSC,11,1,128
LUSC,11,2,425
LUSC,11,3,1431
LUSC,11,4,161
LUSC,11,5,307
LUSC,11,6,478
LUSC,11,7,219
LUSC,11,8,556
LUSC,11,9,186
LUSC,12,0,200
LUSC,12,1,71
LUSC,12,2,147
LUSC,12,3,211
LUSC,12,4,161
LUSC,12,5,319
LUSC,12,6,122
LUSC,12,7,123
LUSC,12,8,221
LUSC,12,9,90
LUSC,13,0,145
LUSC,13,1,169
LUSC,13,2,196
LUSC,13,3,123
LUSC,13,4,166
LUSC,13,5,86
LUSC,13,6,320
LUSC,13,7,325
LUSC,13,8,191
LUSC,13,9,126
LUSC,14,0,113
LUSC,14,1,271
LUSC,14,2,154
LUSC,14,3,184
LUSC,14,4,173
LUSC,14,5,86
LUSC,14,6,162
LUSC,14,7,113
LUSC,14,8,363
LUSC,14,9,57
LUSC,15,0,106
LUSC,15,1,104
LUSC,15,2,177
LUSC,15,3,239
LUSC,15,4,232
LUSC,15,5,322
LUSC,15,6,173
LUSC,15,7,108
LUSC,15,8,129
LUSC,15,9,102
LUSC,16,0,231
LUSC,16,1,127
LUSC,16,2,142
LUSC,16,3,71
LUSC,16,4,186
LUSC,16,5,133
LUSC,16,6,527
LUSC,16,7,106
LUSC,16,8,226
LUSC,16,9,271
LUSC,17,0,286
LUSC,17,1,263
LUSC,17,2,120
LUSC,17,3,205
LUSC,17,4,343
LUSC,17,5,107
LUSC,17,6,143
LUSC,17,7,67
LUSC,17,8,121
LUSC,17,9,114
LUSC,18,0,227
LUSC,18,1,331
LUSC,18,2,63
LUSC,18,3,181
LUSC,18,4,306
LUSC,18,5,119
LUSC,18,6,214
LUSC,18,7,1010
LUSC,18,8,128
LUSC,18,9,149
LUSC,19,0,73
LUSC,19,1,1402
LUSC,19,2,260
LUSC,19,3,86
LUSC,19,4,396
LUSC,19,5,192
LUSC,19,6,37
LUSC,19,7,90
LUSC,19,8,312
LUSC,19,9,471
