cohort,batch,i,minp_below_001
OV,0,0,233
OV,0,1,236
OV,0,2,101
OV,0,3,83
OV,0,4,186
OV,0,5,245
OV,0,6,138
OV,0,7,145
OV,0,8,121
OV,0,9,448
OV,1,0,130
OV,1,1,171
OV,1,2,229
OV,1,3,279
OV,1,4,87
OV,1,5,398
OV,1,6,183
OV,1,7,157
OV,1,8,139
OV,1,9,127
OV,2,0,122
OV,2,1,360
OV,2,2,78
OV,2,3,148
OV,2,4,259
OV,2,5,181
OV,2,6,246
OV,2,7,107
OV,2,8,91
OV,2,9,204
OV,3,0,140
OV,3,1,1097
OV,3,2,93
OV,3,3,159
OV,3,4,86
OV,3,5,219
OV,3,6,194
OV,3,7,65
OV,3,8,126
OV,3,9,123
OV,4,0,196
OV,4,1,101
OV,4,2,119
OV,4,3,337
OV,4,4,182
OV,4,5,199
OV,4,6,227
OV,4,7,155
OV,4,8,150
OV,4,9,174
OV,5,0,211
OV,5,1,228
OV,5,2,159
OV,5,3,321
OV,5,4,272
OV,5,5,315
OV,5,6,228
OV,5,7,113
OV,5,8,92
OV,5,9,770
OV,6,0,128
OV,6,1,333
OV,6,2,291
OV,6,3,160
OV,6,4,91
OV,6,5,875
OV,6,6,182
OV,6,7,987
OV,6,8,56
OV,6,9,125
OV,7,0,144
OV,7,1,110
OV,7,2,99
OV,7,3,276
OV,7,4,202
OV,7,5,154
OV,7,6,117
OV,7,7,228
OV,7,8,172
OV,7,9,250
OV,8,0,101
OV,8,1,54
OV,8,2,235
OV,8,3,229
OV,8,4,131
OV,8,5,96
OV,8,6,104
OV,8,7,267
OV,8,8,174
OV,8,9,128
OV,9,0,256
OV,9,1,87
OV,9,2,794
OV,9,3,151
OV,9,4,407
OV,9,5,170
OV,9,6,192
OV,9,7,182
OV,9,8,233
OV,9,9,116
OV,10,0,147
OV,10,1,89
OV,10,2,98
OV,10,3,192
OV,10,4,900
OV,10,5,112
OV,10,6,122
OV,10,7,264
OV,10,8,281
OV,10,9,146
OV,11,0,296
OV,11,1,371
OV,11,2,1003
OV,11,3,147
OV,11,4,227
OV,11,5,142
OV,11,6,180
OV,11,7,166
OV,11,8,273
OV,11,9,179
OV,12,0,154
OV,12,1,92
OV,12,2,401
OV,12,3,160
OV,12,4,115
OV,12,5,55
OV,12,6,242
OV,12,7,153
OV,12,8,108
OV,12,9,482
OV,13,0,88
OV,13,1,111
OV,13,2,373
OV,13,3,312
OV,13,4,206
OV,13,5,85
OV,13,6,288
OV,13,7,409
OV,13,8,241
OV,13,9,99
OV,14,0,220
OV,14,1,131
OV,14,2,556
OV,14,3,79
OV,14,4,270
OV,14,5,253
OV,14,6,88
OV,14,7,303
OV,14,8,96
OV,14,9,100
OV,15,0,671
OV,15,1,87
OV,15,2,53
OV,15,3,53
OV,15,4,105
OV,15,5,402
OV,15,6,207
OV,15,7,139
OV,15,8,147
OV,15,9,236
OV,16,0,266
OV,16,1,186
OV,16,2,154
OV,16,3,89
OV,16,4,836
OV,16,5,261
OV,16,6,300
OV,16,7,475
OV,16,8,204
OV,16,9,160
OV,17,0,167
OV,17,1,376
OV,17,2,112
OV,17,3,440
OV,17,4,659
OV,17,5,242
OV,17,6,118
OV,17,7,159
OV,17,8,649
OV,17,9,383
OV,18,0,144
OV,18,1,327
OV,18,2,88
OV,18,3,114
OV,18,4,136
OV,18,5,74
OV,18,6,118
OV,18,7,65
OV,18,8,992
OV,18,9,193
OV,19,0,154
OV,19,1,184
OV,19,2,638
OV,19,3,765
OV,19,4,127
OV,19,5,106
OV,19,6,80
OV,19,7,140
OV,19,8,326
OV,19,9,172
