cohort,batch,i,minp_below_001
PAAD,0,0,246
PAAD,0,1,37
PAAD,0,2,271
PAAD,0,3,387
PAAD,0,4,110
PAAD,0,5,91
PAAD,0,6,133
PAAD,0,7,16
PAAD,0,8,270
PAAD,0,9,181
PAAD,1,0,74
PAAD,1,1,100
PAAD,1,2,135
PAAD,1,3,359
PAAD,1,4,124
PAAD,1,5,154
PAAD,1,6,136
PAAD,1,7,114
PAAD,1,8,164
PAAD,1,9,189
PAAD,2,0,46
PAAD,2,1,191
PAAD,2,2,91
PAAD,2,3,100
PAAD,2,4,68
PAAD,2,5,65
PAAD,2,6,102
PAAD,2,7,88
PAAD,2,8,102
PAAD,2,9,216
PAAD,3,0,352
PAAD,3,1,536
PAAD,3,2,193
PAAD,3,3,298
PAAD,3,4,115
PAAD,3,5,325
PAAD,3,6,192
PAAD,3,7,232
PAAD,3,8,181
PAAD,3,9,57
PAAD,4,0,43
PAAD,4,1,251
PAAD,4,2,178
PAAD,4,3,629
PAAD,4,4,282
PAAD,4,5,464
PAAD,4,6,384
PAAD,4,7,63
PAAD,4,8,422
PAAD,4,9,333
PAAD,5,0,743
PAAD,5,1,123
PAAD,5,2,70
PAAD,5,3,94
PAAD,5,4,118
PAAD,5,5,163
PAAD,5,6,73
PAAD,5,7,162
PAAD,5,8,74
PAAD,5,9,101
PAAD,6,0,172
PAAD,6,1,161
PAAD,6,2,90
PAAD,6,3,139
PAAD,6,4,603
PAAD,6,5,953
PAAD,6,6,106
PAAD,6,7,145
PAAD,6,8,167
PAAD,6,9,52
PAAD,7,0,185
PAAD,7,1,128
PAAD,7,2,782
PAAD,7,3,535
PAAD,7,4,218
PAAD,7,5,948
PAAD,7,6,122
PAAD,7,7,80
PAAD,7,8,175
PAAD,7,9,138
PAAD,8,0,482
PAAD,8,1,57
PAAD,8,2,50
PAAD,8,3,67
PAAD,8,4,801
PAAD,8,5,298
PAAD,8,6,337
PAAD,8,7,75
PAAD,8,8,454
PAAD,8,9,440
PAAD,9,0,236
PAAD,9,1,109
PAAD,9,2,299
PAAD,9,3,403
PAAD,9,4,608
PAAD,9,5,66
PAAD,9,6,76
PAAD,9,7,48
PAAD,9,8,331
PAAD,9,9,1335
PAAD,10,0,29
PAAD,10,1,2033
PAAD,10,2,162
PAAD,10,3,82
PAAD,10,4,168
PAAD,10,5,404
PAAD,10,6,122
PAAD,10,7,631
PAAD,10,8,45
PAAD,10,9,2676
PAAD,11,0,232
PAAD,11,1,94
PAAD,11,2,94
PAAD,11,3,117
PAAD,11,4,77
PAAD,11,5,145
PAAD,11,6,158
PAAD,11,7,87
PAAD,11,8,113
PAAD,11,9,383
PAAD,12,0,150
PAAD,12,1,47
PAAD,12,2,95
PAAD,12,3,195
PAAD,12,4,538
PAAD,12,5,180
PAAD,12,6,70
PAAD,12,7,124
PAAD,12,8,163
PAAD,12,9,62
PAAD,13,0,90
PAAD,13,1,627
PAAD,13,2,99
PAAD,13,3,58
PAAD,13,4,152
PAAD,13,5,50
PAAD,13,6,71
PAAD,13,7,211
PAAD,13,8,54
PAAD,13,9,147
PAAD,14,0,84
PAAD,14,1,299
PAAD,14,2,169
PAAD,14,3,174
PAAD,14,4,781
PAAD,14,5,1012
PAAD,14,6,136
PAAD,14,7,90
PAAD,14,8,754
PAAD,14,9,44
PAAD,15,0,157
PAAD,15,1,69
PAAD,15,2,838
PAAD,15,3,232
PAAD,15,4,105
PAAD,15,5,67
PAAD,15,6,899
PAAD,15,7,855
PAAD,15,8,128
PAAD,15,9,87
PAAD,16,0,128
PAAD,16,1,438
PAAD,16,2,32
PAAD,16,3,223
PAAD,16,4,49
PAAD,16,5,214
PAAD,16,6,198
PAAD,16,7,167
PAAD,16,8,177
PAAD,16,9,188
PAAD,17,0,90
PAAD,17,1,185
PAAD,17,2,187
PAAD,17,3,175
PAAD,17,4,118
PAAD,17,5,634
PAAD,17,6,549
PAAD,17,7,81
PAAD,17,8,206
PAAD,17,9,82
PAAD,18,0,28
PAAD,18,1,86
PAAD,18,2,96
PAAD,18,3,80
PAAD,18,4,124
PAAD,18,5,202
PAAD,18,6,183
PAAD,18,7,867
PAAD,18,8,243
PAAD,18,9,48
PAAD,19,0,342
PAAD,19,1,807
PAAD,19,2,361
PAAD,19,3,199
PAAD,19,4,45
PAAD,19,5,383
PAAD,19,6,54
PAAD,19,7,145
PAAD,19,8,290
PAAD,19,9,225
