cohort,batch,i,minp_below_001
PRAD,0,0,48
PRAD,0,1,121
PRAD,0,2,40
PRAD,0,3,100
PRAD,0,4,53
PRAD,0,5,53
PRAD,0,6,175
PRAD,0,7,207
PRAD,0,8,40
PRAD,0,9,171
PRAD,1,0,271
PRAD,1,1,85
PRAD,1,2,88
PRAD,1,3,166
PRAD,1,4,521
PRAD,1,5,72
PRAD,1,6,72
PRAD,1,7,578
PRAD,1,8,193
PRAD,1,9,105
PRAD,2,0,87
PRAD,2,1,91
PRAD,2,2,240
PRAD,2,3,47
PRAD,2,4,72
PRAD,2,5,70
PRAD,2,6,65
PRAD,2,7,85
PRAD,2,8,27
PRAD,2,9,231
PRAD,3,0,43
PRAD,3,1,45
PRAD,3,2,431
PRAD,3,3,68
PRAD,3,4,48
PRAD,3,5,115
PRAD,3,6,122
PRAD,3,7,84
PRAD,3,8,647
PRAD,3,9,97
PRAD,4,0,63
PRAD,4,1,102
PRAD,4,2,337
PRAD,4,3,96
PRAD,4,4,101
PRAD,4,5,210
PRAD,4,6,147
PRAD,4,7,264
PRAD,4,8,364
PRAD,4,9,123
PRAD,5,0,50
PRAD,5,1,77
PRAD,5,2,656
PRAD,5,3,103
PRAD,5,4,418
PRAD,5,5,87
PRAD,5,6,77
PRAD,5,7,58
PRAD,5,8,1778
PRAD,5,9,300
PRAD,6,0,329
PRAD,6,1,43
PRAD,6,2,89
PRAD,6,3,73
PRAD,6,4,384
PRAD,6,5,59
PRAD,6,6,60
PRAD,6,7,161
PRAD,6,8,364
PRAD,6,9,105
PRAD,7,0,106
PRAD,7,1,146
PRAD,7,2,113
PRAD,7,3,42
PRAD,7,4,57
PRAD,7,5,245
PRAD,7,6,50
PRAD,7,7,118
PRAD,7,8,87
PRAD,7,9,19
PRAD,8,0,613
PRAD,8,1,246
PRAD,8,2,58
PRAD,8,3,126
PRAD,8,4,55
PRAD,8,5,54
PRAD,8,6,130
PRAD,8,7,40
PRAD,8,8,82
PRAD,8,9,31
PRAD,9,0,423
PRAD,9,1,29
PRAD,9,2,98
PRAD,9,3,65
PRAD,9,4,75
PRAD,9,5,88
PRAD,9,6,84
PRAD,9,7,118
PRAD,9,8,321
PRAD,9,9,121
PRAD,10,0,182
PRAD,10,1,126
PRAD,10,2,101
PRAD,10,3,391
PRAD,10,4,353
PRAD,10,5,86
PRAD,10,6,77
PRAD,10,7,127
PRAD,10,8,980
PRAD,10,9,78
PRAD,11,0,478
PRAD,11,1,43
PRAD,11,2,50
PRAD,11,3,34
PRAD,11,4,473
PRAD,11,5,56
PRAD,11,6,64
PRAD,11,7,289
PRAD,11,8,123
PRAD,11,9,69
PRAD,12,0,66
PRAD,12,1,200
PRAD,12,2,49
PRAD,12,3,492
PRAD,12,4,75
PRAD,12,5,69
PRAD,12,6,136
PRAD,12,7,19
PRAD,12,8,47
PRAD,12,9,84
PRAD,13,0,101
PRAD,13,1,272
PRAD,13,2,171
PRAD,13,3,238
PRAD,13,4,49
PRAD,13,5,68
PRAD,13,6,275
PRAD,13,7,115
PRAD,13,8,203
PRAD,13,9,134
PRAD,14,0,226
PRAD,14,1,132
PRAD,14,2,35
PRAD,14,3,29
PRAD,14,4,54
PRAD,14,5,50
PRAD,14,6,182
PRAD,14,7,149
PRAD,14,8,123
PRAD,14,9,165
PRAD,15,0,32
PRAD,15,1,127
PRAD,15,2,39
PRAD,15,3,88
PRAD,15,4,126
PRAD,15,5,47
PRAD,15,6,74
PRAD,15,7,370
PRAD,15,8,126
PRAD,15,9,487
PRAD,16,0,159
PRAD,16,1,247
PRAD,16,2,38
PRAD,16,3,95
PRAD,16,4,69
PRAD,16,5,109
PRAD,16,6,80
PRAD,16,7,101
PRAD,16,8,53
PRAD,16,9,61
PRAD,17,0,15
PRAD,17,1,89
PRAD,17,2,174
PRAD,17,3,178
PRAD,17,4,181
PRAD,17,5,130
PRAD,17,6,164
PRAD,17,7,107
PRAD,17,8,265
PRAD,17,9,79
PRAD,18,0,53
PRAD,18,1,49
PRAD,18,2,173
PRAD,18,3,193
PRAD,18,4,277
PRAD,18,5,111
PRAD,18,6,174
PRAD,18,7,76
PRAD,18,8,59
PRAD,18,9,214
PRAD,19,0,102
PRAD,19,1,43
PRAD,19,2,82
PRAD,19,3,139
PRAD,19,4,181
PRAD,19,5,216
PRAD,19,6,331
PRAD,19,7,273
PRAD,19,8,202
PRAD,19,9,459
