cohort,batch,i,minp_below_001
READ,0,0,140
READ,0,1,105
READ,0,2,158
READ,0,3,45
READ,0,4,334
READ,0,5,68
READ,0,6,183
READ,0,7,104
READ,0,8,66
READ,0,9,85
READ,1,0,71
READ,1,1,421
READ,1,2,148
READ,1,3,205
READ,1,4,628
READ,1,5,228
READ,1,6,108
READ,1,7,162
READ,1,8,247
READ,1,9,130
READ,2,0,109
READ,2,1,140
READ,2,2,69
READ,2,3,359
READ,2,4,247
READ,2,5,72
READ,2,6,75
READ,2,7,403
READ,2,8,135
READ,2,9,418
READ,3,0,89
READ,3,1,116
READ,3,2,71
READ,3,3,232
READ,3,4,169
READ,3,5,81
READ,3,6,157
READ,3,7,166
READ,3,8,73
READ,3,9,48
READ,4,0,256
READ,4,1,245
READ,4,2,118
READ,4,3,122
READ,4,4,171
READ,4,5,93
READ,4,6,131
READ,4,7,543
READ,4,8,523
READ,4,9,88
READ,5,0,166
READ,5,1,223
READ,5,2,240
READ,5,3,144
READ,5,4,84
READ,5,5,64
READ,5,6,77
READ,5,7,129
READ,5,8,421
READ,5,9,190
READ,6,0,250
READ,6,1,370
READ,6,2,138
READ,6,3,348
READ,6,4,246
READ,6,5,67
READ,6,6,73
READ,6,7,467
READ,6,8,149
READ,6,9,163
READ,7,0,84
READ,7,1,544
READ,7,2,347
READ,7,3,151
READ,7,4,81
READ,7,5,155
READ,7,6,68
READ,7,7,182
READ,7,8,803
READ,7,9,86
READ,8,0,159
READ,8,1,139
READ,8,2,149
READ,8,3,184
READ,8,4,205
READ,8,5,88
READ,8,6,183
READ,8,7,170
READ,8,8,182
READ,8,9,427
READ,9,0,466
READ,9,1,398
READ,9,2,194
READ,9,3,236
READ,9,4,208
READ,9,5,67
READ,9,6,283
READ,9,7,249
READ,9,8,532
READ,9,9,74
READ,10,0,925
READ,10,1,635
READ,10,2,90
READ,10,3,58
READ,10,4,207
READ,10,5,73
READ,10,6,202
READ,10,7,81
READ,10,8,33
READ,10,9,325
READ,11,0,48
READ,11,1,164
READ,11,2,76
READ,11,3,198
READ,11,4,136
READ,11,5,36
READ,11,6,1049
READ,11,7,145
READ,11,8,144
READ,11,9,48
READ,12,0,237
READ,12,1,747
READ,12,2,295
READ,12,3,132
READ,12,4,60
READ,12,5,116
READ,12,6,212
READ,12,7,210
READ,12,8,478
READ,12,9,647
READ,13,0,177
READ,13,1,93
READ,13,2,333
READ,13,3,142
READ,13,4,328
READ,13,5,104
READ,13,6,103
READ,13,7,298
READ,13,8,62
READ,13,9,444
READ,14,0,1548
READ,14,1,219
READ,14,2,67
READ,14,3,121
READ,14,4,181
READ,14,5,139
READ,14,6,102
READ,14,7,484
READ,14,8,95
READ,14,9,158
READ,15,0,118
READ,15,1,102
READ,15,2,362
READ,15,3,356
READ,15,4,55
READ,15,5,62
READ,15,6,226
READ,15,7,185
READ,15,8,485
READ,15,9,147
READ,16,0,102
READ,16,1,312
READ,16,2,143
READ,16,3,179
READ,16,4,82
READ,16,5,146
READ,16,6,320
READ,16,7,157
READ,16,8,221
READ,16,9,331
READ,17,0,109
READ,17,1,234
READ,17,2,90
READ,17,3,99
READ,17,4,76
READ,17,5,600
READ,17,6,115
READ,17,7,224
READ,17,8,65
READ,17,9,135
READ,18,0,149
READ,18,1,173
READ,18,2,78
READ,18,3,161
READ,18,4,191
READ,18,5,157
READ,18,6,200
READ,18,7,114
READ,18,8,378
READ,18,9,131
READ,19,0,130
READ,19,1,297
READ,19,2,100
READ,19,3,142
READ,19,4,145
READ,19,5,248
READ,19,6,218
READ,19,7,142
READ,19,8,102
READ,19,9,101
READ,20,0,177
READ,20,1,200
READ,20,2,119
READ,20,3,112
READ,20,4,67
READ,20,5,202
READ,20,6,197
READ,20,7,84
READ,20,8,148
READ,20,9,88
READ,21,0,170
READ,21,1,190
READ,21,2,207
READ,21,3,228
READ,21,4,232
READ,21,5,185
READ,21,6,167
READ,21,7,224
READ,21,8,458
READ,21,9,292
READ,22,0,128
READ,22,1,106
READ,22,2,258
READ,22,3,90
READ,22,4,73
READ,22,5,78
READ,22,6,108
READ,22,7,631
READ,22,8,197
READ,22,9,167
READ,23,0,306
READ,23,1,92
READ,23,2,168
READ,23,3,196
READ,23,4,412
READ,23,5,260
READ,23,6,308
READ,23,7,153
READ,23,8,774
READ,23,9,186
READ,24,0,390
READ,24,1,63
READ,24,2,199
READ,24,3,182
READ,24,4,146
READ,24,5,251
READ,24,6,343
READ,24,7,323
READ,24,8,170
READ,24,9,586
READ,25,0,257
READ,25,1,622
READ,25,2,79
READ,25,3,507
READ,25,4,154
READ,25,5,96
READ,25,6,170
READ,25,7,190
READ,25,8,92
READ,25,9,215
READ,26,0,297
READ,26,1,78
READ,26,2,313
READ,26,3,1167
READ,26,4,266
READ,26,5,47
READ,26,6,129
READ,26,7,96
READ,26,8,190
READ,26,9,99
READ,27,0,66
READ,27,1,1386
READ,27,2,134
READ,27,3,101
READ,27,4,263
READ,27,5,65
READ,27,6,212
READ,27,7,205
READ,27,8,100
READ,27,9,132
READ,28,0,863
READ,28,1,332
READ,28,2,143
READ,28,3,99
READ,28,4,127
READ,28,5,318
