cohort,batch,i,minp_below_001
SKCM,0,0,155
SKCM,0,1,158
SKCM,0,2,215
SKCM,0,3,122
SKCM,0,4,117
SKCM,0,5,219
SKCM,0,6,241
SKCM,0,7,153
SKCM,0,8,113
SKCM,0,9,79
SKCM,1,0,356
SKCM,1,1,72
SKCM,1,2,173
SKCM,1,3,126
SKCM,1,4,110
SKCM,1,5,186
SKCM,1,6,60
SKCM,1,7,416
SKCM,1,8,71
SKCM,1,9,381
SKCM,2,0,120
SKCM,2,1,93
SKCM,2,2,361
SKCM,2,3,96
SKCM,2,4,666
SKCM,2,5,1306
SKCM,2,6,122
SKCM,2,7,443
SKCM,2,8,161
SKCM,2,9,101
SKCM,3,0,738
SKCM,3,1,225
SKCM,3,2,141
SKCM,3,3,100
SKCM,3,4,92
SKCM,3,5,62
SKCM,3,6,696
SKCM,3,7,272
SKCM,3,8,95
SKCM,3,9,289
SKCM,4,0,131
SKCM,4,1,434
SKCM,4,2,223
SKCM,4,3,120
SKCM,4,4,257
SKCM,4,5,349
SKCM,4,6,421
SKCM,4,7,134
SKCM,4,8,144
SKCM,4,9,172
SKCM,5,0,180
SKCM,5,1,765
SKCM,5,2,129
SKCM,5,3,366
SKCM,5,4,219
SKCM,5,5,135
SKCM,5,6,90
SKCM,5,7,55
SKCM,5,8,112
SKCM,5,9,63
SKCM,6,0,249
SKCM,6,1,294
SKCM,6,2,297
SKCM,6,3,125
SKCM,6,4,254
SKCM,6,5,121
SKCM,6,6,249
SKCM,6,7,143
SKCM,6,8,207
SKCM,6,9,69
SKCM,7,0,168
SKCM,7,1,186
SKCM,7,2,171
SKCM,7,3,114
SKCM,7,4,269
SKCM,7,5,70
SKCM,7,6,102
SKCM,7,7,205
SKCM,7,8,69
SKCM,7,9,117
SKCM,8,0,88
SKCM,8,1,70
SKCM,8,2,175
SKCM,8,3,107
SKCM,8,4,121
SKCM,8,5,239
SKCM,8,6,360
SKCM,8,7,193
SKCM,8,8,102
SKCM,8,9,91
SKCM,9,0,223
SKCM,9,1,69
SKCM,9,2,107
SKCM,9,3,268
SKCM,9,4,112
SKCM,9,5,96
SKCM,9,6,139
SKCM,9,7,48
SKCM,9,8,117
SKCM,9,9,63
SKCM,10,0,172
SKCM,10,1,88
SKCM,10,2,43
SKCM,10,3,257
SKCM,10,4,74
SKCM,10,5,338
SKCM,10,6,313
SKCM,10,7,116
SKCM,10,8,63
SKCM,10,9,125
SKCM,11,0,55
SKCM,11,1,380
SKCM,11,2,38
SKCM,11,3,224
SKCM,11,4,91
SKCM,11,5,115
SKCM,11,6,44
SKCM,11,7,270
SKCM,11,8,107
SKCM,11,9,2292
SKCM,12,0,119
SKCM,12,1,243
SKCM,12,2,143
SKCM,12,3,106
SKCM,12,4,306
SKCM,12,5,160
SKCM,12,6,42
SKCM,12,7,96
SKCM,12,8,364
SKCM,12,9,194
SKCM,13,0,237
SKCM,13,1,149
SKCM,13,2,276
SKCM,13,3,173
SKCM,13,4,234
SKCM,13,5,89
SKCM,13,6,128
SKCM,13,7,266
SKCM,13,8,138
SKCM,13,9,121
SKCM,14,0,58
SKCM,14,1,188
SKCM,14,2,110
SKCM,14,3,59
SKCM,14,4,131
SKCM,14,5,92
SKCM,14,6,33
SKCM,14,7,66
SKCM,14,8,141
SKCM,14,9,246
SKCM,15,0,167
SKCM,15,1,143
SKCM,15,2,52
SKCM,15,3,178
SKCM,15,4,49
SKCM,15,5,87
SKCM,15,6,305
SKCM,15,7,146
SKCM,15,8,67
SKCM,15,9,176
SKCM,16,0,213
SKCM,16,1,72
SKCM,16,2,130
SKCM,16,3,86
SKCM,16,4,93
SKCM,16,5,49
SKCM,16,6,214
SKCM,16,7,134
SKCM,16,8,70
SKCM,16,9,121
SKCM,17,0,92
SKCM,17,1,733
SKCM,17,2,148
SKCM,17,3,139
SKCM,17,4,185
SKCM,17,5,1322
SKCM,17,6,35
SKCM,17,7,506
SKCM,17,8,70
SKCM,17,9,113
SKCM,18,0,124
SKCM,18,1,154
SKCM,18,2,90
SKCM,18,3,66
SKCM,18,4,139
SKCM,18,5,154
SKCM,18,6,127
SKCM,18,7,45
SKCM,18,8,112
SKCM,18,9,303
SKCM,19,0,90
SKCM,19,1,673
SKCM,19,2,165
SKCM,19,3,136
SKCM,19,4,154
SKCM,19,5,60
SKCM,19,6,85
SKCM,19,7,1036
SKCM,19,8,70
SKCM,19,9,120
