cohort,batch,i,minp_below_001
STAD,0,0,94
STAD,0,1,57
STAD,0,2,255
STAD,0,3,589
STAD,0,4,512
STAD,0,5,192
STAD,0,6,312
STAD,0,7,1076
STAD,0,8,226
STAD,0,9,102
STAD,1,0,234
STAD,1,1,220
STAD,1,2,174
STAD,1,3,140
STAD,1,4,192
STAD,1,5,317
STAD,1,6,129
STAD,1,7,80
STAD,1,8,646
STAD,1,9,76
STAD,2,0,81
STAD,2,1,223
STAD,2,2,62
STAD,2,3,157
STAD,2,4,100
STAD,2,5,288
STAD,2,6,66
STAD,2,7,76
STAD,2,8,446
STAD,2,9,148
STAD,3,0,128
STAD,3,1,178
STAD,3,2,274
STAD,3,3,162
STAD,3,4,70
STAD,3,5,233
STAD,3,6,69
STAD,3,7,226
STAD,3,8,313
STAD,3,9,472
STAD,4,0,105
STAD,4,1,65
STAD,4,2,110
STAD,4,3,623
STAD,4,4,173
STAD,4,5,39
STAD,4,6,267
STAD,4,7,159
STAD,4,8,101
STAD,4,9,546
STAD,5,0,935
STAD,5,1,102
STAD,5,2,185
STAD,5,3,155
STAD,5,4,332
STAD,5,5,541
STAD,5,6,133
STAD,5,7,317
STAD,5,8,106
STAD,5,9,60
STAD,6,0,261
STAD,6,1,77
STAD,6,2,66
STAD,6,3,92
STAD,6,4,105
STAD,6,5,200
STAD,6,6,516
STAD,6,7,170
STAD,6,8,72
STAD,6,9,84
STAD,7,0,45
STAD,7,1,170
STAD,7,2,85
STAD,7,3,297
STAD,7,4,190
STAD,7,5,131
STAD,7,6,354
STAD,7,7,155
STAD,7,8,109
STAD,7,9,830
STAD,8,0,179
STAD,8,1,86
STAD,8,2,255
STAD,8,3,159
STAD,8,4,120
STAD,8,5,151
STAD,8,6,151
STAD,8,7,111
STAD,8,8,53
STAD,8,9,103
STAD,9,0,83
STAD,9,1,734
STAD,9,2,201
STAD,9,3,240
STAD,9,4,101
STAD,9,5,215
STAD,9,6,66
STAD,9,7,110
STAD,9,8,131
STAD,9,9,230
STAD,10,0,44
STAD,10,1,75
STAD,10,2,454
STAD,10,3,216
STAD,10,4,133
STAD,10,5,181
STAD,10,6,165
STAD,10,7,422
STAD,10,8,230
STAD,10,9,166
STAD,11,0,203
STAD,11,1,266
STAD,11,2,120
STAD,11,3,239
STAD,11,4,135
STAD,11,5,400
STAD,11,6,90
STAD,11,7,1482
STAD,11,8,120
STAD,11,9,50
STAD,12,0,113
STAD,12,1,48
STAD,12,2,120
STAD,12,3,151
STAD,12,4,247
STAD,12,5,317
STAD,12,6,425
STAD,12,7,182
STAD,12,8,292
STAD,12,9,247
STAD,13,0,130
STAD,13,1,65
STAD,13,2,197
STAD,13,3,195
STAD,13,4,83
STAD,13,5,110
STAD,13,6,69
STAD,13,7,145
STAD,13,8,66
STAD,13,9,85
STAD,14,0,513
STAD,14,1,219
STAD,14,2,171
STAD,14,3,178
STAD,14,4,89
STAD,14,5,150
STAD,14,6,235
STAD,14,7,122
STAD,14,8,128
STAD,14,9,69
STAD,15,0,93
STAD,15,1,150
STAD,15,2,133
STAD,15,3,90
STAD,15,4,171
STAD,15,5,67
STAD,15,6,112
STAD,15,7,71
STAD,15,8,241
STAD,15,9,330
